timestamp,ltz1000-p17-back-in-town
1514447048.545,7071170.3
1514447051.897,7071170.0
1514447055.249,7071170.0
1514447058.601,7071171.1
1514447061.954,7071170.0
1514447065.305,7071170.3
1514447068.658,7071170.8
1514447072.010,7071171.6
1514447075.362,7071171.3
1514447078.714,7071169.3
1514447082.066,7071171.3
1514447085.418,7071170.6
1514447088.770,7071170.3
1514447092.122,7071170.0
1514447095.474,7071170.0
1514447098.826,7071170.6
1514447102.178,7071171.3
1514447105.531,7071169.5
1514447108.882,7071166.0
1514447112.235,7071168.0
1514447115.587,7071167.3
1514447118.939,7071168.0
1514447122.291,7071169.0
1514447125.644,7071168.8
1514447128.995,7071170.3
1514447132.348,7071171.1
1514447135.699,7071169.0
1514447139.052,7071168.5
1514447142.404,7071168.5
1514447145.756,7071169.5
1514447149.108,7071169.0
1514447152.460,7071171.6
1514447155.813,7071171.8
1514447159.164,7071169.8
1514447162.516,7071169.0
1514447165.869,7071170.3
1514447169.221,7071169.3
1514447172.573,7071169.3
1514447175.925,7071168.3
1514447179.277,7071169.0
1514447182.630,7071168.8
1514447185.981,7071169.3
1514447189.334,7071167.0
1514447192.686,7071168.0
1514447196.037,7071168.8
1514447199.390,7071167.8
1514447202.742,7071168.0
1514447206.095,7071166.0
1514447209.446,7071167.4
1514447212.799,7071165.7
1514447216.151,7071164.5
1514447219.503,7071161.9
1514447222.854,7071163.5
1514447226.207,7071165.0
1514447229.559,7071168.0
1514447232.912,7071167.3
1514447236.263,7071167.3
1514447239.615,7071166.5
1514447242.967,7071169.3
1514447246.320,7071168.5
1514447249.672,7071169.8
1514447253.024,7071169.5
1514447256.376,7071169.5
1514447259.728,7071169.8
1514447263.080,7071169.8
1514447266.432,7071169.8
1514447269.784,7071171.1
1514447273.136,7071170.0
1514447276.489,7071168.3
1514447279.841,7071167.8
1514447283.193,7071167.5
1514447286.545,7071167.0
1514447289.897,7071167.3
1514447293.249,7071168.1
1514447296.602,7071168.8
1514447299.953,7071169.0
1514447303.306,7071169.0
1514447306.658,7071168.3
1514447310.009,7071165.7
1514447313.362,7071169.0
1514447316.714,7071166.8
1514447320.067,7071168.0
1514447323.418,7071167.5
1514447326.770,7071168.8
1514447330.123,7071166.8
1514447333.474,7071167.3
1514447336.827,7071167.0
1514447340.179,7071166.5
1514447343.532,7071167.3
1514447346.883,7071166.2
1514447350.235,7071166.5
1514447353.587,7071166.5
1514447356.940,7071167.0
1514447360.292,7071167.5
1514447363.643,7071168.5
1514447366.996,7071166.2
1514447370.348,7071167.8
1514447373.701,7071166.5
1514447377.052,7071166.5
1514447380.404,7071166.0
1514447383.757,7071166.0
1514447387.108,7071167.0
1514447390.461,7071165.2
1514447393.812,7071167.5
1514447397.165,7071169.0
1514447400.517,7071166.8
1514447403.869,7071167.3
1514447407.222,7071167.5
1514447410.573,7071168.3
1514447414.164,7071168.5
1514447417.277,7071168.0
1514447420.630,7071166.8
1514447423.981,7071169.0
1514447427.334,7071167.0
1514447430.686,7071166.8
1514447434.038,7071167.5
1514447437.390,7071167.3
1514447440.742,7071167.5
1514447444.095,7071169.4
1514447447.446,7071170.3
1514447450.799,7071170.6
1514447454.151,7071170.0
1514447457.503,7071168.3
1514447460.855,7071169.0
1514447464.208,7071168.3
1514447467.560,7071168.5
1514447470.911,7071169.0
1514447474.264,7071169.3
1514447477.616,7071169.0
1514447480.968,7071169.5
1514447484.320,7071168.3
1514447487.672,7071169.3
1514447491.025,7071169.0
1514447494.376,7071169.5
1514447497.728,7071170.0
1514447501.081,7071169.3
1514447504.433,7071170.6
1514447507.785,7071167.3
1514447511.137,7071168.3
1514447514.489,7071168.0
1514447517.841,7071165.7
1514447521.194,7071167.3
1514447524.546,7071167.8
1514447527.897,7071168.5
1514447531.250,7071168.0
1514447534.602,7071167.5
1514447537.954,7071169.3
1514447541.306,7071169.5
1514447544.658,7071169.8
1514447548.010,7071168.8
1514447551.363,7071171.3
1514447554.714,7071168.8
1514447558.066,7071169.0
1514447561.419,7071168.5
1514447564.770,7071167.5
1514447568.123,7071168.3
1514447571.475,7071166.5
1514447574.828,7071168.0
1514447578.179,7071165.5
1514447581.532,7071157.9
1514447584.884,7071158.9
1514447588.236,7071162.2
1514447591.588,7071167.5
1514447594.940,7071169.3
1514447598.292,7071165.5
1514447601.644,7071167.3
1514447604.997,7071167.8
1514447608.348,7071169.0
1514447611.701,7071168.8
1514447615.053,7071167.5
1514447618.405,7071169.0
1514447621.757,7071168.5
1514447625.109,7071168.5
1514447628.461,7071168.0
1514447631.814,7071166.8
1514447635.165,7071167.3
1514447638.518,7071167.5
1514447641.870,7071165.7
1514447645.222,7071165.5
1514447648.574,7071165.0
1514447651.926,7071165.7
1514447655.278,7071166.8
1514447658.631,7071168.3
1514447661.982,7071166.8
1514447665.334,7071166.2
1514447668.687,7071166.8
1514447672.039,7071167.8
1514447675.391,7071167.0
1514447678.743,7071167.5
1514447682.095,7071168.8
1514447685.447,7071166.5
1514447688.800,7071169.5
1514447692.152,7071167.8
1514447695.503,7071169.0
1514447698.856,7071167.0
1514447702.208,7071167.5
1514447705.560,7071170.0
1514447708.912,7071168.3
1514447712.264,7071167.0
1514447715.617,7071167.3
1514447718.968,7071165.5
1514447722.320,7071167.9
1514447725.673,7071167.0
1514447729.025,7071168.3
1514447732.377,7071167.3
1514447735.729,7071167.5
1514447739.081,7071168.0
1514447742.434,7071166.2
1514447745.785,7071165.7
1514447749.138,7071166.5
1514447752.490,7071166.5
1514447755.842,7071167.5
1514447759.194,7071166.5
1514447762.546,7071165.0
1514447765.898,7071168.5
1514447769.250,7071166.8
1514447772.603,7071167.3
1514447775.954,7071168.0
1514447779.307,7071170.6
1514447782.659,7071169.8
1514447786.010,7071169.5
1514447789.363,7071170.3
1514447792.715,7071169.8
1514447796.067,7071171.6
1514447799.420,7071172.1
1514447802.771,7071172.1
1514447806.124,7071171.1
1514447809.475,7071168.0
1514447812.828,7071178.2
1514447816.179,7071173.1
1514447819.532,7071169.3
1514447822.884,7071169.8
1514447826.236,7071172.1
1514447829.589,7071169.8
1514447832.940,7071170.8
1514447836.293,7071171.8
1514447839.645,7071172.6
1514447842.997,7071173.1
1514447846.349,7071173.3
1514447849.701,7071174.9
1514447853.053,7071174.1
1514447856.406,7071172.8
1514447859.757,7071175.4
1514447863.109,7071177.1
1514447866.462,7071175.4
1514447869.814,7071176.6
1514447873.165,7071176.1
1514447876.518,7071176.1
1514447879.870,7071178.2
1514447883.223,7071176.4
1514447886.574,7071176.9
1514447889.926,7071176.4
1514447893.279,7071176.6
1514447896.631,7071177.1
1514447899.982,7071175.9
1514447903.335,7071176.1
1514447906.687,7071175.6
1514447910.039,7071177.1
1514447913.392,7071176.1
1514447916.743,7071175.1
1514447920.095,7071176.6
1514447923.447,7071175.4
1514447926.800,7071175.1
1514447930.151,7071174.6
1514447933.504,7071173.3
1514447936.856,7071175.6
1514447940.208,7071175.9
1514447943.561,7071176.4
1514447946.912,7071174.9
1514447950.264,7071176.9
1514447953.616,7071176.1
1514447956.969,7071176.1
1514447960.320,7071175.6
1514447963.673,7071176.9
1514447967.025,7071177.4
1514447970.377,7071176.6
1514447973.729,7071178.4
1514447977.081,7071179.4
1514447980.434,7071178.4
1514447983.785,7071172.6
1514447987.138,7071167.3
1514447990.489,7071168.0
1514447993.842,7071168.5
1514447997.194,7071172.8
1514448000.546,7071177.7
1514448003.898,7071177.9
1514448007.250,7071177.7
1514448010.603,7071177.9
1514448013.954,7071177.4
1514448017.306,7071178.4
1514448020.658,7071178.7
1514448024.011,7071179.2
1514448027.362,7071177.9
1514448030.715,7071178.2
1514448034.067,7071178.7
1514448037.419,7071177.7
1514448040.771,7071178.4
1514448044.123,7071179.4
1514448047.476,7071178.2
1514448050.828,7071178.7
1514448054.179,7071178.4
1514448057.532,7071178.9
1514448060.884,7071178.2
1514448064.236,7071174.4
1514448067.588,7071173.3
1514448070.940,7071170.8
1514448074.292,7071174.9
1514448077.645,7071174.9
1514448080.996,7071176.9
1514448084.348,7071179.7
1514448087.701,7071178.7
1514448091.053,7071177.1
1514448094.405,7071176.9
1514448097.757,7071177.7
1514448101.109,7071177.7
1514448104.461,7071174.9
1514448107.814,7071177.1
1514448111.166,7071176.9
1514448114.517,7071172.1
1514448117.870,7071174.6
1514448121.221,7071177.1
1514448124.574,7071179.7
1514448127.926,7071178.2
1514448131.278,7071177.7
1514448134.630,7071176.1
1514448137.982,7071177.1
1514448141.335,7071178.9
1514448144.686,7071177.4
1514448148.039,7071177.1
1514448151.391,7071178.8
1514448154.743,7071177.4
1514448158.095,7071176.9
1514448161.447,7071173.6
1514448164.799,7071176.1
1514448168.152,7071176.1
1514448171.503,7071177.9
1514448174.856,7071177.9
1514448178.207,7071178.4
1514448181.560,7071177.7
1514448184.912,7071177.1
1514448188.264,7071178.7
1514448191.616,7071178.9
1514448194.968,7071181.7
1514448198.321,7071181.2
1514448201.672,7071180.7
1514448205.024,7071179.7
1514448208.377,7071178.5
1514448211.729,7071179.9
1514448215.080,7071179.7
1514448218.433,7071179.4
1514448221.785,7071178.2
1514448225.137,7071178.2
1514448228.489,7071179.2
1514448231.842,7071180.2
1514448235.193,7071179.2
1514448238.546,7071178.9
1514448241.897,7071177.1
1514448245.250,7071179.9
1514448248.602,7071181.2
1514448251.954,7071178.4
1514448255.307,7071177.4
1514448258.658,7071178.4
1514448262.010,7071177.9
1514448265.363,7071176.9
1514448268.714,7071175.6
1514448272.066,7071177.4
1514448275.418,7071176.4
1514448278.771,7071179.2
1514448282.123,7071178.4
1514448285.475,7071178.9
1514448288.828,7071179.7
1514448292.179,7071178.7
1514448295.532,7071176.9
1514448298.883,7071173.6
1514448302.236,7071175.4
1514448305.588,7071175.1
1514448308.940,7071175.9
1514448312.292,7071174.1
1514448315.644,7071172.8
1514448318.996,7071170.6
1514448322.348,7071171.3
1514448325.700,7071171.6
1514448329.052,7071171.1
1514448332.404,7071169.5
1514448335.757,7071169.5
1514448339.108,7071168.3
1514448342.461,7071169.0
1514448345.813,7071168.9
1514448349.165,7071170.6
1514448352.518,7071168.3
1514448355.869,7071170.6
1514448359.221,7071169.8
1514448362.574,7071170.0
1514448365.926,7071168.0
1514448369.277,7071169.3
1514448372.630,7071168.8
1514448375.983,7071168.8
1514448379.334,7071166.5
1514448382.687,7071168.8
1514448386.038,7071169.5
1514448389.391,7071171.6
1514448392.743,7071173.3
1514448396.095,7071173.6
1514448399.447,7071173.9
1514448402.799,7071172.6
1514448406.151,7071173.9
1514448409.503,7071173.9
1514448412.855,7071174.1
1514448416.208,7071173.3
1514448419.559,7071174.9
1514448422.912,7071173.6
1514448426.264,7071173.1
1514448429.616,7071174.6
1514448432.968,7071175.4
1514448436.320,7071170.8
1514448439.672,7071173.1
1514448443.024,7071173.1
1514448446.376,7071170.6
1514448449.728,7071173.1
1514448453.080,7071173.6
1514448456.433,7071174.9
1514448459.785,7071173.1
1514448463.137,7071173.6
1514448466.489,7071173.9
1514448469.841,7071169.8
1514448473.193,7071171.3
1514448476.546,7071169.8
1514448479.897,7071170.6
1514448483.250,7071170.8
1514448486.601,7071172.3
1514448489.954,7071174.9
1514448493.305,7071175.9
1514448496.658,7071175.4
1514448500.010,7071174.9
1514448503.362,7071172.3
1514448506.715,7071177.1
1514448510.066,7071173.6
1514448513.419,7071174.4
1514448516.770,7071174.4
1514448520.123,7071175.6
1514448523.475,7071174.4
1514448526.827,7071174.1
1514448530.178,7071173.3
1514448533.531,7071172.3
1514448536.883,7071173.9
1514448540.235,7071174.1
1514448543.588,7071179.4
1514448546.939,7071180.4
1514448550.292,7071179.9
1514448553.644,7071179.7
1514448556.996,7071179.4
1514448560.348,7071180.4
1514448563.700,7071181.0
1514448567.052,7071181.2
1514448570.404,7071183.0
1514448573.756,7071181.2
1514448577.108,7071182.5
1514448580.461,7071183.0
1514448583.813,7071182.5
1514448587.165,7071180.4
1514448590.517,7071181.2
1514448593.869,7071181.0
1514448597.221,7071181.7
1514448600.573,7071181.2
1514448603.925,7071181.7
1514448607.277,7071182.0
1514448610.630,7071181.7
1514448613.981,7071183.5
1514448617.334,7071181.5
1514448620.686,7071181.7
1514448624.037,7071182.2
1514448627.390,7071179.6
1514448630.742,7071181.7
1514448634.094,7071182.7
1514448637.446,7071184.5
1514448640.798,7071184.5
1514448644.150,7071182.0
1514448647.503,7071183.0
1514448650.855,7071183.0
1514448654.207,7071185.8
1514448657.559,7071183.5
1514448660.911,7071179.9
1514448664.263,7071179.9
1514448667.615,7071179.7
1514448670.967,7071184.0
1514448674.319,7071181.2
1514448677.672,7071183.0
1514448681.024,7071183.7
1514448684.376,7071184.2
1514448687.728,7071183.2
1514448691.080,7071184.0
1514448694.432,7071182.5
1514448697.784,7071184.0
1514448701.136,7071182.7
1514448704.488,7071181.5
1514448707.840,7071183.2
1514448711.193,7071182.7
1514448714.545,7071181.5
1514448717.896,7071181.5
1514448721.249,7071182.0
1514448724.601,7071182.0
1514448727.953,7071183.2
1514448731.305,7071182.7
1514448734.657,7071182.0
1514448738.010,7071181.5
1514448741.361,7071182.7
1514448744.713,7071182.2
1514448748.066,7071183.0
1514448751.418,7071183.5
1514448754.769,7071186.0
1514448758.122,7071185.8
1514448761.474,7071185.8
1514448764.826,7071186.8
1514448768.178,7071186.3
