timestamp,value
1500155399.824,999408
1500155399.959,999393
1500155400.094,999394
1500155400.230,999399
1500155400.365,999407
1500155400.500,999396
1500155400.635,999398
1500155400.774,999386
1500155400.909,999396
1500155401.044,999400
1500155401.180,999401
1500155401.315,999381
1500155401.450,999393
1500155401.585,999389
1500155401.720,999409
1500155401.859,999400
1500155401.995,999393
1500155402.130,999391
1500155402.265,999406
1500155402.400,999402
1500155402.535,999397
1500155402.671,999396
1500155402.806,999397
1500155402.945,999391
1500155403.080,999400
1500155403.215,999389
1500155403.351,999390
1500155403.486,999418
1500155403.621,999392
1500155403.756,999399
1500155403.895,999404
1500155404.030,999400
1500155404.166,999401
1500155404.301,999407
1500155404.436,999403
1500155404.571,999406
1500155404.706,999403
1500155404.841,999401
1500155404.980,999395
1500155405.116,999401
1500155405.251,999391
1500155405.386,999411
1500155405.521,999419
1500155405.657,999403
1500155405.792,999399
1500155405.927,999398
1500155406.066,999404
1500155406.201,999409
1500155406.336,999396
1500155406.472,999411
1500155406.607,999380
1500155406.742,999408
1500155406.877,999399
1500155407.016,999393
1500155407.151,999402
1500155407.286,999393
1500155407.421,999411
1500155407.557,999388
1500155407.692,999394
1500155407.827,999398
1500155407.962,999407
1500155408.101,999378
1500155408.237,999409
1500155408.372,999398
1500155408.507,999402
1500155408.642,999414
1500155408.777,999404
1500155408.912,999385
1500155409.051,999415
1500155409.187,999391
1500155409.322,999401
1500155409.457,999399
1500155409.593,999404
1500155409.728,999404
1500155409.863,999404
1500155409.998,999412
1500155410.137,999416
1500155410.273,999407
1500155410.408,999415
1500155410.543,999397
1500155410.678,999404
1500155410.813,999404
1500155410.948,999394
1500155411.083,999401
1500155411.223,999402
1500155411.358,999407
1500155411.493,999400
1500155411.628,999404
1500155411.763,999401
1500155411.898,999401
1500155412.034,999397
1500155412.173,999402
1500155412.308,999402
1500155412.443,999404
1500155412.578,999406
1500155412.714,999411
1500155412.849,999405
1500155412.984,999396
1500155413.119,999411
1500155413.258,999401
1500155413.394,999412
1500155413.529,999407
1500155413.664,999403
1500155413.799,999397
1500155413.934,999410
1500155414.069,999397
1500155414.205,999400
1500155414.344,999409
1500155414.479,999397
1500155414.614,999403
1500155414.749,999408
1500155414.884,999395
1500155415.020,999399
1500155415.155,999396
1500155415.294,999396
1500155415.429,999397
1500155415.564,999417
