timestamp,r,humidity,temp_c
1516426980.56,80003.180,51.350,20.452
1516426983.56,80003.187,51.335,20.430
1516426986.57,80003.197,51.343,20.430
1516426990.56,80003.197,51.350,20.420
1516426993.56,80003.220,51.358,20.409
1516426996.56,80003.238,51.358,20.430
1516427000.56,80003.240,51.358,20.430
1516427003.56,80003.202,51.350,20.430
1516427006.56,80003.228,51.365,20.377
1516427010.56,80003.233,51.358,20.377
1516427013.56,80003.248,51.388,20.409
1516427017.56,80003.251,51.404,20.366
1516427020.56,80003.243,51.404,20.388
1516427023.56,80003.225,51.411,20.356
1516427027.56,80003.238,51.426,20.377
1516427030.56,80003.218,51.449,20.356
1516427033.56,80003.213,51.472,20.388
1516427037.56,80003.215,51.457,20.388
1516427040.56,80003.215,51.472,20.409
1516427043.55,80003.195,51.465,20.409
1516427047.55,80003.197,51.465,20.398
1516427050.55,80003.202,51.465,20.388
1516427053.55,80003.213,51.472,20.409
1516427057.55,80003.208,51.465,20.377
1516427060.55,80003.213,51.457,20.377
1516427063.55,80003.200,51.465,20.377
1516427067.55,80003.210,51.465,20.377
1516427070.55,80003.248,51.457,20.409
1516427074.55,80003.220,51.465,20.409
1516427077.55,80003.218,51.465,20.398
1516427080.55,80003.218,51.487,20.398
1516427084.55,80003.233,51.465,20.366
1516427087.55,80003.240,51.495,20.398
1516427090.55,80003.235,51.472,20.398
1516427094.55,80003.215,51.487,20.388
1516427097.54,80003.228,51.495,20.409
1516427100.55,80003.202,51.480,20.409
1516427104.54,80003.205,51.480,20.430
1516427107.54,80003.210,51.457,20.409
1516427110.54,80003.205,51.472,20.473
1516427114.54,80003.230,51.465,20.452
1516427117.54,80003.215,51.442,20.452
1516427120.54,80003.233,51.449,20.420
1516427124.54,80003.228,51.419,20.452
1516427127.54,80003.235,51.426,20.463
1516427131.54,80003.225,51.411,20.473
1516427134.54,80003.225,51.396,20.452
1516427137.54,80003.202,51.396,20.441
1516427141.54,80003.225,51.373,20.484
1516427144.54,80003.202,51.381,20.452
1516427147.54,80003.187,51.365,20.484
1516427151.54,80003.200,51.365,20.505
1516427154.54,80003.190,51.358,20.495
1516427157.53,80003.177,51.327,20.505
1516427161.54,80003.168,51.320,20.505
1516427164.54,80003.180,51.312,20.516
1516427167.53,80003.187,51.312,20.516
1516427171.54,80003.190,51.281,20.505
1516427174.53,80003.190,51.281,20.527
1516427177.53,80003.208,51.266,20.516
1516427181.53,80003.197,51.251,20.516
1516427184.53,80003.213,51.243,20.537
1516427188.53,80003.205,51.228,20.548
1516427191.53,80003.205,51.213,20.548
1516427194.53,80003.192,51.205,20.559
1516427198.53,80003.215,51.205,20.559
1516427201.53,80003.208,51.198,20.559
1516427204.53,80003.197,51.175,20.602
1516427208.53,80003.215,51.152,20.591
1516427211.53,80003.210,51.144,20.602
1516427214.53,80003.210,51.137,20.580
1516427218.53,80003.197,51.121,20.612
1516427221.53,80003.218,51.091,20.602
1516427224.53,80003.218,51.076,20.612
1516427228.52,80003.210,51.091,20.612
1516427231.53,80003.195,51.076,20.580
1516427234.53,80003.175,51.060,20.602
1516427238.52,80003.169,51.045,20.580
1516427241.52,80003.152,51.037,20.580
1516427245.52,80003.154,51.037,20.580
1516427248.52,80003.159,51.022,20.591
1516427251.52,80003.159,51.045,20.602
1516427255.52,80003.175,51.014,20.580
1516427258.52,80003.197,51.007,20.591
1516427261.52,80003.190,51.007,20.602
1516427265.52,80003.182,51.007,20.591
1516427268.52,80003.172,51.014,20.591
1516427271.52,80003.180,50.999,20.591
1516427275.52,80003.172,50.999,20.580
1516427278.52,80003.164,50.992,20.580
1516427281.52,80003.167,51.014,20.580
1516427285.52,80003.202,51.007,20.591
1516427288.52,80003.192,50.999,20.580
1516427291.51,80003.188,51.014,20.580
1516427295.52,80003.195,51.030,20.580
1516427298.51,80003.175,51.030,20.591
1516427302.51,80003.157,51.030,20.602
1516427305.51,80003.147,51.022,20.612
1516427308.51,80003.149,51.022,20.612
1516427312.51,80003.142,51.014,20.612
1516427315.51,80003.177,51.037,20.580
1516427318.51,80003.167,51.022,20.602
1516427322.51,80003.164,51.014,20.591
1516427325.51,80003.139,51.014,20.569
1516427328.51,80003.154,51.014,20.569
1516427332.51,80003.152,51.014,20.559
1516427335.51,80003.144,51.030,20.569
1516427338.51,80003.142,51.030,20.580
1516427342.51,80003.169,51.037,20.580
1516427345.51,80003.139,51.045,20.580
1516427348.51,80003.167,51.030,20.591
1516427352.5,80003.149,51.030,20.580
1516427355.5,80003.164,51.030,20.559
1516427359.5,80003.172,51.030,20.580
1516427362.5,80003.180,51.022,20.559
1516427365.5,80003.159,51.030,20.580
1516427369.5,80003.144,51.030,20.569
1516427372.5,80003.129,51.045,20.569
1516427375.5,80003.126,51.045,20.580
1516427379.5,80003.142,51.030,20.580
1516427382.5,80003.142,51.030,20.591
1516427385.5,80003.139,51.037,20.602
1516427389.5,80003.152,51.045,20.591
1516427392.5,80003.169,51.014,20.580
1516427395.5,80003.164,51.030,20.580
1516427399.5,80003.175,51.014,20.569
1516427402.5,80003.177,51.045,20.548
1516427405.49,80003.169,51.030,20.569
1516427409.5,80003.131,51.014,20.569
1516427412.5,80003.154,51.037,20.569
1516427416.5,80003.144,51.060,20.580
1516427419.5,80003.152,51.053,20.569
1516427422.49,80003.147,51.045,20.580
1516427426.49,80003.162,51.060,20.580
1516427429.49,80003.169,51.045,20.580
1516427432.49,80003.159,51.060,20.591
1516427436.49,80003.162,51.045,20.591
1516427439.49,80003.159,51.053,20.602
1516427442.49,80003.164,51.045,20.591
1516427446.49,80003.180,51.037,20.580
1516427449.49,80003.192,51.045,20.569
1516427452.49,80003.185,51.045,20.580
1516427456.49,80003.175,51.045,20.580
1516427459.49,80003.180,51.030,20.602
1516427462.49,80003.213,51.037,20.580
1516427466.49,80003.195,51.037,20.580
1516427469.49,80003.195,51.045,20.580
1516427473.49,80003.205,51.053,20.580
1516427476.48,80003.185,51.045,20.580
1516427479.49,80003.167,51.053,20.602
1516427483.48,80003.188,51.037,20.569
1516427486.48,80003.164,51.045,20.580
1516427489.49,80003.177,51.053,20.559
1516427493.48,80003.164,51.045,20.559
1516427496.48,80003.180,51.037,20.580
1516427499.48,80003.202,51.060,20.580
1516427503.48,80003.190,51.068,20.559
1516427506.48,80003.215,51.083,20.559
