si_7021_ambient_c,si7021_internal_c,setpoint,adc,adc_c,error_c,output,io_delta_c
21.565,25.008,407,407.038,25.0004,0.0004,151.34,3.4352
21.554,25.019,407,407.045,25.0005,0.0005,151.17,3.4460
21.554,25.008,407,406.723,24.9969,-0.0031,154.94,3.4424
21.587,25.008,407,406.688,24.9965,-0.0035,155.92,3.4098
21.576,25.008,407,406.567,24.9951,-0.0049,158.00,3.4192
21.619,25.019,407,406.695,24.9965,-0.0035,157.33,3.3777
21.608,25.019,407,406.821,24.9980,-0.0020,156.43,3.3899
21.630,25.008,407,407.017,25.0002,0.0002,154.43,3.3706
21.662,25.019,407,406.953,24.9995,-0.0005,155.16,3.3377
21.672,25.008,407,407.154,25.0018,0.0018,152.84,3.3293
21.672,25.019,407,407.161,25.0018,0.0018,152.45,3.3294
21.672,25.030,407,407.170,25.0019,0.0019,152.02,3.3295
21.672,25.030,407,407.064,25.0007,0.0007,152.96,3.3283
21.705,25.008,407,407.390,25.0044,0.0044,148.91,3.2998
21.694,24.997,407,407.601,25.0068,0.0068,145.60,3.3129
21.694,25.008,407,407.524,25.0060,0.0060,145.32,3.3121
21.694,25.019,407,407.488,25.0055,0.0055,144.71,3.3116
21.737,24.997,407,407.328,25.0037,0.0037,145.66,3.2669
21.705,25.030,407,407.031,25.0003,0.0003,148.56,3.2957
21.726,25.040,407,407.031,25.0004,0.0004,148.50,3.2743
21.737,25.030,407,406.931,24.9992,-0.0008,149.63,3.2624
21.748,25.008,407,407.081,25.0009,0.0009,147.97,3.2534
21.737,25.019,407,406.697,24.9966,-0.0034,152.42,3.2598
21.748,25.008,407,406.951,24.9994,-0.0006,149.97,3.2519
21.758,25.030,407,407.056,25.0006,0.0006,148.81,3.2424
21.758,25.030,407,406.952,24.9995,-0.0005,149.95,3.2412
21.758,25.008,407,407.220,25.0025,0.0025,146.83,3.2443
21.790,25.019,407,407.096,25.0011,0.0011,147.88,3.2107
21.790,25.008,407,407.193,25.0022,0.0022,146.52,3.2118
21.780,25.008,407,407.251,25.0029,0.0029,145.44,3.2232
21.801,24.997,407,407.365,25.0041,0.0041,143.57,3.2030
21.790,25.019,407,407.310,25.0035,0.0035,143.50,3.2131
21.812,25.008,407,407.182,25.0021,0.0021,144.41,3.1902
21.812,25.008,407,406.891,24.9988,-0.0012,147.55,3.1869
21.833,24.997,407,406.855,24.9984,-0.0016,148.20,3.1650
21.812,25.008,407,406.622,24.9957,-0.0043,151.29,3.1838
21.823,24.997,407,406.779,24.9975,-0.0025,150.15,3.1749
21.833,25.008,407,406.805,24.9978,-0.0022,150.29,3.1645
21.833,25.019,407,406.735,24.9970,-0.0030,151.52,3.1637
21.833,25.019,407,406.800,24.9977,-0.0023,151.26,3.1644
21.833,25.008,407,407.081,25.0009,0.0009,148.29,3.1676
21.833,25.019,407,407.039,25.0004,0.0004,148.63,3.1671
21.833,25.030,407,407.066,25.0007,0.0007,148.23,3.1674
21.823,25.019,407,407.437,25.0050,0.0050,143.64,3.1824
21.844,25.008,407,407.396,25.0045,0.0045,143.27,3.1604
21.844,25.019,407,407.408,25.0046,0.0046,142.33,3.1606
21.855,25.019,407,407.247,25.0028,0.0028,143.45,3.1480
21.844,25.030,407,406.995,24.9999,-0.0001,145.98,3.1559
21.855,25.019,407,406.927,24.9992,-0.0008,146.81,3.1444
21.865,24.997,407,406.831,24.9981,-0.0019,148.11,3.1326
21.844,25.008,407,406.869,24.9985,-0.0015,147.98,3.1545
21.855,25.008,407,407.232,25.0026,0.0026,143.88,3.1479
21.855,25.019,407,406.963,24.9996,-0.0004,146.65,3.1448
21.865,24.997,407,406.917,24.9991,-0.0009,147.28,3.1336
21.887,25.008,407,407.117,25.0013,0.0013,145.05,3.1144
21.887,25.019,407,407.019,25.0002,0.0002,145.99,3.1133
21.876,25.019,407,406.933,24.9992,-0.0008,146.98,3.1230
21.876,25.008,407,406.758,24.9973,-0.0027,149.21,3.1210
21.887,25.019,407,407.009,25.0001,0.0001,146.68,3.1132
21.898,24.997,407,407.214,25.0024,0.0024,144.21,3.1048
21.876,25.008,407,407.172,25.0020,0.0020,144.28,3.1257
21.876,25.008,407,407.208,25.0024,0.0024,143.50,3.1261
21.919,25.008,407,407.204,25.0023,0.0023,143.14,3.0832
21.898,25.019,407,407.307,25.0035,0.0035,141.49,3.1058
21.908,25.030,407,407.126,25.0014,0.0014,143.05,3.0930
21.930,25.008,407,407.070,25.0008,0.0008,143.47,3.0709
21.908,25.019,407,407.045,25.0005,0.0005,143.63,3.0921
21.930,25.008,407,406.960,24.9995,-0.0005,144.56,3.0697
21.908,25.008,407,406.948,24.9994,-0.0006,144.79,3.0910
21.919,25.008,407,407.202,25.0023,0.0023,141.85,3.0832
21.930,25.008,407,407.036,25.0004,0.0004,143.43,3.0706
21.919,24.997,407,406.870,24.9985,-0.0015,145.35,3.0794
21.919,25.019,407,406.945,24.9994,-0.0006,144.71,3.0802
21.919,25.019,407,406.776,24.9975,-0.0025,146.85,3.0783
21.930,24.997,407,406.928,24.9992,-0.0008,145.48,3.0693
21.919,25.008,407,407.108,25.0012,0.0012,143.46,3.0821
21.919,25.019,407,407.401,25.0046,0.0046,139.72,3.0854
21.930,25.008,407,407.225,25.0026,0.0026,141.03,3.0727
21.930,24.987,407,407.182,25.0021,0.0021,141.10,3.0722
