timestamps,resistance,ppm,temp_c,ambient_c,savgol_151_2
1517941339.54,70003.307,-0.41,25.953,20.986,-0.133090019687
1517941340.55,70003.307,-0.41,25.953,20.976,-0.137110468526
1517941341.55,70003.34,0.07,25.958,20.965,-0.141310489617
1517941342.54,70003.34,0.07,25.957,20.965,-0.145687555613
1517941343.54,70003.34,0.07,25.959,20.943,-0.155330616001
1517941344.54,70003.34,0.07,25.956,20.965,-0.165196169939
1517941345.54,70003.302,-0.48,25.958,20.943,-0.175286134722
1517941346.55,70003.302,-0.48,25.954,20.965,-0.185602427646
1517941347.55,70003.302,-0.48,25.958,20.943,-0.191651777116
1517941348.55,70003.304,-0.45,25.956,20.933,-0.197881308886
1517941349.55,70003.304,-0.45,25.961,20.933,-0.20428901851
1517941350.55,70003.304,-0.45,25.961,20.933,-0.206866117797
1517941351.54,70003.358,0.32,25.963,20.933,-0.209153487432
1517941352.55,70003.358,0.32,25.959,20.943,-0.211145811274
1517941353.55,70003.358,0.32,25.96,20.922,-0.216297064183
1517941354.55,70003.358,0.32,25.959,20.922,-0.224297053725
1517941355.55,70003.348,0.18,25.962,20.933,-0.231975460347
1517941356.55,70003.348,0.18,25.962,20.922,-0.239332981248
1517941357.55,70003.348,0.18,25.967,20.911,-0.242745159044
1517941358.55,70003.304,-0.45,25.966,20.89,-0.246137205227
1517941359.55,70003.304,-0.45,25.969,20.89,-0.2495065053
1517941360.55,70003.304,-0.45,25.965,20.9,-0.251884319042
1517941361.55,70003.33,-0.08,25.965,20.922,-0.253891310202
1517941362.55,70003.33,-0.08,25.964,20.933,-0.255524167087
1517941363.55,70003.33,-0.08,25.967,20.922,-0.258893589171
1517941364.55,70003.33,-0.08,25.966,20.922,-0.265538250502
1517941365.55,70003.292,-0.62,25.973,20.89,-0.27190459881
1517941366.55,70003.292,-0.62,25.971,20.9,-0.277994464242
1517941367.55,70003.292,-0.62,25.973,20.9,-0.274149265022
1517941368.55,70003.32,-0.22,25.969,20.911,-0.270180618049
1517941369.55,70003.32,-0.22,25.97,20.911,-0.266081812787
1517941370.55,70003.32,-0.22,25.966,20.9,-0.272295021391
1517941371.55,70003.315,-0.29,25.97,20.911,-0.278202813371
1517941372.55,70003.315,-0.29,25.971,20.89,-0.283807716073
1517941373.55,70003.315,-0.29,25.976,20.868,-0.284595960256
1517941374.55,70003.315,-0.29,25.975,20.89,-0.288060977002
1517941375.55,70003.312,-0.33,25.977,20.868,-0.291705086675
1517941376.55,70003.312,-0.33,25.971,20.868,-0.295528986474
1517941377.55,70003.312,-0.33,25.969,20.879,-0.294365544787
1517941378.55,70003.32,-0.22,25.967,20.922,-0.293378755832
1517941379.55,70003.32,-0.22,25.971,20.9,-0.292564785015
1517941380.55,70003.32,-0.22,25.971,20.922,-0.294085209887
1517941381.55,70003.33,-0.08,25.978,20.9,-0.295134720585
1517941382.55,70003.33,-0.08,25.976,20.922,-0.295711661259
1517941383.55,70003.33,-0.08,25.98,20.933,-0.295814376064
1517941384.55,70003.33,-0.08,25.977,20.922,-0.301898942785
1517941385.55,70003.289,-0.66,25.978,20.9,-0.308103558415
1517941386.55,70003.289,-0.66,25.974,20.922,-0.314431970397
1517941387.55,70003.289,-0.66,25.976,20.922,-0.310154743261
1517941388.56,70003.332,-0.05,25.972,20.9,-0.30599939518
1517941389.55,70003.332,-0.05,25.976,20.933,-0.301960261415
1517941390.55,70003.332,-0.05,25.977,20.954,-0.305787394473
1517941391.55,70003.312,-0.33,25.982,20.943,-0.309535482623
1517941392.55,70003.312,-0.33,25.982,20.976,-0.313205745964
1517941393.55,70003.312,-0.33,25.983,20.954,-0.316799404592
1517941394.56,70003.312,-0.33,25.979,20.965,-0.314410043497
1517941395.56,70003.302,-0.48,25.978,20.976,-0.312250452961
1517941396.56,70003.302,-0.48,25.973,20.965,-0.310316536944
1517941397.56,70003.302,-0.48,25.978,20.976,-0.310595799901
1517941398.55,70003.307,-0.41,25.977,20.986,-0.310903560856
1517941399.55,70003.307,-0.41,25.983,20.976,-0.311237553913
1517941400.55,70003.307,-0.41,25.983,20.965,-0.31192984612
1517941401.56,70003.307,-0.41,25.987,20.976,-0.312716478031
1517941402.56,70003.294,-0.59,25.985,20.976,-0.313595445201
1517941403.56,70003.294,-0.59,25.987,20.965,-0.314564743183
