timestamp,ltz1000-p17-hammond
1514574377.807,7071446.2
1514574381.160,7071444.7
1514574384.512,7071444.9
1514574387.864,7071444.1
1514574391.216,7071443.9
1514574394.568,7071444.9
1514574397.920,7071443.9
1514574401.272,7071444.9
1514574404.625,7071444.9
1514574407.977,7071443.4
1514574411.329,7071443.4
1514574414.681,7071444.4
1514574418.033,7071444.4
1514574421.385,7071444.1
1514574424.737,7071444.4
1514574428.090,7071443.4
1514574431.441,7071443.4
1514574434.793,7071443.9
1514574438.145,7071443.1
1514574441.498,7071442.9
1514574444.850,7071442.9
1514574448.202,7071442.4
1514574451.555,7071442.9
1514574454.906,7071442.4
1514574458.258,7071442.6
1514574461.611,7071444.1
1514574464.962,7071444.4
1514574468.315,7071444.4
1514574471.667,7071443.9
1514574475.018,7071444.1
1514574478.371,7071444.9
1514574481.723,7071443.9
1514574485.075,7071443.6
1514574488.428,7071444.1
1514574491.779,7071444.4
1514574495.132,7071443.6
1514574498.484,7071443.1
1514574501.835,7071443.5
1514574505.188,7071444.4
1514574508.540,7071445.4
1514574511.893,7071443.1
1514574515.244,7071444.1
1514574518.597,7071444.1
1514574521.948,7071444.1
1514574525.301,7071444.4
1514574528.653,7071445.7
1514574532.005,7071445.2
1514574535.357,7071444.7
1514574538.709,7071445.7
1514574542.062,7071445.7
1514574545.413,7071444.9
1514574548.765,7071445.9
1514574552.118,7071445.9
1514574555.469,7071444.7
1514574558.822,7071444.4
1514574562.174,7071443.6
1514574565.526,7071444.9
1514574568.878,7071445.2
1514574572.230,7071443.9
1514574575.582,7071444.9
1514574578.935,7071444.7
1514574582.286,7071444.1
1514574585.639,7071444.9
1514574588.991,7071443.9
1514574592.343,7071443.1
1514574595.695,7071442.9
1514574599.048,7071443.4
1514574602.399,7071444.4
1514574605.752,7071442.9
1514574609.103,7071443.9
1514574612.456,7071442.4
1514574615.808,7071442.9
1514574619.160,7071444.7
1514574622.512,7071442.1
1514574625.864,7071442.2
1514574629.281,7071441.1
1514574632.569,7071439.6
1514574635.920,7071442.1
1514574639.272,7071441.6
1514574642.625,7071441.4
1514574645.977,7071441.9
1514574649.329,7071441.4
1514574652.681,7071441.6
1514574656.033,7071443.9
1514574659.385,7071442.9
1514574662.737,7071443.9
1514574666.090,7071444.7
1514574669.441,7071443.4
1514574672.794,7071443.6
1514574676.146,7071445.4
1514574679.498,7071445.4
1514574682.850,7071445.2
