timestamp,ltz1000-p17-powercycle
1514589809.809,7071444.9
1514589813.162,7071446.2
1514589816.513,7071446.7
1514589819.866,7071447.7
1514589823.218,7071447.4
1514589826.569,7071447.2
1514589829.922,7071448.0
1514589833.274,7071448.5
1514589836.626,7071446.9
1514589839.979,7071446.2
1514589843.331,7071447.2
1514589846.682,7071446.2
1514589850.035,7071446.4
1514589853.387,7071446.7
1514589856.739,7071447.7
1514589860.091,7071446.4
1514589863.443,7071445.7
1514589866.796,7071445.4
1514589870.148,7071446.7
1514589873.499,7071445.4
1514589876.852,7071445.9
1514589880.204,7071444.1
1514589883.556,7071446.7
1514589886.908,7071457.3
1514589890.260,7071456.6
1514589893.612,7071449.0
1514589896.965,7071441.1
1514589900.317,7071440.3
1514589903.669,7071441.9
1514589907.021,7071443.4
1514589910.373,7071441.6
1514589913.725,7071442.4
1514589917.077,7071440.3
1514589920.429,7071443.1
1514589923.782,7071442.1
1514589927.133,7071441.4
1514589930.486,7071441.6
1514589933.838,7071441.9
1514589937.190,7071441.9
1514589940.542,7071439.8
1514589943.894,7071440.3
1514589947.246,7071440.1
1514589950.599,7071440.9
1514589953.950,7071438.6
1514589957.302,7071440.3
1514589960.655,7071441.6
1514589964.007,7071442.1
1514589967.358,7071441.1
1514589970.711,7071443.0
1514589974.063,7071441.1
1514589977.415,7071439.6
1514589980.768,7071440.1
1514589984.119,7071438.6
1514589987.472,7071440.6
1514589990.823,7071442.9
1514589994.176,7071458.6
1514589997.527,7071450.5
1514590000.880,7071446.9
1514590004.231,7071448.2
1514590007.584,7071449.0
1514590010.937,7071446.2
1514590014.288,7071444.1
1514590017.641,7071449.0
1514590020.992,7071450.7
1514590024.344,7071445.2
1514590027.697,7071441.4
1514590031.049,7071440.3
1514590034.401,7071442.1
1514590037.753,7071445.8
1514590041.105,7071446.9
1514590044.458,7071447.7
1514590047.809,7071448.5
1514590051.162,7071446.2
1514590054.514,7071444.7
1514590057.866,7071443.4
1514590061.218,7071445.4
1514590064.570,7071444.1
1514590067.923,7071444.7
1514590071.274,7071445.4
1514590074.627,7071445.9
1514590077.978,7071444.1
1514590081.331,7071443.9
1514590084.683,7071445.9
1514590088.035,7071445.4
1514590091.387,7071447.2
1514590094.739,7071443.4
1514590098.092,7071436.3
1514590101.443,7071446.7
1514590104.796,7071451.5
1514590108.148,7071451.8
1514590111.500,7071451.2
1514590114.852,7071440.6
1514590118.204,7071440.1
1514590121.556,7071449.2
1514590124.909,7071450.2
1514590128.260,7071446.9
1514590131.613,7071438.6
1514590134.964,7071437.6
1514590138.317,7071438.3
1514590141.668,7071439.3
1514590145.021,7071452.0
1514590148.373,7071450.7
1514590151.725,7071448.5
1514590155.077,7071451.0
1514590158.430,7071450.2
1514590161.781,7071450.5
1514590165.133,7071449.7
1514590168.486,7071450.0
1514590171.837,7071450.2
1514590175.190,7071449.5
1514590178.542,7071448.2
1514590181.894,7071448.2
1514590185.247,7071448.7
1514590188.598,7071450.2
1514590191.951,7071440.9
1514590195.302,7071438.3
1514590198.655,7071438.3
1514590202.007,7071446.7
1514590205.358,7071450.5
1514590208.711,7071451.0
1514590212.063,7071449.5
1514590215.416,7071450.7
1514590218.767,7071449.2
1514590222.120,7071451.5
1514590225.471,7071449.7
1514590228.824,7071451.0
1514590232.176,7071441.1
1514590235.528,7071439.6
1514590238.880,7071440.3
1514590242.232,7071441.1
1514590245.584,7071440.1
1514590248.936,7071439.6
1514590252.288,7071438.6
1514590255.640,7071439.3
1514590258.993,7071439.1
1514590262.344,7071440.9
1514590265.697,7071441.1
1514590269.048,7071440.1
1514590272.401,7071441.6
1514590275.753,7071440.9
1514590279.105,7071441.1
1514590282.458,7071440.6
1514590285.809,7071439.8
1514590289.162,7071439.6
1514590292.514,7071441.1
1514590295.866,7071439.8
1514590299.218,7071440.6
1514590302.570,7071441.4
1514590305.922,7071440.9
1514590309.275,7071440.1
1514590312.626,7071441.9
1514590315.979,7071441.6
1514590319.331,7071440.9
1514590322.683,7071441.4
1514590326.035,7071440.9
1514590329.387,7071440.1
1514590332.739,7071442.1
1514590336.091,7071442.1
1514590339.443,7071442.1
1514590342.795,7071442.4
1514590346.147,7071441.9
1514590349.500,7071442.1
1514590352.851,7071441.9
1514590356.204,7071441.1
1514590359.556,7071440.3
1514590362.908,7071441.5
1514590366.261,7071441.6
1514590369.612,7071439.3
1514590372.965,7071440.6
1514590376.316,7071441.4
1514590379.669,7071442.4
1514590383.020,7071441.4
1514590386.373,7071442.4
1514590389.725,7071439.6
1514590393.077,7071441.9
1514590396.430,7071440.9
1514590399.781,7071440.6
1514590403.134,7071442.4
1514590406.485,7071443.4
1514590409.838,7071442.4
1514590413.190,7071440.9
1514590416.542,7071441.9
1514590419.894,7071443.1
1514590423.246,7071443.6
1514590426.598,7071444.9
1514590429.950,7071442.9
1514590433.303,7071443.1
1514590436.655,7071442.4
1514590440.007,7071443.6
1514590443.359,7071444.1
1514590446.711,7071442.4
1514590450.063,7071451.5
1514590453.415,7071451.5
1514590456.767,7071451.0
1514590460.119,7071450.0
1514590463.471,7071450.0
1514590466.824,7071445.4
1514590470.175,7071442.9
1514590473.528,7071440.3
1514590476.880,7071452.3
1514590480.232,7071449.5
1514590483.584,7071450.7
1514590486.936,7071453.8
1514590490.288,7071453.0
1514590493.640,7071452.5
1514590496.993,7071452.0
1514590500.345,7071451.8
1514590503.696,7071451.5
1514590507.049,7071451.2
1514590510.401,7071450.7
1514590513.753,7071449.5
1514590517.105,7071449.2
1514590520.457,7071450.0
1514590523.809,7071449.0
1514590527.161,7071449.2
1514590530.514,7071450.2
1514590533.865,7071451.2
1514590537.218,7071451.2
1514590540.570,7071451.2
1514590543.922,7071451.0
1514590547.274,7071451.5
1514590550.626,7071451.5
1514590553.978,7071449.7
1514590557.330,7071451.0
1514590560.682,7071452.3
1514590564.035,7071451.2
1514590567.387,7071451.0
1514590570.739,7071449.6
1514590574.091,7071451.5
1514590577.443,7071451.0
1514590580.796,7071451.2
1514590584.147,7071449.5
1514590587.500,7071452.5
1514590590.851,7071452.3
1514590594.204,7071453.3
1514590597.556,7071452.3
1514590600.908,7071454.0
1514590604.260,7071453.8
1514590607.612,7071454.0
1514590610.965,7071452.8
1514590614.316,7071452.5
1514590617.669,7071452.8
1514590621.020,7071452.0
1514590624.372,7071455.6
1514590627.725,7071456.1
1514590631.077,7071458.9
1514590634.428,7071452.8
1514590637.781,7071451.5
1514590641.133,7071451.5
1514590644.485,7071451.5
1514590647.838,7071451.8
1514590651.189,7071455.3
1514590654.542,7071454.3
1514590657.893,7071453.8
1514590661.246,7071453.3
1514590664.598,7071454.8
1514590667.950,7071456.3
1514590671.302,7071446.2
1514590674.654,7071454.0
1514590678.006,7071451.5
1514590681.358,7071451.8
1514590684.711,7071450.7
1514590688.062,7071451.4
1514590691.415,7071451.5
1514590694.767,7071450.5
1514590698.119,7071450.7
1514590701.471,7071451.2
1514590704.824,7071451.0
1514590708.175,7071452.3
1514590711.528,7071450.5
1514590714.879,7071451.2
1514590718.231,7071450.4
1514590721.584,7071451.0
1514590724.935,7071451.5
1514590728.537,7071451.0
1514590731.639,7071452.5
1514590734.992,7071451.2
1514590738.344,7071451.8
1514590741.696,7071452.3
1514590745.048,7071454.8
1514590748.401,7071454.8
1514590751.752,7071454.3
1514590755.105,7071452.8
1514590758.456,7071454.0
1514590761.809,7071453.5
1514590765.161,7071453.3
1514590768.513,7071454.8
1514590771.865,7071456.6
1514590775.217,7071458.1
1514590778.569,7071459.1
1514590781.922,7071457.6
1514590785.273,7071457.3
1514590788.626,7071457.8
1514590791.977,7071457.8
1514590795.330,7071458.1
1514590798.682,7071456.1
1514590802.034,7071456.8
1514590805.386,7071454.5
1514590808.738,7071454.5
1514590812.091,7071453.0
1514590815.442,7071451.5
1514590818.795,7071451.2
1514590822.146,7071452.5
1514590825.499,7071452.0
1514590828.851,7071453.8
1514590832.203,7071452.8
1514590835.555,7071452.8
1514590838.907,7071451.5
1514590842.259,7071453.5
1514590845.612,7071453.0
1514590848.963,7071452.0
1514590852.316,7071453.3
1514590855.667,7071452.3
