timestamp,ltz1000-p17-cotton-rounds
1514634632.584,7071493.8
1514634635.936,7071495.4
1514634639.288,7071495.4
1514634642.641,7071493.8
1514634645.992,7071495.4
1514634649.345,7071493.8
1514634652.697,7071493.6
1514634656.048,7071494.4
1514634659.401,7071496.4
1514634662.753,7071493.8
1514634666.105,7071494.6
1514634669.458,7071494.9
1514634672.809,7071495.6
1514634676.162,7071495.4
1514634679.513,7071495.1
1514634682.866,7071495.1
1514634686.218,7071494.6
1514634689.570,7071494.6
1514634692.922,7071494.9
1514634696.275,7071495.6
1514634699.626,7071495.4
1514634702.979,7071494.6
1514634706.330,7071495.6
1514634709.682,7071494.6
1514634713.035,7071494.4
1514634716.387,7071494.4
1514634719.738,7071494.1
1514634723.091,7071494.4
1514634726.442,7071494.1
1514634729.795,7071494.6
1514634733.147,7071493.8
1514634736.499,7071494.4
1514634739.852,7071494.4
1514634743.203,7071495.6
1514634746.556,7071494.9
1514634749.907,7071494.6
1514634753.260,7071495.1
1514634756.612,7071494.9
1514634759.964,7071494.9
1514634763.316,7071495.1
1514634766.668,7071495.2
1514634770.020,7071495.2
1514634773.373,7071494.9
1514634776.724,7071494.9
1514634780.077,7071494.9
1514634783.428,7071494.9
1514634786.781,7071494.9
1514634790.132,7071494.1
1514634793.485,7071494.4
1514634796.837,7071494.9
1514634800.189,7071494.6
1514634803.541,7071495.6
1514634806.893,7071495.1
1514634810.245,7071496.1
1514634813.598,7071495.4
1514634816.949,7071495.4
1514634820.302,7071494.4
1514634823.653,7071494.9
1514634827.006,7071493.6
1514634830.358,7071493.8
1514634833.710,7071494.9
1514634837.062,7071495.4
1514634840.414,7071495.4
1514634843.766,7071495.1
1514634847.118,7071495.1
1514634850.471,7071495.6
1514634853.822,7071495.6
1514634857.175,7071494.1
1514634860.527,7071495.1
1514634863.879,7071494.6
1514634867.231,7071495.1
1514634870.583,7071495.6
1514634873.935,7071496.1
1514634877.287,7071494.6
1514634880.640,7071496.1
1514634883.991,7071495.6
1514634887.344,7071495.6
1514634890.696,7071496.9
1514634894.047,7071495.6
1514634897.400,7071495.1
1514634900.753,7071493.6
1514634904.104,7071494.1
1514634907.456,7071493.8
1514634910.808,7071493.8
1514634914.160,7071493.6
1514634917.513,7071494.9
1514634920.864,7071494.4
1514634924.217,7071494.1
1514634927.568,7071494.1
1514634930.921,7071494.4
1514634934.273,7071494.4
1514634937.625,7071493.6
1514634940.977,7071493.8
1514634944.330,7071493.1
1514634947.681,7071492.8
1514634951.034,7071492.6
1514634954.386,7071493.6
1514634957.737,7071493.6
1514634961.090,7071494.6
1514634964.442,7071493.1
1514634967.794,7071493.8
1514634971.146,7071493.8
1514634974.499,7071493.8
1514634977.850,7071493.8
1514634981.203,7071493.1
1514634984.554,7071493.1
1514634987.907,7071493.6
1514634991.258,7071493.3
1514634994.611,7071493.6
1514634997.963,7071493.8
1514635001.315,7071493.3
1514635004.667,7071494.1
1514635008.020,7071493.6
1514635011.371,7071493.3
1514635014.724,7071494.4
1514635018.075,7071493.8
1514635021.427,7071493.6
1514635024.780,7071493.3
1514635028.131,7071493.6
1514635031.484,7071493.1
1514635034.836,7071493.6
1514635038.188,7071493.1
1514635041.540,7071494.1
1514635044.893,7071494.6
1514635048.244,7071494.1
1514635051.597,7071492.8
1514635054.948,7071493.8
1514635058.301,7071493.1
1514635061.652,7071492.8
1514635065.005,7071494.1
1514635068.357,7071492.1
1514635071.708,7071494.1
1514635075.061,7071493.6
1514635078.413,7071493.3
1514635081.765,7071495.9
1514635085.117,7071493.8
1514635088.469,7071494.4
1514635091.821,7071493.3
1514635095.174,7071492.8
1514635098.525,7071493.6
1514635101.878,7071493.8
1514635105.229,7071493.3
1514635108.582,7071494.4
1514635111.934,7071493.6
1514635115.286,7071494.4
1514635118.638,7071493.8
1514635121.991,7071493.3
1514635125.342,7071494.6
1514635128.695,7071495.6
1514635132.046,7071495.1
1514635135.399,7071496.4
1514635138.750,7071494.9
1514635142.103,7071495.6
1514635145.455,7071494.1
1514635148.807,7071495.1
1514635152.160,7071494.9
1514635155.511,7071494.6
1514635158.864,7071495.4
1514635162.215,7071494.4
1514635165.568,7071494.6
1514635168.919,7071494.4
1514635172.272,7071494.4
1514635175.624,7071493.6
1514635178.976,7071494.4
1514635182.328,7071495.1
1514635185.680,7071495.4
1514635189.033,7071495.0
1514635192.384,7071494.9
1514635195.736,7071495.1
1514635199.089,7071495.6
1514635202.441,7071496.1
1514635205.793,7071495.6
1514635209.145,7071495.4
1514635212.497,7071494.9
1514635215.849,7071494.9
1514635219.201,7071496.6
1514635222.554,7071494.1
1514635225.905,7071495.1
1514635229.258,7071495.6
