timestamp,332B
1500616785.725,9999045.7
1500616789.071,9999046.2
1500616792.416,9999047.4
1500616795.762,9999046.2
1500616799.107,9999046.9
1500616802.453,9999044.9
1500616805.798,9999046.4
1500616809.144,9999045.7
1500616812.489,9999045.2
1500616815.834,9999047.2
1500616819.180,9999045.4
1500616822.525,9999047.7
1500616825.871,9999047.4
1500616829.216,9999047.2
1500616832.562,9999047.4
1500616835.907,9999047.4
1500616839.253,9999048.2
1500616842.598,9999047.9
1500616845.943,9999048.2
1500616849.289,9999049.2
1500616852.634,9999049.5
1500616855.980,9999047.2
1500616859.325,9999047.9
1500616862.670,9999048.2
1500616866.016,9999048.2
1500616869.361,9999047.2
1500616872.707,9999047.4
1500616876.052,9999046.4
1500616879.398,9999046.7
1500616882.743,9999048.2
1500616886.088,9999046.9
1500616889.434,9999046.7
1500616892.779,9999045.9
1500616896.125,9999046.4
1500616899.470,9999047.2
1500616902.816,9999048.5
1500616906.161,9999048.2
1500616909.506,9999048.2
1500616912.852,9999045.9
1500616916.197,9999047.4
1500616919.543,9999046.2
1500616922.888,9999047.7
1500616926.234,9999047.2
1500616929.579,9999047.2
1500616932.924,9999045.9
1500616936.270,9999047.2
1500616939.615,9999047.4
1500616942.961,9999047.7
1500616946.306,9999047.4
1500616949.652,9999047.7
1500616952.997,9999046.7
1500616956.342,9999047.4
1500616959.688,9999048.5
1500616963.033,9999046.9
1500616966.379,9999046.7
1500616969.724,9999046.7
1500616973.070,9999045.9
1500616976.415,9999046.4
1500616979.761,9999046.2
1500616983.106,9999046.7
1500616986.451,9999047.7
1500616989.797,9999046.4
1500616993.142,9999047.9
1500616996.488,9999047.4
1500616999.833,9999048.2
1500617003.178,9999046.2
1500617006.524,9999047.2
1500617009.869,9999046.4
1500617013.215,9999045.4
1500617016.560,9999045.9
1500617019.906,9999046.2
1500617023.251,9999046.7
1500617026.596,9999045.4
1500617029.942,9999045.7
1500617033.287,9999046.4
1500617036.633,9999047.7
1500617039.978,9999045.7
1500617043.324,9999046.2
1500617046.669,9999045.9
1500617050.015,9999045.4
1500617053.360,9999045.4
1500617056.705,9999045.7
1500617060.051,9999047.4
1500617063.396,9999046.7
1500617066.742,9999046.7
1500617070.087,9999045.2
1500617073.432,9999045.7
1500617076.778,9999045.9
1500617080.123,9999043.6
1500617083.468,9999045.7
1500617086.814,9999044.9
1500617090.159,9999044.6
1500617093.505,9999044.6
1500617096.850,9999045.4
1500617100.196,9999046.2
1500617103.541,9999044.9
1500617106.886,9999045.7
1500617110.232,9999045.7
1500617113.577,9999044.4
1500617116.923,9999045.7
1500617120.268,9999044.6
1500617123.614,9999044.4
1500617126.959,9999046.4
1500617130.304,9999046.7
1500617133.650,9999045.2
1500617136.995,9999045.9
1500617140.341,9999045.2
1500617143.686,9999046.9
1500617147.031,9999045.4
1500617150.377,9999046.7
1500617153.722,9999045.4
1500617157.068,9999046.4
1500617160.413,9999045.9
1500617163.758,9999046.4
1500617167.104,9999046.7
1500617170.449,9999046.7
1500617173.795,9999048.2
1500617177.140,9999046.4
1500617180.485,9999049.0
1500617183.831,9999047.2
1500617187.176,9999046.7
1500617190.522,9999047.2
1500617193.867,9999045.7
1500617197.212,9999045.4
1500617200.558,9999045.9
1500617203.903,9999045.4
1500617207.249,9999045.4
1500617210.594,9999045.7
1500617213.940,9999044.1
1500617217.285,9999046.4
1500617220.630,9999044.1
1500617223.976,9999043.6
1500617227.321,9999044.6
1500617230.667,9999042.4
1500617234.012,9999042.6
1500617237.357,9999041.1
1500617240.703,9999044.1
1500617244.048,9999044.4
1500617247.394,9999042.6
1500617250.739,9999042.6
1500617254.084,9999044.1
1500617257.430,9999044.1
1500617260.775,9999042.9
1500617264.121,9999043.4
1500617267.466,9999043.4
1500617270.811,9999044.1
1500617274.157,9999045.4
1500617277.502,9999043.9
1500617280.848,9999044.1
1500617284.193,9999043.9
1500617287.539,9999044.1
1500617290.884,9999043.1
1500617294.229,9999043.1
1500617297.575,9999043.9
1500617300.920,9999044.1
1500617304.266,9999044.1
1500617307.611,9999044.6
1500617310.956,9999045.4
1500617314.302,9999045.2
1500617317.647,9999044.9
1500617320.993,9999043.6
1500617324.338,9999044.6
1500617327.684,9999044.9
1500617331.029,9999043.4
1500617334.374,9999045.2
1500617337.720,9999045.2
1500617341.065,9999044.1
1500617344.411,9999045.2
1500617347.756,9999043.9
1500617351.102,9999044.6
1500617354.447,9999043.9
1500617357.792,9999044.1
1500617361.138,9999045.2
1500617364.483,9999043.1
1500617367.829,9999046.4
1500617371.174,9999043.6
1500617374.519,9999042.9
1500617377.865,9999042.1
1500617381.210,9999043.6
1500617384.556,9999043.6
1500617387.901,9999043.1
1500617391.246,9999045.7
1500617394.592,9999044.1
1500617397.937,9999043.6
1500617401.283,9999042.6
1500617404.628,9999043.9
1500617407.974,9999042.4
1500617411.319,9999043.6
1500617414.664,9999041.9
1500617418.010,9999041.9
1500617421.355,9999044.4
1500617424.701,9999043.4
1500617428.046,9999043.1
1500617431.391,9999044.4
1500617434.737,9999042.9
1500617438.082,9999042.6
1500617441.428,9999042.4
1500617444.773,9999043.4
1500617448.118,9999045.7
1500617451.464,9999043.6
1500617454.809,9999044.1
1500617458.155,9999043.9
1500617461.500,9999041.6
1500617464.846,9999044.4
1500617468.191,9999042.1
1500617471.536,9999042.4
1500617474.882,9999043.4
1500617478.227,9999043.4
1500617481.573,9999042.1
1500617484.918,9999043.6
1500617488.263,9999041.6
1500617491.609,9999041.9
1500617494.954,9999043.6
1500617498.300,9999042.6
1500617501.645,9999042.6
1500617504.990,9999041.9
1500617508.336,9999041.1
