si_7021_ambient_c,si7021_internal_c,setpoint,adc,adc_c,error_c,output,io_delta_c
20.568,-46.582,406,406.433,25.0049,0.0049,163.68,4.4372
20.578,-46.582,406,406.396,25.0045,0.0045,163.80,4.4260
20.568,-46.582,406,406.267,25.0030,0.0030,164.94,4.4353
20.578,-46.582,406,406.172,25.0020,0.0020,165.79,4.4235
20.589,-46.582,406,406.136,25.0015,0.0015,166.06,4.4123
20.611,-46.582,406,406.193,25.0022,0.0022,165.38,4.3915
20.600,-46.582,406,406.155,25.0018,0.0018,165.67,4.4018
20.600,-46.582,406,406.183,25.0021,0.0021,165.28,4.4021
20.611,-46.582,406,406.227,25.0026,0.0026,164.70,4.3919
20.611,-46.582,406,406.192,25.0022,0.0022,164.94,4.3915
20.621,-46.582,406,406.364,25.0041,0.0041,162.99,4.3827
20.621,-46.582,406,406.212,25.0024,0.0024,164.39,4.3810
20.621,-46.582,406,405.874,24.9986,-0.0014,167.84,4.3772
20.632,-46.582,406,405.714,24.9968,-0.0032,169.61,4.3646
20.621,-46.582,406,405.549,24.9949,-0.0051,171.54,4.3735
20.621,-46.582,406,405.699,24.9966,-0.0034,170.21,4.3752
20.632,-46.582,406,405.771,24.9974,-0.0026,169.63,4.3653
20.654,-46.582,406,405.716,24.9968,-0.0032,170.36,4.3432
20.654,-46.582,406,405.734,24.9970,-0.0030,170.33,4.3434
20.664,-46.582,406,405.670,24.9963,-0.0037,171.17,4.3320
20.654,-46.582,406,405.657,24.9961,-0.0039,171.51,4.3425
20.654,-46.582,406,405.662,24.9962,-0.0038,171.66,4.3426
20.675,-46.582,406,405.379,24.9929,-0.0071,174.86,4.3179
20.654,-46.582,406,405.665,24.9962,-0.0038,172.20,4.3426
20.654,-46.582,406,405.624,24.9957,-0.0043,172.84,4.3422
20.643,-46.582,406,405.682,24.9964,-0.0036,172.45,4.3535
20.643,-46.582,406,405.657,24.9961,-0.0039,172.91,4.3533
20.664,-46.582,406,405.692,24.9965,-0.0035,172.75,4.3322
20.654,-46.582,406,405.474,24.9940,-0.0060,175.24,4.3404
20.675,-46.582,406,405.436,24.9936,-0.0064,175.95,4.3186
20.675,-46.582,406,405.459,24.9938,-0.0062,176.06,4.3188
20.675,-46.582,406,405.702,24.9966,-0.0034,173.80,4.3216
20.686,-46.582,406,405.735,24.9970,-0.0030,173.62,4.3113
20.686,-46.582,406,405.680,24.9964,-0.0036,174.37,4.3106
20.696,-46.582,406,405.826,24.9980,-0.0020,173.01,4.3016
20.686,-46.582,406,405.864,24.9985,-0.0015,172.72,4.3127
20.686,-46.582,406,406.025,25.0003,0.0003,171.09,4.3145
20.686,-46.582,406,405.920,24.9991,-0.0009,172.19,4.3133
20.718,-46.582,406,405.958,24.9995,-0.0005,171.84,4.2816
20.686,-46.582,406,405.815,24.9979,-0.0021,173.37,4.3122
20.686,-46.582,406,406.040,25.0005,0.0005,171.10,4.3147
20.686,-46.582,406,406.178,25.0020,0.0020,169.62,4.3163
20.686,-46.582,406,406.125,25.0014,0.0014,170.07,4.3157
20.686,-46.582,406,406.048,25.0005,0.0005,170.81,4.3148
20.686,-46.582,406,405.803,24.9978,-0.0022,173.38,4.3120
20.707,-46.582,406,406.063,25.0007,0.0007,170.74,4.2935
20.696,-46.582,406,406.274,25.0031,0.0031,168.46,4.3066
20.729,-46.582,406,406.296,25.0034,0.0034,168.07,4.2747
20.707,-46.582,406,406.631,25.0072,0.0072,164.35,4.3000
20.707,-46.582,406,406.552,25.0063,0.0063,164.79,4.2991
20.729,-46.582,406,406.190,25.0022,0.0022,168.30,4.2735
20.718,-46.582,406,406.152,25.0017,0.0017,168.60,4.2838
20.729,-46.582,406,405.976,24.9997,-0.0003,170.37,4.2711
20.750,-46.582,406,406.114,25.0013,0.0013,168.92,4.2512
20.750,-46.582,406,406.005,25.0001,0.0001,170.00,4.2500
20.739,-46.582,406,406.126,25.0014,0.0014,168.72,4.2621
20.750,-46.582,406,406.174,25.0020,0.0020,168.14,4.2519
20.750,-46.582,406,406.134,25.0015,0.0015,168.46,4.2514
20.750,-46.582,406,406.201,25.0023,0.0023,167.67,4.2522
20.750,-46.582,406,405.794,24.9977,-0.0023,171.86,4.2476
