timestamp,ambient_c,ambient_rh,set_c,err_c,duty_cycle
1521588881.10,24.858,53.685,25.000,-0.142,0.000
1521588881.51,24.869,53.669,25.000,-0.131,0.000
1521588881.91,24.869,53.677,25.000,-0.131,0.000
1521588882.32,24.869,53.685,25.000,-0.131,0.000
1521588882.73,24.869,53.692,25.000,-0.131,0.000
1521588883.14,24.879,53.692,25.000,-0.121,0.000
1521588883.55,24.837,53.669,25.000,-0.163,0.000
1521588883.95,24.858,53.677,25.000,-0.142,0.000
1521588884.36,24.858,53.692,25.000,-0.142,0.000
1521588884.77,24.869,53.692,25.000,-0.131,0.000
1521588885.18,24.869,53.700,25.000,-0.131,0.000
1521588885.59,24.847,53.669,25.000,-0.153,0.000
1521588885.99,24.869,53.685,25.000,-0.131,0.000
1521588886.40,24.869,53.715,25.000,-0.131,0.000
1521588886.81,24.869,53.723,25.000,-0.131,0.000
1521588887.22,24.869,53.692,25.000,-0.131,0.000
1521588887.62,24.879,53.723,25.000,-0.121,0.000
1521588888.03,24.879,53.723,25.000,-0.121,0.000
1521588888.44,24.847,53.708,25.000,-0.153,0.000
1521588888.85,24.869,53.708,25.000,-0.131,0.000
1521588889.26,24.869,53.708,25.000,-0.131,0.000
1521588889.66,24.879,53.723,25.000,-0.121,0.000
1521588890.07,24.869,53.723,25.000,-0.131,0.000
1521588890.48,24.869,53.738,25.000,-0.131,0.000
1521588890.89,24.869,53.723,25.000,-0.131,0.000
1521588891.30,24.858,53.723,25.000,-0.142,0.000
1521588891.70,24.879,53.738,25.000,-0.121,0.000
1521588892.11,24.869,53.731,25.000,-0.131,0.000
1521588892.52,24.869,53.738,25.000,-0.131,0.000
1521588892.93,24.869,53.753,25.000,-0.131,0.000
1521588893.34,24.869,53.738,25.000,-0.131,0.000
1521588893.74,24.869,53.738,25.000,-0.131,0.000
1521588894.15,24.869,53.753,25.000,-0.131,0.000
1521588894.56,24.858,53.746,25.000,-0.142,0.000
1521588894.97,24.869,53.769,25.000,-0.131,0.000
1521588895.37,24.869,53.746,25.000,-0.131,0.000
1521588895.78,24.879,53.761,25.000,-0.121,0.000
1521588896.19,24.879,53.761,25.000,-0.121,0.000
1521588896.60,24.869,53.769,25.000,-0.131,0.000
1521588897.01,24.869,53.761,25.000,-0.131,0.000
1521588897.42,24.869,53.761,25.000,-0.131,0.000
1521588897.82,24.879,53.761,25.000,-0.121,0.000
1521588898.23,24.869,53.769,25.000,-0.131,0.000
1521588898.64,24.858,53.761,25.000,-0.142,0.000
1521588899.05,24.890,53.761,25.000,-0.110,0.000
1521588899.45,24.890,53.776,25.000,-0.110,0.000
1521588899.86,24.869,53.769,25.000,-0.131,0.000
1521588900.27,24.890,53.784,25.000,-0.110,0.000
1521588900.68,24.890,53.761,25.000,-0.110,0.000
1521588901.09,24.879,53.769,25.000,-0.121,0.000
1521588901.49,24.890,53.769,25.000,-0.110,0.000
1521588901.90,24.879,53.784,25.000,-0.121,0.000
1521588902.31,24.879,53.784,25.000,-0.121,0.000
1521588902.72,24.890,53.769,25.000,-0.110,0.000
1521588903.13,24.858,53.769,25.000,-0.142,0.000
1521588903.53,24.890,53.753,25.000,-0.110,0.000
1521588903.94,24.879,53.784,25.000,-0.121,0.000
1521588904.35,24.879,53.776,25.000,-0.121,0.000
1521588904.76,24.879,53.776,25.000,-0.121,0.000
1521588905.17,24.901,53.776,25.000,-0.099,0.000
1521588905.57,24.869,53.776,25.000,-0.131,0.000
1521588905.98,24.879,53.776,25.000,-0.121,0.000
1521588906.39,24.869,53.776,25.000,-0.131,0.000
1521588906.80,24.879,53.776,25.000,-0.121,0.000
1521588907.20,24.858,53.776,25.000,-0.142,0.000
1521588907.61,24.879,53.792,25.000,-0.121,0.000
1521588908.02,24.879,53.784,25.000,-0.121,0.000
1521588908.43,24.890,53.807,25.000,-0.110,0.000
1521588908.84,24.869,53.784,25.000,-0.131,0.000
1521588909.24,24.869,53.799,25.000,-0.131,0.000
1521588909.65,24.890,53.799,25.000,-0.110,0.000
1521588910.06,24.869,53.807,25.000,-0.131,0.000
1521588910.47,24.879,53.799,25.000,-0.121,0.000
1521588910.88,24.869,53.792,25.000,-0.131,0.000
1521588911.28,24.879,53.807,25.000,-0.121,0.000
1521588911.69,24.890,53.784,25.000,-0.110,0.000
1521588912.10,24.890,53.799,25.000,-0.110,0.000
1521588912.51,24.869,53.807,25.000,-0.131,0.000
1521588912.92,24.869,53.814,25.000,-0.131,0.000
1521588913.32,24.879,53.807,25.000,-0.121,0.000
1521588913.73,24.890,53.822,25.000,-0.110,0.000
1521588914.14,24.869,53.807,25.000,-0.131,0.000
1521588914.55,24.890,53.807,25.000,-0.110,0.000
1521588914.95,24.869,53.830,25.000,-0.131,0.000
1521588915.36,24.890,53.807,25.000,-0.110,0.000
1521588915.77,24.879,53.814,25.000,-0.121,0.000
1521588916.18,24.879,53.814,25.000,-0.121,0.000
1521588916.59,24.869,53.799,25.000,-0.131,0.000
1521588917.00,24.869,53.807,25.000,-0.131,0.000
1521588917.40,24.890,53.822,25.000,-0.110,0.000
1521588917.81,24.858,53.807,25.000,-0.142,0.000
1521588918.22,24.901,53.822,25.000,-0.099,0.000
1521588918.63,24.890,53.799,25.000,-0.110,0.000
1521588919.03,24.890,53.814,25.000,-0.110,0.000
1521588919.44,24.901,53.822,25.000,-0.099,0.000
1521588919.85,24.890,53.822,25.000,-0.110,0.000
1521588920.26,24.869,53.814,25.000,-0.131,0.000
1521588920.67,24.879,53.807,25.000,-0.121,0.000
1521588921.07,24.890,53.822,25.000,-0.110,0.000
1521588921.48,24.869,53.822,25.000,-0.131,0.000
1521588921.89,24.879,53.822,25.000,-0.121,0.000
1521588922.30,24.890,53.830,25.000,-0.110,0.000
1521588922.71,24.890,53.830,25.000,-0.110,0.000
1521588923.11,24.890,53.822,25.000,-0.110,0.000
1521588923.52,24.879,53.807,25.000,-0.121,0.000
1521588923.93,24.901,53.830,25.000,-0.099,0.000
1521588924.34,24.901,53.830,25.000,-0.099,0.000
1521588924.75,24.879,53.822,25.000,-0.121,0.000
1521588925.15,24.901,53.837,25.000,-0.099,0.000
1521588925.56,24.922,53.837,25.000,-0.078,0.000
1521588925.97,24.890,53.830,25.000,-0.110,0.000
1521588926.38,24.890,53.830,25.000,-0.110,0.000
