si7021_c,si7021_h,set,input,output
23.464,57.843,405,267.441,255.00
23.442,57.843,405,267.654,255.00
23.442,57.828,405,267.898,255.00
23.453,57.835,405,268.354,255.00
23.464,57.828,405,268.145,255.00
23.474,57.835,405,268.363,255.00
23.453,57.828,405,268.307,255.00
23.453,57.828,405,268.449,255.00
23.453,57.835,405,268.998,255.00
23.453,57.805,405,268.961,255.00
23.474,57.797,405,269.279,255.00
23.474,57.805,405,269.234,255.00
23.464,57.789,405,269.105,255.00
23.474,57.805,405,269.207,255.00
23.474,57.789,405,269.432,255.00
23.485,57.782,405,269.066,255.00
23.474,57.789,405,269.865,255.00
23.474,57.797,405,269.965,255.00
23.474,57.782,405,269.988,255.00
23.474,57.774,405,270.070,255.00
23.496,57.766,405,270.645,255.00
23.507,57.766,405,270.826,255.00
23.496,57.774,405,270.436,255.00
23.496,57.766,405,270.816,255.00
23.464,57.736,405,270.559,255.00
23.496,57.766,405,271.119,255.00
23.507,57.759,405,270.932,255.00
23.485,57.736,405,271.008,255.00
23.474,57.751,405,272.102,255.00
23.496,57.744,405,271.680,255.00
23.496,57.744,405,271.447,255.00
23.507,57.721,405,271.957,255.00
23.507,57.744,405,271.756,255.00
23.496,57.736,405,271.920,255.00
23.507,57.751,405,272.133,255.00
23.507,57.728,405,272.213,255.00
23.507,57.728,405,272.352,255.00
23.517,57.728,405,272.250,255.00
23.517,57.713,405,272.346,255.00
23.507,57.728,405,272.762,255.00
23.507,57.705,405,272.994,255.00
23.517,57.713,405,272.971,255.00
23.517,57.705,405,272.984,255.00
23.517,57.705,405,273.430,255.00
23.517,57.713,405,273.326,255.00
23.539,57.713,405,273.885,255.00
23.517,57.698,405,273.893,255.00
23.517,57.690,405,274.154,255.00
23.539,57.705,405,274.984,255.00
23.528,57.690,405,274.846,255.00
23.517,57.690,405,274.664,255.00
23.517,57.690,405,274.768,255.00
23.539,57.683,405,274.697,255.00
23.550,57.690,405,275.285,255.00
23.528,57.690,405,275.143,255.00
23.517,57.675,405,275.330,255.00
23.528,57.675,405,275.652,255.00
23.550,57.667,405,275.475,255.00
23.539,57.675,405,276.236,255.00
23.528,57.667,405,276.002,255.00
23.528,57.644,405,276.090,255.00
23.550,57.667,405,276.303,255.00
23.550,57.652,405,276.838,255.00
23.550,57.644,405,276.959,255.00
23.550,57.629,405,276.600,255.00
23.550,57.644,405,276.842,255.00
23.539,57.629,405,276.453,255.00
23.560,57.629,405,276.658,255.00
23.571,57.644,405,276.988,255.00
23.571,57.637,405,276.957,255.00
23.550,57.629,405,277.074,255.00
23.560,57.622,405,277.365,255.00
23.550,57.629,405,277.881,255.00
23.582,57.622,405,277.686,255.00
23.560,57.622,405,277.711,255.00
23.571,57.606,405,277.912,255.00
23.550,57.614,405,278.184,255.00
23.571,57.599,405,277.953,255.00
23.571,57.614,405,278.479,255.00
23.571,57.606,405,278.180,255.00
23.571,57.591,405,278.096,255.00
23.571,57.599,405,278.219,255.00
23.571,57.599,405,278.902,255.00
23.560,57.576,405,278.906,255.00
23.571,57.568,405,279.316,255.00
23.560,57.583,405,279.117,255.00
23.571,57.568,405,279.074,255.00
23.571,57.576,405,279.590,255.00
23.571,57.576,405,279.600,255.00
23.582,57.576,405,279.865,255.00
23.582,57.560,405,279.633,255.00
23.592,57.576,405,279.873,255.00
23.582,57.568,405,280.424,255.00
23.582,57.560,405,279.955,255.00
23.582,57.538,405,280.018,255.00
23.603,57.560,405,280.447,255.00
23.603,57.545,405,280.607,255.00
23.603,57.560,405,280.498,255.00
23.571,57.530,405,280.545,255.00
23.603,57.545,405,280.523,255.00
23.603,57.545,405,280.775,255.00
23.571,57.545,405,281.187,255.00
23.592,57.538,405,281.432,255.00
23.592,57.545,405,281.039,255.00
23.614,57.530,405,281.447,255.00
23.614,57.522,405,281.437,255.00
23.603,57.507,405,282.016,255.00
23.603,57.515,405,282.223,255.00
23.614,57.515,405,281.928,255.00
23.625,57.522,405,282.043,255.00
23.603,57.499,405,282.045,255.00
23.614,57.499,405,282.299,255.00
23.625,57.515,405,282.463,255.00
23.603,57.515,405,282.361,255.00
23.614,57.499,405,283.201,255.00
23.614,57.515,405,283.016,255.00
23.625,57.507,405,283.059,255.00
23.603,57.499,405,283.430,255.00
23.635,57.492,405,283.166,255.00
23.614,57.484,405,283.879,255.00
23.635,57.477,405,283.637,255.00
23.625,57.492,405,283.764,255.00
23.625,57.484,405,283.398,255.00
23.625,57.492,405,283.588,255.00
23.625,57.469,405,283.982,255.00
23.635,57.469,405,284.252,255.00
23.646,57.454,405,284.039,255.00
23.657,57.469,405,285.289,255.00
23.635,57.454,405,284.352,255.00
23.614,57.446,405,285.090,255.00
23.646,57.461,405,284.752,255.00
23.646,57.454,405,284.902,255.00
23.657,57.446,405,285.395,255.00
23.635,57.438,405,285.369,255.00
23.657,57.446,405,285.568,255.00
23.635,57.431,405,285.424,255.00
23.657,57.423,405,285.324,255.00
23.668,57.423,405,285.730,255.00
23.678,57.416,405,285.727,255.00
23.657,57.408,405,285.717,255.00
23.646,57.423,405,286.064,255.00
23.646,57.423,405,285.875,255.00
23.635,57.431,405,286.129,255.00
23.646,57.408,405,286.266,255.00
23.668,57.408,405,286.322,255.00
23.678,57.423,405,286.518,255.00
23.657,57.408,405,286.582,255.00
23.657,57.393,405,286.922,255.00
23.668,57.408,405,286.670,255.00
23.689,57.416,405,287.252,255.00
23.668,57.393,405,287.430,255.00
23.668,57.400,405,287.268,255.00
23.689,57.385,405,287.143,255.00
23.668,57.393,405,287.898,255.00
23.657,57.370,405,287.719,255.00
23.668,57.377,405,288.006,255.00
23.668,57.377,405,287.865,255.00
23.678,57.370,405,288.012,255.00
23.689,57.362,405,287.730,255.00
23.657,57.377,405,288.230,255.00
23.689,57.362,405,288.363,255.00
23.689,57.362,405,288.420,255.00
23.689,57.354,405,288.871,255.00
23.689,57.354,405,288.590,255.00
23.689,57.362,405,289.598,255.00
23.678,57.362,405,288.748,255.00
23.700,57.347,405,289.182,255.00
23.689,57.339,405,289.365,255.00
23.689,57.354,405,289.357,255.00
23.689,57.347,405,289.824,255.00
23.689,57.324,405,289.713,255.00
23.710,57.347,405,289.846,255.00
23.689,57.347,405,289.777,255.00
23.732,57.332,405,289.855,255.00
23.721,57.339,405,290.123,255.00
23.689,57.316,405,290.207,255.00
23.700,57.316,405,290.277,255.00
23.700,57.316,405,289.902,255.00
23.689,57.309,405,290.721,255.00
23.732,57.301,405,290.205,255.00
23.710,57.324,405,290.482,255.00
23.700,57.324,405,291.057,255.00
23.700,57.316,405,290.785,255.00
23.710,57.316,405,291.098,255.00
23.721,57.301,405,291.586,255.00
23.710,57.293,405,291.525,255.00
23.732,57.301,405,291.314,255.00
23.710,57.286,405,291.506,255.00
23.721,57.278,405,291.826,255.00
23.721,57.278,405,291.809,255.00
23.710,57.286,405,291.662,255.00
23.732,57.286,405,292.045,255.00
23.710,57.271,405,291.781,255.00
23.732,57.278,405,292.203,255.00
23.732,57.263,405,292.102,255.00
23.743,57.263,405,292.461,255.00
23.721,57.248,405,291.990,255.00
23.732,57.263,405,292.262,255.00
23.732,57.278,405,292.352,255.00
23.743,57.248,405,292.572,255.00
23.743,57.263,405,292.750,255.00
23.732,57.248,405,292.898,255.00
23.775,57.263,405,293.283,255.00
23.764,57.232,405,293.152,255.00
23.732,57.248,405,293.357,255.00
23.743,57.240,405,293.484,255.00
23.732,57.232,405,293.779,255.00
23.743,57.248,405,294.215,255.00
23.764,57.225,405,293.658,255.00
23.743,57.225,405,294.377,255.00
23.764,57.217,405,294.299,255.00
23.732,57.232,405,294.395,255.00
23.732,57.210,405,294.387,255.00
23.753,57.225,405,294.236,255.00
23.753,57.240,405,294.787,255.00
23.764,57.202,405,295.014,255.00
23.753,57.210,405,294.965,255.00
23.753,57.194,405,295.209,255.00
23.775,57.202,405,295.037,255.00
23.764,57.202,405,295.762,255.00
23.764,57.202,405,295.074,255.00
23.764,57.202,405,295.781,255.00
23.764,57.217,405,296.059,255.00
23.764,57.202,405,296.057,255.00
23.764,57.187,405,296.314,255.00
23.785,57.194,405,296.178,255.00
23.775,57.179,405,295.881,255.00
23.775,57.187,405,296.201,255.00
23.775,57.171,405,296.414,255.00
23.764,57.187,405,296.455,255.00
23.775,57.187,405,296.391,255.00
23.775,57.171,405,296.031,255.00
23.775,57.171,405,296.645,255.00
23.775,57.148,405,297.125,255.00
23.764,57.171,405,296.822,255.00
23.785,57.156,405,296.959,255.00
23.775,57.156,405,297.082,255.00
