resistance,ppm,temp_c
9984.8562,0.01,24.971
9984.8562,0.01,24.995
9984.8562,0.01,24.997
9984.8562,0.01,24.999
9984.8569,0.08,24.996
9984.8569,0.08,24.988
9984.8569,0.08,25.008
9984.8569,0.08,25.015
9984.8569,0.08,25.015
9984.8569,0.08,25.0
9984.8569,0.08,25.015
9984.8569,0.08,25.007
9984.8569,0.08,25.011
9984.8569,0.08,25.018
9984.8569,0.08,25.007
9984.8569,0.08,25.01
9984.8569,0.08,25.007
9984.8569,0.08,24.995
9984.8569,0.08,24.995
9984.8569,0.08,24.993
9984.8569,0.08,25.0
9984.8569,0.08,25.0
9984.8569,0.08,24.995
9984.8569,0.08,24.995
9984.8569,0.08,25.0
9984.8569,0.08,25.003
9984.8569,0.08,25.003
9984.8569,0.08,24.986
9984.8569,0.08,25.018
9984.8569,0.08,25.005
9984.8569,0.08,24.997
9984.8557,-0.04,25.0
9984.8557,-0.04,25.007
9984.8557,-0.04,24.993
9984.8557,-0.04,24.992
9984.8557,-0.04,24.989
9984.8557,-0.04,24.995
9984.8557,-0.04,24.99
9984.8557,-0.04,24.984
9984.8557,-0.04,25.014
9984.8557,-0.04,24.999
9984.8557,-0.04,25.007
9984.8557,-0.04,24.996
9984.8557,-0.04,24.996
9984.8557,-0.04,25.012
9984.8572,0.11,25.003
9984.8572,0.11,25.004
9984.8572,0.11,25.008
9984.8572,0.11,25.004
9984.8572,0.11,24.999
9984.8572,0.11,25.01
9984.8572,0.11,25.008
9984.8572,0.11,24.993
9984.8572,0.11,25.008
9984.8572,0.11,25.004
9984.8572,0.11,24.996
9984.8572,0.11,24.99
9984.8572,0.11,24.996
9984.8569,0.08,24.999
9984.8569,0.08,24.993
9984.8569,0.08,24.995
9984.8569,0.08,24.995
9984.8569,0.08,24.995
9984.8569,0.08,25.001
9984.8569,0.08,25.01
9984.8569,0.08,24.997
9984.8569,0.08,24.986
9984.8569,0.08,25.016
9984.8569,0.08,24.993
9984.8569,0.08,24.965
9984.8569,0.08,25.008
9984.8577,0.16,25.007
9984.8577,0.16,25.004
9984.8577,0.16,25.01
9984.8577,0.16,25.008
9984.8577,0.16,25.01
9984.8577,0.16,25.016
9984.8577,0.16,25.023
9984.8577,0.16,25.005
9984.8577,0.16,24.997
9984.8577,0.16,24.993
9984.8577,0.16,25.001
9984.8577,0.16,24.993
9984.8577,0.16,24.986
9984.8577,0.16,25.004
9984.8579,0.18,24.989
9984.8579,0.18,24.962
9984.8579,0.18,25.0
9984.8579,0.18,25.0
9984.8579,0.18,25.011
9984.8579,0.18,25.003
9984.8579,0.18,25.012
9984.8579,0.18,25.01
9984.8579,0.18,25.015
9984.8579,0.18,25.005
9984.8579,0.18,25.005
9984.8579,0.18,24.993
9984.8579,0.18,25.003
9984.8559,-0.02,25.007
9984.8559,-0.02,25.01
9984.8559,-0.02,25.001
9984.8559,-0.02,25.003
9984.8559,-0.02,25.005
9984.8559,-0.02,25.007
9984.8559,-0.02,25.003
9984.8559,-0.02,25.0
9984.8559,-0.02,24.988
9984.8559,-0.02,24.98
9984.8559,-0.02,24.952
9984.8559,-0.02,25.008
9984.8559,-0.02,24.996
9984.8559,-0.02,25.008
9984.8562,0.01,25.005
9984.8562,0.01,25.001
9984.8562,0.01,25.007
9984.8562,0.01,25.01
9984.8562,0.01,25.004
9984.8562,0.01,25.001
9984.8562,0.01,24.993
9984.8562,0.01,25.003
9984.8562,0.01,25.012
9984.8562,0.01,25.004
9984.8562,0.01,24.997
9984.8562,0.01,25.0
9984.8562,0.01,24.995
9984.8562,0.01,24.999
9984.8562,0.01,25.003
9984.8562,0.01,25.001
9984.8562,0.01,25.004
9984.8562,0.01,25.007
9984.8562,0.01,25.008
9984.8562,0.01,24.997
9984.8562,0.01,24.999
9984.8562,0.01,24.99
9984.8562,0.01,24.992
9984.8562,0.01,24.997
9984.8562,0.01,24.997
