timestamp,lm399,temp_c,humidity
1516252191.8,6.885887,20.366,52.983
1516252194.8,6.885886,20.366,52.975
1516252198.8,6.885886,20.388,52.960
1516252201.8,6.885886,20.398,52.937
1516252204.8,6.885886,20.377,52.937
1516252208.8,6.885886,20.388,52.929
1516252211.8,6.885887,20.366,52.899
1516252214.8,6.885888,20.345,52.914
1516252218.8,6.885887,20.356,52.929
1516252221.8,6.885886,20.356,52.937
1516252224.8,6.885885,20.334,52.960
1516252228.8,6.885888,20.334,52.945
1516252231.8,6.885886,20.313,52.945
1516252234.8,6.885885,20.323,52.975
1516252238.8,6.885885,20.323,53.006
1516252241.8,6.885887,20.334,53.006
1516252245.8,6.885886,20.345,52.960
1516252248.8,6.885886,20.356,52.937
1516252251.8,6.885887,20.345,52.907
1516252255.8,6.885886,20.345,52.876
1516252258.8,6.885887,20.345,52.861
1516252261.79,6.885887,20.366,52.846
1516252265.79,6.885887,20.366,52.800
1516252268.79,6.885886,20.334,52.792
1516252271.79,6.885887,20.345,52.792
1516252275.79,6.885887,20.334,52.777
1516252278.79,6.885885,20.334,52.777
1516252281.79,6.885887,20.356,52.762
1516252285.79,6.885888,20.366,52.762
1516252288.79,6.885888,20.356,52.762
1516252291.79,6.885887,20.345,52.762
1516252295.79,6.885887,20.334,52.723
1516252298.79,6.885887,20.345,52.701
1516252302.79,6.885887,20.334,52.678
1516252305.79,6.885886,20.345,52.647
1516252308.79,6.885885,20.366,52.624
1516252312.79,6.885883,20.334,52.601
1516252315.79,6.885882,20.345,52.601
1516252318.79,6.885884,20.345,52.632
1516252322.78,6.885885,20.334,52.632
1516252325.79,6.885884,20.334,52.624
1516252328.79,6.885884,20.323,52.632
1516252332.78,6.885885,20.334,52.640
1516252335.78,6.885884,20.313,52.640
1516252338.79,6.885883,20.323,52.662
1516252342.78,6.885884,20.323,52.662
1516252345.78,6.885884,20.291,52.655
1516252348.78,6.885883,20.302,52.685
1516252352.78,6.885884,20.270,52.685
1516252355.78,6.885885,20.291,52.693
1516252359.78,6.885884,20.302,52.670
1516252362.78,6.885883,20.281,52.647
1516252365.78,6.885884,20.270,52.632
1516252369.78,6.885886,20.281,52.609
1516252372.78,6.885885,20.291,52.594
1516252375.78,6.885886,20.270,52.609
1516252379.78,6.885884,20.281,52.601
1516252382.78,6.885885,20.291,52.617
1516252385.78,6.885887,20.281,52.624
1516252388.78,6.885885,20.270,52.632
1516252392.78,6.885884,20.281,52.632
1516252395.77,6.885891,20.281,52.601
1516252399.78,6.885903,20.313,52.609
1516252402.77,6.885912,20.334,52.609
1516252405.77,6.885901,20.313,52.632
1516252409.77,6.885900,20.323,52.693
1516252412.77,6.885900,20.323,52.739
1516252416.77,6.885911,20.323,52.762
1516252419.77,6.885903,20.334,52.754
