timestamp,microvolts,temp_c,"Savitzky-Golay (151,2)"
1545283323.0,7045694.41,20.154,7045697.55383
1545283328.18,7045696.81,20.153,7045697.57118
1545283333.37,7045697.01,20.157,7045697.58775
1545283338.55,7045699.95,20.145,7045697.58358
1545283343.72,7045698.28,20.157,7045697.56464
1545283348.9,7045697.36,20.163,7045697.54052
1545283354.07,7045695.9,20.167,7045697.55214
1545283359.25,7045695.17,20.173,7045697.52299
1545283364.42,7045695.57,20.176,7045697.51986
1545283369.6,7045695.82,20.171,7045697.53222
1545283374.77,7045697.93,20.177,7045697.54325
1545283379.95,7045697.88,20.179,7045697.53728
1545283385.12,7045699.82,20.18,7045697.51629
1545283390.3,7045698.9,20.179,7045697.52481
1545283395.49,7045699.15,20.183,7045697.52164
1545283400.67,7045700.23,20.191,7045697.53086
1545283405.85,7045700.05,20.191,7045697.56425
1545283411.02,7045697.68,20.186,7045697.60132
1545283416.2,7045698.1,20.203,7045697.63881
1545283421.37,7045699.11,20.203,7045697.66003
1545283426.55,7045698.91,20.202,7045697.70122
1545283431.72,7045700.15,20.2,7045697.73709
1545283436.9,7045698.36,20.206,7045697.73481
1545283442.07,7045698.51,20.214,7045697.73347
1545283447.25,7045697.38,20.214,7045697.71556
1545283452.42,7045697.26,20.222,7045697.71964
1545283457.59,7045697.32,20.223,7045697.71814
1545283462.77,7045697.09,20.219,7045697.71596
1545283467.96,7045696.99,20.222,7045697.71168
1545283473.13,7045696.16,20.223,7045697.70908
1545283478.31,7045697.19,20.219,7045697.7166
1545283483.48,7045694.84,20.222,7045697.69567
1545283488.64,7045694.25,20.219,7045697.63521
1545283493.81,7045696.31,20.216,7045697.61122
1545283498.99,7045698.52,20.208,7045697.61029
1545283504.16,7045699.4,20.211,7045697.60765
1545283509.34,7045698.77,20.22,7045697.59898
1545283514.51,7045700.26,20.216,7045697.60049
1545283519.68,7045700.32,20.213,7045697.59067
1545283524.86,7045699.09,20.214,7045697.57865
1545283530.03,7045698.7,20.214,7045697.56408
1545283535.21,7045696.31,20.219,7045697.56287
1545283540.39,7045694.2,20.219,7045697.53921
1545283545.58,7045694.37,20.222,7045697.54137
