timestamp,v,temp_c
1545300049.99,7045695.46,19.989
1545300055.17,7045693.94,19.989
1545300060.34,7045694.25,19.993
1545300065.52,7045695.33,19.993
1545300070.69,7045696.52,19.992
1545300075.87,7045695.96,19.993
1545300081.04,7045695.82,19.99
1545300086.23,7045697.39,19.993
1545300091.41,7045695.23,20.0
1545300096.58,7045692.97,19.99
1545300101.76,7045694.88,19.992
1545300106.93,7045693.89,20.0
1545300112.1,7045694.11,20.0
1545300117.28,7045694.2,19.993
1545300122.45,7045693.92,19.995
1545300127.63,7045693.45,20.001
1545300132.8,7045693.55,20.007
1545300137.98,7045692.35,20.006
1545300143.15,7045692.36,20.012
1545300148.33,7045691.93,20.009
1545300153.51,7045692.34,20.01
1545300158.69,7045693.33,20.012
1545300163.86,7045693.02,20.007
1545300169.05,7045693.37,20.013
1545300174.21,7045695.22,20.009
1545300179.4,7045695.86,20.019
1545300184.57,7045695.4,20.016
1545300189.75,7045696.8,20.026
1545300194.92,7045696.0,20.027
1545300200.1,7045694.68,20.023
1545300205.27,7045695.63,20.021
1545300210.45,7045694.6,20.032
1545300215.62,7045694.35,20.03
1545300220.8,7045696.28,20.036
1545300225.98,7045694.07,20.033
1545300231.17,7045694.16,20.042
1545300236.33,7045693.24,20.036
1545300241.52,7045693.98,20.041
1545300246.68,7045694.78,20.042
1545300251.87,7045694.16,20.038
1545300257.04,7045694.13,20.042
1545300262.22,7045693.49,20.039
1545300267.39,7045691.79,20.05
1545300272.57,7045693.61,20.053
1545300277.74,7045693.53,20.049
1545300282.92,7045694.83,20.055
1545300288.09,7045693.72,20.056
1545300293.25,7045695.18,20.055
1545300298.44,7045694.03,20.055
1545300303.62,7045692.47,20.061
1545300308.8,7045693.83,20.056
1545300313.97,7045694.14,20.059
1545300319.15,7045693.8,20.061
1545300324.32,7045693.81,20.062
1545300329.5,7045693.75,20.062
1545300334.67,7045694.56,20.053
1545300339.85,7045694.11,20.062
1545300345.02,7045693.57,20.059
1545300350.21,7045694.53,20.068
1545300355.37,7045694.79,20.072
1545300360.56,7045694.96,20.079
1545300365.73,7045695.67,20.078
1545300370.91,7045696.05,20.079
1545300376.08,7045696.26,20.068
1545300381.26,7045695.76,20.078
1545300386.44,7045694.79,20.067
1545300391.61,7045694.22,20.073
1545300396.79,7045694.06,20.076
1545300401.96,7045691.79,20.076
1545300407.14,7045692.81,20.078
1545300412.31,7045693.88,20.09
1545300417.49,7045693.41,20.084
1545300422.66,7045694.1,20.084
1545300427.84,7045694.06,20.09
1545300433.01,7045696.11,20.096
1545300438.19,7045695.99,20.091
1545300443.36,7045696.4,20.091
1545300448.54,7045694.34,20.095
1545300453.71,7045693.95,20.091
1545300458.88,7045694.64,20.105
1545300464.06,7045695.18,20.101
1545300469.24,7045694.15,20.111
1545300474.41,7045694.67,20.113
1545300479.59,7045694.03,20.121
1545300484.76,7045693.66,20.124
1545300489.95,7045694.08,20.122
1545300495.11,7045694.09,20.119
1545300500.3,7045692.62,20.119
1545300505.47,7045693.25,20.122
1545300510.65,7045694.9,20.124
1545300515.82,7045694.81,20.127
1545300521.0,7045695.59,20.125
1545300526.18,7045696.12,20.13
1545300531.35,7045696.07,20.128
1545300536.53,7045694.26,20.136
1545300541.7,7045692.83,20.134
1545300546.87,7045692.89,20.133
1545300552.05,7045693.19,20.131
1545300557.22,7045696.08,20.137
1545300562.39,7045695.93,20.142
1545300567.57,7045695.54,20.136
1545300572.74,7045695.49,20.137
1545300577.92,7045697.06,20.145
1545300583.09,7045695.19,20.139
1545300588.25,7045693.65,20.145
1545300593.44,7045693.92,20.147
1545300598.62,7045696.12,20.151
1545300603.79,7045694.52,20.148
1545300608.97,7045694.62,20.153
1545300614.15,7045693.12,20.16
1545300619.32,7045693.34,20.156
1545300624.49,7045694.21,20.154
1545300629.66,7045693.75,20.17
1545300634.84,7045693.69,20.165
1545300640.01,7045693.76,20.177
1545300645.19,7045693.32,20.185
1545300650.36,7045693.87,20.188
1545300655.54,7045692.4,20.19
1545300660.71,7045691.6,20.191
1545300665.89,7045691.9,20.205
1545300671.06,7045694.29,20.2
1545300676.24,7045696.65,20.199
1545300681.42,7045697.16,20.202
1545300686.59,7045696.32,20.202
1545300691.77,7045694.84,20.202
1545300696.94,7045695.0,20.2
1545300702.11,7045693.53,20.206
1545300707.29,7045694.81,20.208
1545300712.46,7045694.54,20.203
1545300717.64,7045693.66,20.219
1545300722.81,7045692.94,20.213
1545300727.99,7045692.68,20.219
1545300733.16,7045693.69,20.213
1545300738.34,7045693.55,20.225
1545300743.51,7045693.44,20.22
1545300748.69,7045693.04,20.22
1545300753.86,7045693.02,20.225
1545300759.05,7045692.63,20.217
1545300764.21,7045693.89,20.223
1545300769.4,7045695.85,20.216
1545300774.56,7045696.79,20.223
1545300779.75,7045696.23,20.214
1545300784.92,7045696.02,20.222
1545300790.1,7045696.54,20.206
1545300795.27,7045696.82,20.206
1545300800.45,7045696.73,20.217
1545300805.63,7045694.43,20.209
1545300810.8,7045694.76,20.2
1545300815.98,7045692.94,20.203
1545300821.15,7045693.6,20.213
1545300826.32,7045693.8,20.217
1545300831.5,7045694.83,20.213
1545300836.67,7045695.11,20.214
1545300841.85,7045695.18,20.211
1545300847.02,7045695.0,20.216
1545300852.2,7045697.21,20.217
1545300857.37,7045695.32,20.206
1545300862.54,7045693.91,20.208
1545300867.72,7045693.82,20.213
1545300872.89,7045694.36,20.205
1545300878.07,7045695.37,20.211
1545300883.25,7045696.6,20.225
1545300888.42,7045695.22,20.209
1545300893.6,7045694.95,20.22
1545300898.77,7045694.5,20.214
1545300903.95,7045695.15,20.203
1545300909.12,7045694.67,20.211
1545300914.29,7045695.94,20.205
1545300919.47,7045695.03,20.222
1545300924.64,7045695.64,20.22
1545300929.82,7045694.93,20.214
1545300934.99,7045693.61,20.219
1545300940.17,7045693.98,20.211
1545300945.34,7045694.68,20.222
1545300950.52,7045695.71,20.214
1545300955.71,7045696.77,20.222
1545300960.88,7045695.18,20.211
1545300966.06,7045695.52,20.209
1545300971.24,7045695.26,20.216
1545300976.42,7045694.89,20.214
1545300981.59,7045693.37,20.209
1545300986.77,7045693.72,20.214
1545300991.94,7045693.9,20.209
1545300997.12,7045694.48,20.217
1545301002.29,7045693.24,20.223
1545301007.47,7045695.69,20.235
1545301012.64,7045696.75,20.234
1545301017.81,7045695.39,20.24
1545301022.99,7045693.92,20.243
