timestamp,resistance,ppm,temp_c,ambient_c,savgol_151_2
1518020174.6,119.97812,0.4,25.003,19.495,0.00428866991039
1518020175.6,119.97805,-0.18,25.006,19.506,0.00366230656003
1518020176.6,119.97805,-0.18,25.001,19.506,0.00392944697324
1518020177.6,119.97805,-0.18,25.001,19.528,0.0163225903722
1518020178.6,119.97805,-0.18,24.999,19.495,0.0288292028665
1518020179.6,119.97815,0.65,25.002,19.485,0.0414492844562
1518020180.6,119.97815,0.65,25.0,19.517,0.0541828351413
1518020181.6,119.97815,0.65,25.002,19.495,0.0706406123497
1518020182.6,119.9782,1.07,25.0,19.528,0.0862876781452
1518020183.6,119.9782,1.07,25.002,19.495,0.101127605671
1518020184.61,119.9782,1.07,25.0,19.495,0.0877529633126
1518020185.6,119.97806,-0.1,25.002,19.485,0.0749814850159
1518020186.6,119.97806,-0.1,24.999,19.485,0.0627920805195
1518020187.6,119.97806,-0.1,25.003,19.506,0.0744177824026
1518020188.6,119.97806,-0.1,25.0,19.506,0.0816240024611
1518020189.6,119.97797,-0.85,25.003,19.495,0.0875788815015
1518020190.6,119.97797,-0.85,25.001,19.506,0.0922795435789
1518020191.61,119.97797,-0.85,25.003,19.495,0.0986188841509
1518020192.61,119.97802,-0.43,25.001,19.506,0.104522911258
1518020193.6,119.97802,-0.43,25.003,19.506,0.109990927701
1518020194.6,119.97802,-0.43,25.002,19.495,0.0997952327293
1518020195.6,119.97816,0.73,25.003,19.506,0.0887081255899
1518020196.61,119.97816,0.73,25.0,19.495,0.0767157494582
1518020197.61,119.97816,0.73,25.0,19.506,0.0510240890881
1518020198.61,119.97816,0.73,24.998,19.506,0.0252629702932
1518020199.61,119.978,-0.6,25.003,19.506,-0.000593054680426
1518020200.61,119.978,-0.6,25.001,19.495,-0.026569433587
1518020201.61,119.978,-0.6,25.004,19.495,-0.0173131006258
1518020202.6,119.97803,-0.35,25.001,19.495,-0.00879549330733
1518020203.61,119.97803,-0.35,25.003,19.495,-0.00101077259207
1518020204.61,119.97803,-0.35,24.998,19.463,-0.00644772011654
1518020205.61,119.97802,-0.43,24.999,19.485,-0.0109726009609
1518020206.61,119.97802,-0.43,24.996,19.485,-0.0145912541647
1518020207.61,119.97802,-0.43,25.0,19.485,-0.0173095187673
1518020208.61,119.97802,-0.43,24.999,19.485,-0.00695731139249
1518020209.61,119.97807,-0.02,25.002,19.495,0.00380101424987
1518020210.61,119.97807,-0.02,25.001,19.506,0.0149705128507
1518020211.61,119.97807,-0.02,25.002,19.495,0.010169689459
1518020212.61,119.97817,0.82,25.0,19.495,0.00440777760057
1518020213.61,119.97817,0.82,25.002,19.517,-0.00232393770878
1518020214.61,119.97817,0.82,24.999,19.495,-0.0025998889711
1518020215.61,119.97817,0.82,24.999,19.474,-0.00210709146986
1518020216.61,119.9781,0.23,24.997,19.474,-0.000848508299716
1518020217.61,119.9781,0.23,24.999,19.485,0.00117289744468
1518020218.61,119.9781,0.23,24.997,19.495,0.00689228017978
1518020219.61,119.97813,0.48,25.001,19.485,0.0124898274346
1518020220.61,119.97813,0.48,24.999,19.506,0.0179655392092
1518020221.61,119.97813,0.48,25.002,19.485,0.0115305952596
1518020222.61,119.97802,-0.43,25.0,19.495,0.00464120845458
1518020223.61,119.97802,-0.43,25.001,19.506,-0.00271281773743
1518020224.61,119.97802,-0.43,24.998,19.474,0.00458265247519
1518020225.61,119.97802,-0.43,25.001,19.495,0.0118404303808
1518020226.61,119.97798,-0.77,24.998,19.485,0.0190633919242
1518020227.61,119.97798,-0.77,25.001,19.506,0.0262544130502
1518020228.61,119.97798,-0.77,24.999,19.495,0.0351617806107
1518020229.61,119.978,-0.6,25.001,19.485,0.0441562980141
1518020230.61,119.978,-0.6,24.998,19.506,0.0532423227525
1518020231.61,119.978,-0.6,25.0,19.485,0.0595284409155
1518020232.61,119.97816,0.73,24.996,19.485,0.06509012601
1518020233.61,119.97816,0.73,24.999,19.495,0.0699295567821
1518020234.61,119.97816,0.73,24.998,19.506,0.0692443411429
1518020235.61,119.97816,0.73,25.002,19.506,0.0673444919992
1518020236.61,119.97801,-0.52,25.001,19.506,0.06499586474
1518020237.61,119.97801,-0.52,25.002,19.506,0.0621955834203
1518020238.61,119.97801,-0.52,24.999,19.495,0.0711704398191
1518020239.62,119.97808,0.07,25.0,19.485,0.0809021926029
1518020240.62,119.97808,0.07,24.997,19.463,0.0913981623585
1518020241.61,119.97808,0.07,24.999,19.495,0.0886905910416
1518020242.61,119.97802,-0.43,24.997,19.485,0.0854342371644
1518020243.61,119.97802,-0.43,25.001,19.474,0.0816247432348
1518020244.61,119.97802,-0.43,24.998,19.495,0.0660150560069
1518020245.61,119.97802,-0.43,25.001,19.495,0.0591248674233
1518020246.62,119.97816,0.73,24.999,19.506,0.0529712693113
1518020247.62,119.97816,0.73,25.003,19.485,0.0475469410841
1518020248.62,119.97816,0.73,25.0,19.506,0.0526616520647
1518020249.61,119.97821,1.15,25.002,19.463,0.0580589464107
1518020250.61,119.97821,1.15,24.999,19.474,0.0637403056694
1518020251.62,119.97821,1.15,25.001,19.495,0.0580828864725
1518020252.62,119.97807,-0.02,24.997,19.495,0.0527088785646
1518020253.62,119.97807,-0.02,25.0,19.506,0.0476095669612
1518020254.62,119.97807,-0.02,24.998,19.485,0.0499830929305
1518020255.62,119.97807,-0.02,25.002,19.506,0.0606486475652
1518020256.62,119.97796,-0.93,25.0,19.474,0.07163569797
1518020257.62,119.97796,-0.93,25.001,19.495,0.082949298836
1518020258.62,119.97796,-0.93,24.999,19.495,0.101308981924
1518020259.62,119.97826,1.57,25.002,19.495,0.120123020718
1518020260.62,119.97826,1.57,25.0,19.485,0.139402308948
1518020261.62,119.97826,1.57,25.002,19.485,0.156754348124
1518020262.62,119.97797,-0.85,24.999,19.485,0.173164123199
1518020263.62,119.97797,-0.85,25.002,19.485,0.188641046356
1518020264.62,119.97797,-0.85,24.998,19.474,0.203194529779
1518020265.62,119.97797,-0.85,25.0,19.485,0.197987039075
1518020266.62,119.97803,-0.35,24.997,19.495,0.192128059722
1518020267.62,119.97803,-0.35,25.001,19.495,0.185610358282
1518020268.62,119.97803,-0.35,25.0,19.474,0.183507624304
1518020269.62,119.97808,0.07,25.003,19.474,0.180959772504
1518020270.62,119.97808,0.07,25.003,19.506,0.177963926937
1518020271.62,119.97808,0.07,25.005,19.463,0.208047643076
1518020272.62,119.97824,1.4,25.0,19.474,0.236990132023
1518020273.62,119.97824,1.4,25.001,19.495,0.26481823593
1518020274.62,119.97824,1.4,24.997,19.453,0.291558796949
1518020275.62,119.97824,1.4,24.998,19.495,0.289938402491
1518020276.62,119.97797,-0.85,24.995,19.495,0.28731940156
1518020277.62,119.97797,-0.85,24.999,19.495,0.283704670099
1518020278.62,119.97797,-0.85,24.999,19.485,0.273688277213
1518020279.62,119.9782,1.07,25.004,19.474,0.263387470816
1518020280.62,119.9782,1.07,25.003,19.495,0.25280007216
1518020281.62,119.9782,1.07,25.006,19.485,0.247540657581
1518020282.62,119.9782,1.07,25.001,19.495,0.241501949106
1518020283.62,119.97808,0.07,25.001,19.474,0.234686909832
1518020284.62,119.97808,0.07,24.996,19.517,0.227098502853
1518020285.62,119.97808,0.07,24.998,19.517,0.231693530606
1518020286.62,119.97805,-0.18,24.997,19.495,0.235203629965
1518020287.62,119.97805,-0.18,25.0,19.517,0.237643267805
1518020288.62,119.97805,-0.18,24.999,19.485,0.244480277555
1518020289.62,119.97817,0.82,25.003,19.495,0.251050042311
1518020290.62,119.97817,0.82,25.003,19.517,0.257371473591
1518020291.62,119.97817,0.82,25.004,19.495,0.255487895323
1518020292.62,119.97817,0.82,25.0,19.517,0.247875095102
1518020293.62,119.97807,-0.02,25.0,19.495,0.240209002753
1518020294.62,119.97807,-0.02,24.996,19.495,0.232496154513
1518020295.62,119.97807,-0.02,24.998,19.495,0.230480884118
1518020296.62,119.97811,0.32,24.997,19.485,0.228384346494
1518020297.62,119.97811,0.32,25.001,19.506,0.226218132571
1518020298.62,119.97811,0.32,24.999,19.485,0.206675163776
1518020299.62,119.97806,-0.1,25.002,19.495,0.187017897963
1518020300.62,119.97806,-0.1,24.999,19.495,0.167242761988
