timestamp,LM399-P15-slow6-no-R7-alkaline15V
1500871254.735,6890112.0
1500871258.080,6890110.2
1500871261.426,6890112.7
1500871264.771,6890111.2
1500871268.117,6890112.0
1500871271.462,6890112.0
1500871274.807,6890111.0
1500871278.153,6890111.7
1500871281.498,6890112.2
1500871284.844,6890114.3
1500871288.189,6890112.5
1500871291.534,6890113.5
1500871294.880,6890115.3
1500871298.225,6890117.5
1500871301.571,6890117.3
1500871304.916,6890118.1
1500871308.261,6890117.3
1500871311.607,6890117.3
1500871314.952,6890119.6
1500871318.297,6890120.8
1500871321.643,6890119.1
1500871324.988,6890119.6
1500871328.334,6890118.6
1500871331.679,6890119.6
1500871335.025,6890120.3
1500871338.370,6890119.3
1500871341.715,6890120.6
1500871345.061,6890120.6
1500871348.406,6890120.8
1500871351.752,6890119.6
1500871355.097,6890118.1
1500871358.442,6890116.3
1500871361.788,6890116.3
1500871365.133,6890117.0
1500871368.479,6890118.3
1500871371.824,6890119.8
1500871375.169,6890120.1
1500871378.515,6890120.3
1500871381.860,6890119.6
1500871385.206,6890119.8
1500871388.551,6890120.1
1500871391.896,6890120.1
1500871395.242,6890118.3
1500871398.587,6890117.8
1500871401.933,6890118.6
1500871405.278,6890120.1
1500871408.623,6890117.8
1500871411.969,6890119.1
1500871415.314,6890118.8
1500871418.660,6890119.6
1500871422.005,6890119.8
1500871425.350,6890115.8
1500871428.696,6890116.0
1500871432.041,6890117.8
1500871435.387,6890119.6
1500871438.732,6890118.1
1500871442.078,6890117.8
1500871445.423,6890118.6
1500871448.768,6890116.0
1500871452.114,6890114.5
1500871455.459,6890114.5
1500871458.804,6890115.3
1500871462.150,6890114.0
1500871465.495,6890113.7
1500871468.841,6890113.7
1500871472.186,6890113.7
1500871475.532,6890111.7
1500871478.877,6890114.8
1500871482.222,6890113.2
1500871485.568,6890113.7
1500871488.913,6890115.3
1500871492.258,6890117.5
1500871495.604,6890117.5
1500871498.949,6890116.0
1500871502.295,6890113.2
1500871505.640,6890113.7
1500871508.985,6890114.0
1500871512.331,6890113.7
1500871515.676,6890113.7
1500871519.021,6890112.7
1500871522.367,6890114.3
1500871525.712,6890114.5
1500871529.058,6890114.3
1500871532.403,6890114.0
1500871535.749,6890115.0
1500871539.094,6890117.8
1500871542.439,6890118.6
1500871545.785,6890117.3
1500871549.130,6890118.3
1500871552.476,6890120.1
1500871555.821,6890117.8
1500871559.166,6890118.8
1500871562.512,6890118.3
1500871565.857,6890118.6
1500871569.203,6890119.1
1500871572.548,6890117.8
1500871575.893,6890120.3
1500871579.239,6890118.1
1500871582.584,6890117.0
1500871585.930,6890116.0
1500871589.275,6890116.5
1500871592.620,6890117.8
1500871595.966,6890116.8
1500871599.311,6890117.5
1500871602.657,6890117.5
1500871606.002,6890115.3
1500871609.347,6890113.2
1500871612.693,6890112.5
1500871616.038,6890114.0
1500871619.383,6890114.8
1500871622.729,6890116.0
1500871626.074,6890113.0
1500871629.420,6890114.3
1500871632.765,6890114.5
1500871636.111,6890115.8
1500871639.456,6890114.5
1500871642.801,6890113.2
1500871646.147,6890114.3
1500871649.492,6890114.3
1500871652.838,6890114.8
1500871656.183,6890113.5
1500871659.528,6890115.8
1500871662.874,6890114.3
1500871666.219,6890115.3
1500871669.565,6890115.3
1500871672.910,6890116.0
1500871676.255,6890114.8
1500871679.601,6890115.3
1500871682.946,6890115.8
1500871686.292,6890119.6
1500871689.637,6890118.8
1500871692.982,6890119.6
1500871696.328,6890117.5
1500871699.673,6890116.8
1500871703.019,6890118.1
1500871706.364,6890120.3
1500871709.710,6890117.3
1500871713.055,6890115.0
1500871716.400,6890115.5
1500871719.746,6890114.5
1500871723.091,6890114.8
1500871726.437,6890114.5
1500871729.782,6890115.0
1500871733.127,6890116.0
1500871736.473,6890116.0
1500871739.818,6890115.8
1500871743.163,6890115.5
1500871746.509,6890115.8
1500871749.854,6890115.8
1500871753.200,6890118.3
1500871756.545,6890121.1
1500871759.890,6890120.1
1500871763.236,6890117.5
1500871766.581,6890116.8
1500871769.926,6890117.3
1500871773.272,6890117.3
1500871776.617,6890116.8
1500871779.963,6890117.5
1500871783.308,6890116.3
1500871786.654,6890116.3
1500871789.999,6890117.3
1500871793.344,6890118.8
1500871796.690,6890117.5
1500871800.035,6890116.0
1500871803.381,6890115.8
1500871806.726,6890115.8
1500871810.071,6890116.0
1500871813.417,6890116.3
1500871816.762,6890115.5
1500871820.108,6890115.5
1500871823.453,6890115.5
1500871826.798,6890115.3
1500871830.144,6890116.3
1500871833.489,6890116.0
1500871836.835,6890116.0
1500871840.180,6890115.0
1500871843.525,6890115.5
1500871846.871,6890115.5
1500871850.216,6890116.8
1500871853.562,6890115.3
1500871856.907,6890114.0
1500871860.252,6890115.0
1500871863.598,6890116.3
1500871866.943,6890117.3
1500871870.289,6890116.0
1500871873.634,6890115.5
1500871876.979,6890117.0
1500871880.325,6890116.5
1500871883.670,6890113.0
1500871887.016,6890115.8
1500871890.361,6890115.5
1500871893.707,6890116.5
1500871897.052,6890115.3
1500871900.397,6890114.3
1500871903.743,6890115.0
1500871907.088,6890114.3
1500871910.434,6890115.8
1500871913.779,6890115.3
1500871917.124,6890115.8
1500871920.469,6890115.5
1500871923.815,6890115.3
1500871927.160,6890115.0
1500871930.506,6890115.5
1500871933.851,6890115.8
1500871937.197,6890115.8
1500871940.542,6890116.8
1500871943.887,6890115.8
1500871947.233,6890115.8
1500871950.578,6890116.3
1500871953.924,6890115.3
1500871957.269,6890116.0
1500871960.615,6890116.5
1500871963.960,6890116.5
1500871967.305,6890117.5
1500871970.651,6890118.8
1500871973.996,6890118.3
1500871977.341,6890116.0
1500871980.687,6890116.5
1500871984.032,6890115.0
1500871987.378,6890116.0
1500871990.723,6890117.0
1500871994.068,6890118.3
1500871997.414,6890119.3
1500872000.759,6890119.3
1500872004.105,6890118.1
1500872007.450,6890117.3
1500872010.796,6890117.3
1500872014.141,6890115.8
1500872017.486,6890117.3
1500872020.832,6890117.5
1500872024.177,6890118.6
1500872027.522,6890117.3
1500872030.868,6890118.6
1500872034.213,6890118.6
1500872037.558,6890119.3
1500872040.904,6890120.1
1500872044.249,6890119.3
1500872047.595,6890118.8
1500872050.940,6890118.1
1500872054.286,6890116.5
1500872057.631,6890118.8
1500872060.977,6890117.3
1500872064.322,6890117.3
1500872067.667,6890116.3
1500872071.012,6890117.5
1500872074.358,6890117.8
1500872077.703,6890120.6
1500872081.049,6890120.3
1500872084.394,6890119.8
1500872087.740,6890121.1
1500872091.085,6890118.3
1500872094.430,6890120.1
1500872097.776,6890118.6
1500872101.121,6890119.6
1500872104.467,6890119.3
1500872107.812,6890119.3
1500872111.158,6890119.3
1500872114.503,6890117.0
1500872117.848,6890115.5
1500872121.194,6890116.8
1500872124.539,6890117.8
1500872127.884,6890116.8
1500872131.230,6890116.0
1500872134.575,6890116.8
1500872137.921,6890117.3
1500872141.266,6890115.8
1500872144.611,6890118.3
1500872147.957,6890118.8
1500872151.302,6890117.0
1500872154.648,6890116.5
1500872157.993,6890116.5
1500872161.338,6890117.0
1500872164.684,6890116.0
1500872168.029,6890117.5
1500872171.375,6890116.0
1500872174.720,6890114.8
1500872178.065,6890113.5
1500872181.411,6890114.8
1500872184.756,6890115.5
1500872188.102,6890117.5
1500872191.447,6890116.3
1500872194.793,6890116.8
1500872198.138,6890117.0
1500872201.483,6890117.3
1500872204.829,6890116.8
1500872208.174,6890119.3
1500872211.519,6890119.3
1500872214.865,6890120.3
1500872218.210,6890115.3
1500872221.555,6890114.0
1500872224.901,6890115.3
1500872228.246,6890114.0
1500872231.592,6890116.0
1500872234.937,6890115.8
1500872238.283,6890115.8
1500872241.628,6890115.8
1500872244.973,6890115.8
1500872248.319,6890119.3
1500872251.664,6890120.1
1500872255.010,6890119.1
1500872258.355,6890119.8
1500872261.700,6890117.8
1500872265.046,6890117.8
1500872268.391,6890117.0
1500872271.737,6890116.5
1500872275.082,6890116.5
1500872278.427,6890115.3
1500872281.773,6890115.3
1500872285.118,6890115.8
1500872288.464,6890118.3
1500872291.809,6890117.8
1500872295.154,6890116.5
1500872298.500,6890112.7
1500872301.845,6890112.2
1500872305.191,6890113.2
1500872308.536,6890115.8
1500872311.881,6890115.3
1500872315.227,6890116.0
1500872318.572,6890115.3
1500872321.918,6890115.3
1500872325.263,6890116.0
1500872328.608,6890115.8
1500872331.954,6890114.3
1500872335.299,6890116.5
1500872338.645,6890115.8
1500872341.990,6890115.5
1500872345.336,6890114.8
1500872348.681,6890115.0
1500872352.026,6890115.3
1500872355.372,6890117.5
1500872358.717,6890114.3
1500872362.062,6890115.3
1500872365.408,6890115.8
1500872368.753,6890115.5
1500872372.099,6890113.5
1500872375.444,6890114.5
1500872378.789,6890114.5
1500872382.135,6890114.5
1500872385.480,6890115.8
1500872388.826,6890113.7
1500872392.171,6890113.0
1500872395.516,6890114.5
1500872398.862,6890114.3
1500872402.207,6890114.5
1500872405.553,6890114.8
1500872408.898,6890114.5
1500872412.243,6890114.0
1500872415.589,6890115.5
1500872418.934,6890116.3
1500872422.280,6890114.8
1500872425.625,6890116.3
1500872428.970,6890115.8
1500872432.316,6890115.8
1500872435.661,6890115.0
1500872439.006,6890114.3
1500872442.352,6890115.0
1500872445.697,6890114.5
1500872449.043,6890116.8
1500872452.388,6890115.8
1500872455.734,6890116.5
1500872459.079,6890116.0
1500872462.424,6890114.3
1500872465.770,6890114.5
1500872469.115,6890115.3
1500872472.460,6890115.0
1500872475.806,6890115.8
1500872479.151,6890115.8
1500872482.497,6890115.8
