timestamp,svrt-no-tempco
1512919482.937,10000807.0
1512919486.290,10000823.0
1512919489.642,10000885.0
1512919492.994,10000887.0
1512919496.345,10000856.0
1512919499.697,10000861.0
1512919503.050,10000876.0
1512919506.402,10000847.0
1512919509.754,10000853.0
1512919513.106,10000926.0
1512919516.458,10000875.0
1512919519.810,10000921.0
1512919523.162,10000904.0
1512919526.514,10000940.0
1512919529.866,10000875.0
1512919533.219,10000885.0
1512919536.571,10000873.0
1512919539.922,10000874.0
1512919543.274,10000867.0
1512919546.626,10000866.0
1512919549.979,10000867.0
1512919553.330,10000815.0
1512919556.682,10000817.0
1512919560.035,10000800.0
1512919563.387,10000817.0
1512919566.739,10000854.0
1512919570.091,10000938.0
1512919573.444,10000959.0
1512919576.796,10000969.0
1512919580.147,10000859.0
1512919583.499,10000842.0
1512919586.851,10000923.0
1512919590.204,10000990.0
1512919593.556,10000913.0
1512919596.908,10000847.0
1512919600.259,10000805.0
1512919603.612,10000847.0
1512919606.964,10000881.0
1512919610.316,10000850.0
1512919613.668,10000824.0
1512919617.020,10000810.0
1512919620.372,10000817.0
1512919623.725,10000813.0
1512919627.076,10000823.0
1512919630.428,10000804.0
1512919633.780,10000830.0
1512919637.132,10000862.0
1512919640.485,10000832.0
1512919643.837,10000813.0
1512919647.189,10000812.0
1512919650.541,10000833.0
1512919653.892,10000817.0
1512919657.245,10000831.0
1512919660.597,10000850.0
1512919663.949,10000862.0
1512919667.301,10000833.0
1512919670.653,10000823.0
1512919674.005,10000819.0
1512919677.357,10000825.0
1512919680.710,10000847.0
1512919684.062,10000828.0
1512919687.414,10000834.0
1512919690.766,10000842.0
1512919694.117,10000843.0
1512919697.470,10000849.0
1512919700.822,10000870.0
1512919704.174,10000851.0
1512919707.526,10000893.0
1512919710.879,10000902.0
1512919714.230,10000937.0
1512919717.582,10000886.0
1512919720.934,10000810.0
1512919724.286,10000818.0
1512919727.639,10000896.0
1512919730.991,10000907.0
1512919734.343,10000912.0
1512919737.695,10000942.0
1512919741.046,10000936.0
1512919744.399,10000954.0
1512919747.751,10000946.0
1512919751.103,10000901.0
1512919754.455,10000857.0
1512919757.807,10000933.0
1512919761.160,10000938.0
1512919764.511,10000885.0
1512919767.863,10000893.0
1512919771.215,10000898.0
1512919774.568,10000948.0
1512919777.920,10000951.0
1512919781.272,10000899.0
1512919784.624,10000881.0
1512919787.975,10000851.0
1512919791.328,10000819.0
1512919794.680,10000821.0
1512919798.032,10000829.0
1512919801.384,10000818.0
1512919804.736,10000837.0
1512919808.088,10000817.0
1512919811.440,10000804.0
1512919814.793,10000816.0
1512919818.145,10000833.0
1512919821.496,10000869.0
1512919824.848,10000830.0
1512919828.201,10000827.0
1512919831.553,10000859.0
1512919834.905,10000863.0
1512919838.257,10000875.0
1512919841.609,10000847.0
1512919844.961,10000820.0
1512919848.313,10000801.0
1512919851.665,10000807.0
1512919855.017,10000813.0
1512919858.369,10000792.0
1512919861.722,10000809.0
1512919865.074,10000813.0
1512919868.426,10000818.0
1512919871.778,10000877.0
1512919875.129,10000880.0
1512919878.482,10000820.0
1512919881.834,10000806.0
1512919885.186,10000820.0
1512919888.538,10000820.0
1512919891.891,10000838.0
1512919895.243,10000827.0
1512919898.594,10000841.0
1512919901.946,10000852.0
1512919905.298,10000827.0
1512919908.650,10000819.0
1512919912.002,10000851.0
1512919915.354,10000853.0
1512919918.706,10000855.0
1512919922.059,10000877.0
1512919925.411,10000812.0
1512919928.763,10000828.0
1512919932.115,10000835.0
1512919935.468,10000907.0
1512919938.819,10000866.0
1512919942.171,10000903.0
1512919945.523,10000838.0
1512919948.875,10000820.0
1512919952.228,10000871.0
1512919955.580,10000915.0
1512919958.932,10000812.0
1512919962.284,10000815.0
1512919965.636,10000828.0
1512919968.987,10000821.0
1512919972.340,10000822.0
1512919975.692,10000804.0
1512919979.044,10000814.0
1512919982.396,10000837.0
1512919985.749,10000842.0
1512919989.101,10000826.0
1512919992.452,10000802.0
1512919995.804,10000800.0
1512919999.156,10000806.0
1512920002.509,10000807.0
1512920005.861,10000816.0
1512920009.213,10000845.0
1512920012.565,10000809.0
1512920015.917,10000829.0
1512920019.269,10000814.0
1512920022.621,10000834.0
1512920025.973,10000816.0
1512920029.325,10000823.0
1512920032.677,10000852.0
1512920036.029,10000868.0
1512920039.381,10000836.0
1512920042.733,10000843.0
1512920046.086,10000818.0
1512920049.438,10000819.0
1512920052.790,10000835.0
1512920056.142,10000834.0
1512920059.494,10000806.0
