setpoint,input,ouput
400.00,418.47,0.00
400.00,418.47,0.00
400.00,417.80,0.00
400.00,417.96,0.00
400.00,417.93,0.00
400.00,417.96,0.00
400.00,417.91,0.00
400.00,418.05,0.00
400.00,417.80,0.00
400.00,417.76,0.00
400.00,417.55,0.00
400.00,417.65,0.00
400.00,417.67,0.00
400.00,416.97,0.00
400.00,417.45,0.00
400.00,417.06,0.00
400.00,416.84,0.00
400.00,416.68,0.00
400.00,416.63,0.00
400.00,416.29,0.00
400.00,416.62,0.00
400.00,416.02,0.00
400.00,415.93,0.00
400.00,415.94,0.00
400.00,415.95,0.00
400.00,415.22,0.00
400.00,415.54,0.00
400.00,415.42,0.00
400.00,415.50,0.00
400.00,414.94,0.00
400.00,415.48,0.00
400.00,414.95,0.00
400.00,415.16,0.00
400.00,414.82,0.00
400.00,414.88,0.00
400.00,414.91,0.00
400.00,414.96,0.00
400.00,415.00,0.00
400.00,414.25,0.00
400.00,414.47,0.00
400.00,413.95,0.00
400.00,414.12,0.00
400.00,414.39,0.00
400.00,414.63,0.00
400.00,414.17,0.00
400.00,414.17,0.00
400.00,414.06,0.00
400.00,413.76,0.00
400.00,413.74,0.00
400.00,414.06,0.00
400.00,413.30,0.00
400.00,413.23,0.00
400.00,412.90,0.00
400.00,413.43,0.00
400.00,413.44,0.00
400.00,414.02,0.00
400.00,413.38,0.00
400.00,412.91,0.00
400.00,413.18,0.00
400.00,412.67,0.00
400.00,412.86,0.00
400.00,412.17,0.00
400.00,412.10,0.00
400.00,412.16,0.00
400.00,412.17,0.00
400.00,411.95,0.00
400.00,412.04,0.00
400.00,412.48,0.00
400.00,411.58,0.00
400.00,411.43,0.00
400.00,411.80,0.00
400.00,411.93,0.00
400.00,411.80,0.00
400.00,411.92,0.00
400.00,411.70,0.00
400.00,411.73,0.00
400.00,411.50,0.00
400.00,411.27,0.00
400.00,411.40,0.00
400.00,411.17,0.00
400.00,410.89,0.00
400.00,410.86,0.00
400.00,410.57,0.00
400.00,410.75,0.00
400.00,410.84,0.00
400.00,410.18,0.00
400.00,410.57,0.00
400.00,410.33,0.00
400.00,410.16,0.00
400.00,410.57,0.00
400.00,410.18,0.00
400.00,410.11,0.00
400.00,410.20,0.00
400.00,409.93,0.00
400.00,409.77,0.00
400.00,410.19,0.00
400.00,409.00,0.00
400.00,409.09,0.00
400.00,408.99,0.00
400.00,409.48,0.00
400.00,408.76,0.00
400.00,408.60,0.00
400.00,408.74,0.00
400.00,408.27,0.00
400.00,407.91,0.00
400.00,408.33,0.00
400.00,408.59,0.00
400.00,409.12,0.00
400.00,408.32,0.00
400.00,408.56,0.00
400.00,408.14,0.00
400.00,408.56,0.00
400.00,408.14,0.00
400.00,407.28,0.00
400.00,407.91,0.00
400.00,408.01,0.00
400.00,408.25,0.00
400.00,407.53,0.00
400.00,407.46,0.00
400.00,407.01,0.00
400.00,407.30,0.00
400.00,407.45,0.00
400.00,407.62,0.00
400.00,407.65,0.00
400.00,407.05,0.00
400.00,407.03,0.00
400.00,406.89,0.00
400.00,406.66,0.00
400.00,406.34,0.00
400.00,406.19,0.00
400.00,406.18,0.00
400.00,406.17,0.00
400.00,406.30,0.00
400.00,406.29,0.00
400.00,406.23,0.00
400.00,406.50,0.00
400.00,406.79,0.00
400.00,406.22,0.00
400.00,406.26,0.00
400.00,405.95,0.00
400.00,405.88,0.00
400.00,405.42,0.00
400.00,405.50,0.00
400.00,405.43,0.00
400.00,405.56,0.00
400.00,404.76,0.00
400.00,405.07,0.00
400.00,405.03,0.00
400.00,404.94,0.00
400.00,404.49,0.00
400.00,404.73,0.00
400.00,404.48,0.00
400.00,404.11,0.00
400.00,404.46,0.00
400.00,404.45,0.00
400.00,404.44,0.00
400.00,404.07,0.00
400.00,404.61,0.00
400.00,403.67,0.00
400.00,404.36,0.00
400.00,404.22,0.00
400.00,404.19,0.00
400.00,404.55,0.00
400.00,404.13,0.00
400.00,404.43,0.00
400.00,403.93,0.00
400.00,403.66,0.00
400.00,403.91,0.00
400.00,403.50,0.00
400.00,403.70,0.00
400.00,403.46,0.00
400.00,402.96,0.00
400.00,402.59,0.00
400.00,402.91,0.00
400.00,402.96,0.00
400.00,402.48,0.00
400.00,402.35,0.00
400.00,401.95,0.00
400.00,402.07,0.00
400.00,401.34,0.00
400.00,401.92,0.00
400.00,401.98,0.00
400.00,401.93,0.00
400.00,401.61,0.00
400.00,401.79,0.00
400.00,402.01,0.00
400.00,401.52,0.00
400.00,400.86,0.00
400.00,401.62,0.00
400.00,401.35,0.00
400.00,401.02,0.00
400.00,401.10,0.00
400.00,401.61,0.00
400.00,400.74,0.00
400.00,401.69,0.00
400.00,401.09,0.00
400.00,401.18,0.00
400.00,400.60,0.00
400.00,400.37,0.00
400.00,400.40,0.00
400.00,400.45,0.00
400.00,400.78,0.00
400.00,400.25,0.00
400.00,400.75,0.00
400.00,400.84,0.00
400.00,400.05,0.00
400.00,400.54,0.00
400.00,400.07,0.00
400.00,400.10,0.00
400.00,399.68,0.00
400.00,399.89,0.00
400.00,399.74,0.00
400.00,399.64,0.00
400.00,399.40,0.00
400.00,399.42,0.00
400.00,399.05,0.00
400.00,400.35,0.00
400.00,399.17,0.00
400.00,398.81,0.00
400.00,398.70,0.00
400.00,398.63,0.00
400.00,398.93,0.00
400.00,399.10,0.00
400.00,398.79,0.00
400.00,398.34,0.00
400.00,398.88,0.00
400.00,398.91,0.00
400.00,398.73,0.00
400.00,398.24,0.00
400.00,398.34,0.00
400.00,398.11,0.00
400.00,398.01,0.00
400.00,397.98,0.00
400.00,398.67,0.00
400.00,398.10,0.00
400.00,397.92,0.00
400.00,397.96,0.00
400.00,397.87,0.00
400.00,397.15,0.00
400.00,397.49,0.00
400.00,397.43,0.00
400.00,397.53,0.00
400.00,397.16,0.00
400.00,397.01,0.00
400.00,396.72,0.00
400.00,397.30,0.00
400.00,397.14,0.00
400.00,397.18,0.00
400.00,397.26,0.00
400.00,396.70,0.00
