timestamp,ltz1000-p17-foam-under
1514118253.471,7071106.9
1514118256.823,7071107.2
1514118260.175,7071106.9
1514118263.527,7071108.2
1514118266.880,7071107.2
1514118270.232,7071108.7
1514118273.583,7071106.7
1514118276.936,7071108.2
1514118280.288,7071108.1
1514118283.640,7071110.2
1514118286.993,7071111.1
1514118290.344,7071111.0
1514118293.696,7071109.3
1514118297.048,7071110.5
1514118300.400,7071111.2
1514118303.753,7071110.2
1514118307.104,7071110.7
1514118310.457,7071110.0
1514118313.809,7071112.2
1514118317.161,7071113.0
1514118320.513,7071111.7
1514118323.866,7071113.0
1514118327.217,7071113.0
1514118330.570,7071112.5
1514118333.921,7071112.5
1514118337.274,7071113.1
1514118340.626,7071112.7
1514118343.978,7071113.9
1514118347.330,7071112.7
1514118350.682,7071115.0
1514118354.034,7071116.0
1514118357.386,7071116.3
1514118360.739,7071113.8
1514118364.090,7071114.0
1514118367.443,7071113.5
1514118370.795,7071115.0
1514118374.147,7071114.8
1514118377.499,7071113.8
1514118380.852,7071113.5
1514118384.203,7071115.0
1514118387.555,7071115.3
1514118390.908,7071115.9
1514118394.259,7071115.3
1514118397.612,7071112.2
1514118400.964,7071113.8
1514118404.315,7071115.7
1514118407.668,7071114.5
1514118411.020,7071113.3
1514118414.372,7071112.7
1514118417.724,7071113.5
1514118421.077,7071114.3
1514118424.428,7071113.8
1514118427.781,7071114.5
1514118431.133,7071114.8
1514118434.484,7071114.0
1514118437.837,7071114.8
1514118441.188,7071113.3
1514118444.541,7071112.7
1514118447.893,7071115.3
1514118451.245,7071115.0
1514118454.598,7071114.8
1514118457.949,7071115.5
1514118461.302,7071115.0
1514118464.654,7071114.3
1514118468.005,7071116.0
1514118471.358,7071114.8
1514118474.710,7071116.0
1514118478.062,7071115.5
1514118481.414,7071116.9
1514118484.767,7071117.3
1514118488.118,7071117.1
1514118491.470,7071116.3
1514118494.823,7071115.3
1514118498.174,7071114.1
1514118501.527,7071114.0
1514118504.879,7071114.0
1514118508.231,7071111.5
1514118511.583,7071114.4
1514118514.936,7071114.8
1514118518.287,7071114.5
1514118521.639,7071113.3
1514118524.995,7071112.6
1514118528.343,7071113.0
1514118531.696,7071115.3
1514118535.048,7071114.0
1514118538.400,7071113.3
1514118541.752,7071113.5
1514118545.104,7071112.6
1514118548.456,7071114.3
1514118551.809,7071113.5
1514118555.160,7071114.6
1514118558.513,7071114.8
1514118561.864,7071114.5
1514118565.217,7071113.8
1514118568.569,7071113.4
1514118571.921,7071112.5
1514118575.273,7071111.1
1514118578.625,7071110.7
1514118581.977,7071112.0
1514118585.330,7071111.7
1514118588.681,7071112.4
1514118592.034,7071114.5
1514118595.385,7071113.0
1514118598.738,7071113.3
1514118602.089,7071113.0
1514118605.442,7071112.2
1514118608.794,7071112.0
1514118612.146,7071110.7
1514118615.498,7071112.7
1514118618.851,7071112.2
1514118622.202,7071112.0
1514118625.554,7071112.1
1514118628.907,7071112.5
1514118632.258,7071111.7
1514118635.611,7071112.0
1514118638.962,7071112.7
1514118642.315,7071113.5
1514118645.667,7071114.0
1514118649.019,7071111.5
1514118652.371,7071111.7
1514118655.723,7071113.8
1514118659.075,7071113.6
1514118662.428,7071115.0
1514118665.779,7071111.5
1514118669.132,7071112.0
1514118672.484,7071111.4
1514118675.836,7071116.5
1514118679.188,7071114.8
1514118682.541,7071111.5
1514118685.892,7071110.7
1514118689.244,7071109.7
1514118692.597,7071106.2
1514118695.948,7071111.0
1514118699.301,7071113.8
1514118702.653,7071114.3
1514118706.005,7071113.3
1514118709.357,7071115.0
1514118712.709,7071113.5
1514118716.061,7071114.0
1514118719.413,7071114.3
1514118722.766,7071112.0
1514118726.117,7071112.2
1514118729.470,7071114.9
1514118732.822,7071114.1
1514118736.174,7071114.0
1514118739.526,7071113.0
1514118742.878,7071113.8
1514118746.230,7071113.8
1514118749.582,7071112.7
1514118752.935,7071113.8
1514118756.286,7071113.9
1514118759.639,7071112.9
1514118762.990,7071114.1
1514118766.343,7071114.0
1514118769.695,7071115.0
1514118773.047,7071115.5
1514118776.399,7071112.2
1514118779.752,7071113.3
1514118783.103,7071112.0
1514118786.455,7071112.2
1514118789.808,7071111.5
1514118793.159,7071111.2
1514118796.512,7071111.2
1514118799.864,7071106.9
1514118803.215,7071107.4
1514118806.568,7071108.9
1514118809.920,7071108.3
1514118813.273,7071109.4
1514118816.624,7071109.7
1514118819.977,7071110.0
1514118823.328,7071110.2
1514118826.680,7071107.2
1514118830.033,7071109.7
1514118833.385,7071106.4
1514118836.737,7071108.9
1514118840.089,7071108.6
1514118843.441,7071113.5
1514118846.793,7071113.3
1514118850.146,7071112.1
1514118853.498,7071111.7
1514118856.850,7071111.2
1514118860.202,7071113.0
1514118863.554,7071112.9
1514118866.906,7071114.8
1514118870.258,7071108.4
1514118873.611,7071110.0
1514118876.962,7071111.7
1514118880.314,7071113.8
1514118883.666,7071116.3
1514118887.018,7071115.5
1514118890.371,7071115.3
1514118893.722,7071115.0
1514118897.075,7071116.3
1514118900.427,7071115.3
1514118903.779,7071114.8
1514118907.131,7071115.3
1514118910.483,7071115.3
1514118913.835,7071115.0
1514118917.187,7071114.3
1514118920.540,7071114.8
1514118923.891,7071116.3
1514118927.244,7071116.0
1514118930.596,7071115.8
1514118933.948,7071116.5
1514118937.300,7071116.7
1514118940.652,7071116.5
1514118944.004,7071114.0
1514118947.357,7071115.2
1514118950.709,7071117.8
1514118954.060,7071116.0
1514118957.413,7071116.5
1514118960.765,7071117.8
1514118964.117,7071118.7
1514118967.469,7071117.6
1514118970.821,7071117.6
1514118974.174,7071118.1
1514118977.525,7071119.5
1514118980.877,7071116.8
1514118984.230,7071118.3
1514118987.581,7071120.1
1514118990.934,7071118.8
1514118994.285,7071117.8
1514118997.638,7071119.3
1514119000.990,7071118.8
1514119004.343,7071119.7
1514119007.694,7071119.2
1514119011.047,7071118.1
1514119014.399,7071118.6
1514119017.750,7071118.6
1514119021.103,7071117.8
1514119024.455,7071118.6
1514119027.807,7071117.1
1514119031.159,7071117.3
1514119034.511,7071118.8
1514119037.864,7071120.9
1514119041.216,7071118.3
1514119044.568,7071118.8
1514119047.920,7071117.3
1514119051.271,7071118.3
1514119054.624,7071118.6
1514119057.976,7071118.2
1514119061.328,7071118.1
1514119064.680,7071115.0
1514119068.033,7071117.8
1514119071.384,7071115.7
1514119074.737,7071114.5
1514119078.088,7071114.6
1514119081.441,7071114.0
1514119084.793,7071114.3
1514119088.145,7071114.6
1514119091.497,7071114.5
1514119094.849,7071116.0
1514119098.202,7071115.8
1514119101.553,7071115.4
1514119104.905,7071110.2
1514119108.258,7071112.7
1514119111.609,7071109.7
1514119114.962,7071112.1
1514119118.314,7071110.2
1514119121.666,7071113.0
1514119125.018,7071110.5
1514119128.370,7071111.9
1514119131.723,7071111.0
1514119135.074,7071113.6
1514119138.427,7071113.9
1514119141.779,7071112.5
1514119145.131,7071114.3
1514119148.483,7071112.7
1514119151.835,7071113.3
1514119155.187,7071114.0
1514119158.539,7071111.4
1514119161.891,7071112.9
1514119165.244,7071114.1
1514119168.595,7071113.4
1514119171.948,7071112.4
1514119175.300,7071111.9
1514119178.651,7071111.7
1514119182.004,7071109.1
1514119185.356,7071113.0
1514119188.708,7071112.7
1514119192.061,7071111.4
1514119195.412,7071112.7
1514119198.765,7071112.5
1514119202.117,7071112.2
1514119205.468,7071110.3
1514119208.821,7071107.9
1514119212.173,7071112.0
1514119215.525,7071110.7
1514119218.877,7071112.7
1514119222.229,7071113.5
1514119225.581,7071115.4
1514119228.933,7071112.9
1514119232.285,7071112.4
1514119235.637,7071111.7
1514119238.990,7071112.9
1514119242.341,7071114.5
1514119245.694,7071112.7
1514119249.046,7071115.2
1514119252.398,7071111.5
1514119255.750,7071114.5
1514119259.102,7071114.6
1514119262.454,7071115.4
1514119265.806,7071117.6
1514119269.159,7071115.5
1514119272.510,7071116.3
1514119275.863,7071115.9
1514119279.215,7071114.0
1514119282.567,7071114.0
1514119285.919,7071112.5
1514119289.271,7071114.5
1514119292.623,7071113.1
1514119295.976,7071113.8
1514119299.327,7071113.3
1514119302.680,7071114.1
1514119306.032,7071114.5
1514119309.383,7071113.5
1514119312.736,7071114.4
1514119316.087,7071113.3
1514119319.440,7071114.5
1514119322.792,7071113.0
1514119326.144,7071114.8
1514119329.496,7071114.3
1514119332.849,7071114.8
1514119336.200,7071113.8
1514119339.553,7071114.3
1514119342.905,7071115.3
1514119346.256,7071115.5
1514119349.609,7071113.3
1514119352.961,7071114.0
1514119356.313,7071113.3
1514119359.665,7071112.2
1514119363.018,7071113.5
1514119366.369,7071113.8
1514119369.721,7071113.0
1514119373.074,7071113.5
1514119376.425,7071113.8
1514119379.778,7071114.5
1514119383.129,7071113.4
1514119386.482,7071113.8
1514119389.834,7071111.9
1514119393.186,7071111.7
1514119396.538,7071111.1
1514119399.891,7071111.2
1514119403.242,7071113.5
1514119406.595,7071112.0
1514119409.947,7071111.6
1514119413.299,7071112.6
1514119416.651,7071112.7
1514119420.003,7071114.5
1514119423.355,7071111.7
1514119426.707,7071111.2
1514119430.060,7071111.7
1514119433.411,7071111.0
1514119436.763,7071110.8
1514119440.116,7071111.5
1514119443.468,7071113.4
1514119446.820,7071113.8
1514119450.172,7071114.3
1514119453.524,7071114.0
1514119456.876,7071114.8
1514119460.228,7071113.9
1514119463.580,7071113.0
1514119466.933,7071114.3
1514119470.284,7071115.0
1514119473.637,7071112.7
1514119476.989,7071113.8
1514119480.341,7071111.7
1514119483.693,7071111.7
1514119487.045,7071113.1
1514119490.398,7071112.7
1514119493.749,7071111.7
1514119497.101,7071110.7
1514119500.454,7071113.0
1514119503.805,7071113.1
1514119507.158,7071114.5
1514119510.509,7071113.8
1514119513.862,7071114.5
1514119517.214,7071114.0
1514119520.566,7071113.0
1514119523.918,7071114.5
1514119527.270,7071112.9
1514119530.945,7071113.0
1514119533.974,7071110.7
1514119537.326,7071112.5
1514119540.678,7071113.3
1514119544.031,7071114.0
1514119547.383,7071113.8
1514119550.734,7071114.1
1514119554.087,7071114.8
1514119557.439,7071113.5
1514119560.791,7071113.5
1514119564.144,7071113.0
1514119567.495,7071113.8
1514119570.848,7071112.5
1514119574.199,7071108.9
1514119577.552,7071113.8
1514119580.904,7071118.8
1514119584.256,7071114.1
1514119587.608,7071114.3
1514119590.960,7071113.6
1514119594.313,7071114.8
1514119597.664,7071113.4
1514119601.016,7071109.2
1514119604.368,7071109.8
1514119607.721,7071112.0
1514119611.073,7071111.7
1514119614.425,7071112.5
1514119617.777,7071111.6
1514119621.129,7071111.6
1514119624.481,7071110.6
1514119627.833,7071110.5
1514119631.186,7071109.2
1514119634.537,7071109.6
1514119637.890,7071113.5
1514119641.241,7071111.9
1514119644.594,7071111.7
1514119647.945,7071112.0
1514119651.298,7071112.2
1514119654.650,7071111.7
1514119658.002,7071110.8
1514119661.354,7071113.0
1514119664.707,7071112.4
1514119668.058,7071110.2
1514119671.411,7071110.8
1514119674.763,7071112.7
1514119678.115,7071112.0
1514119681.467,7071112.5
1514119684.819,7071113.0
1514119688.171,7071110.5
1514119691.523,7071112.9
1514119694.876,7071112.7
1514119698.227,7071113.5
1514119701.580,7071113.9
1514119704.931,7071113.5
1514119708.284,7071113.0
1514119711.636,7071112.1
1514119714.988,7071111.9
1514119718.340,7071114.5
1514119721.692,7071114.3
1514119725.044,7071116.0
1514119728.397,7071117.1
1514119731.748,7071113.4
1514119735.101,7071113.8
1514119738.453,7071114.5
1514119741.804,7071112.7
1514119745.157,7071112.5
1514119748.509,7071113.6
1514119751.861,7071113.8
1514119755.213,7071114.3
1514119758.566,7071114.4
1514119761.917,7071113.6
1514119765.270,7071113.5
1514119768.621,7071114.3
1514119771.974,7071113.9
1514119775.326,7071113.0
1514119778.677,7071112.2
1514119782.030,7071113.5
1514119785.382,7071112.4
1514119788.734,7071111.7
1514119792.086,7071112.1
1514119795.439,7071110.5
1514119798.791,7071111.9
1514119802.143,7071109.8
1514119805.494,7071108.7
1514119808.847,7071110.0
1514119812.199,7071109.6
1514119815.551,7071108.3
1514119818.903,7071107.5
1514119822.255,7071109.6
1514119825.608,7071107.4
1514119828.959,7071108.7
1514119832.312,7071106.0
1514119835.663,7071107.3
1514119839.016,7071108.1
1514119842.374,7071108.7
1514119845.720,7071110.6
1514119849.072,7071109.1
1514119852.424,7071107.0
1514119855.777,7071107.9
1514119859.128,7071108.8
1514119862.481,7071108.6
1514119865.833,7071108.7
1514119869.185,7071109.6
1514119872.537,7071111.7
1514119875.889,7071111.0
1514119879.242,7071113.0
1514119882.593,7071111.2
1514119885.945,7071109.2
1514119889.298,7071109.8
1514119892.649,7071108.7
1514119896.001,7071111.7
1514119899.354,7071111.6
1514119902.706,7071111.0
1514119906.058,7071112.0
1514119909.410,7071114.5
1514119912.762,7071113.8
1514119916.115,7071114.5
1514119919.467,7071114.5
1514119922.818,7071113.5
1514119926.171,7071114.5
1514119929.523,7071115.0
1514119932.875,7071117.3
1514119936.226,7071116.7
1514119939.579,7071116.3
1514119942.931,7071116.3
1514119946.283,7071115.7
1514119949.635,7071116.8
1514119952.988,7071118.3
1514119956.339,7071115.8
1514119959.692,7071116.0
1514119963.044,7071118.3
1514119966.395,7071117.4
1514119969.748,7071115.8
1514119973.100,7071116.2
1514119976.452,7071116.4
1514119979.804,7071116.0
1514119983.157,7071117.1
1514119986.508,7071115.8
1514119989.861,7071115.3
1514119993.213,7071116.8
1514119996.565,7071116.8
1514119999.917,7071116.5
1514120003.269,7071116.0
1514120006.622,7071116.3
1514120009.973,7071118.1
1514120013.326,7071115.5
1514120016.677,7071117.8
1514120020.030,7071118.1
1514120023.382,7071117.6
1514120026.733,7071118.7
1514120030.086,7071117.7
1514120033.438,7071116.0
1514120036.791,7071117.6
1514120040.142,7071118.1
1514120043.495,7071119.3
1514120046.846,7071117.1
1514120050.198,7071118.5
1514120053.551,7071116.9
1514120056.903,7071117.8
1514120060.255,7071117.9
1514120063.607,7071117.3
1514120066.960,7071117.3
1514120070.311,7071116.5
1514120073.664,7071119.3
1514120077.015,7071118.6
1514120080.368,7071118.3
1514120083.720,7071115.0
1514120087.071,7071116.0
1514120090.424,7071115.8
1514120093.776,7071115.3
1514120097.128,7071116.5
1514120100.480,7071115.0
1514120103.833,7071116.3
1514120107.184,7071117.8
1514120110.537,7071118.3
1514120113.889,7071117.3
1514120117.241,7071118.3
1514120120.593,7071116.5
1514120123.945,7071119.8
1514120127.297,7071118.8
1514120130.649,7071118.6
1514120134.001,7071118.6
1514120137.353,7071117.6
1514120140.706,7071118.1
1514120144.057,7071118.8
1514120147.410,7071117.8
1514120150.762,7071116.8
1514120154.115,7071118.3
1514120157.466,7071113.8
1514120160.818,7071115.9
1514120164.171,7071117.3
1514120167.522,7071116.5
1514120170.875,7071112.0
1514120174.226,7071116.8
1514120177.579,7071117.3
1514120180.931,7071115.3
1514120184.283,7071108.9
1514120187.635,7071110.5
1514120190.988,7071111.7
1514120194.339,7071111.9
1514120197.691,7071115.8
1514120201.044,7071114.8
1514120204.395,7071115.2
1514120207.748,7071115.8
1514120211.100,7071114.6
1514120214.452,7071114.3
1514120217.804,7071114.9
1514120221.157,7071114.4
1514120224.508,7071114.8
1514120227.860,7071114.0
1514120231.213,7071115.8
1514120234.564,7071113.3
1514120237.917,7071113.5
1514120241.268,7071115.7
1514120244.621,7071115.3
1514120247.973,7071114.4
1514120251.325,7071112.5
1514120254.677,7071113.5
1514120258.029,7071114.5
1514120261.381,7071113.3
1514120264.734,7071113.5
1514120268.085,7071115.0
1514120271.438,7071116.8
1514120274.790,7071116.8
1514120278.141,7071115.5
1514120281.494,7071116.0
1514120284.846,7071118.3
1514120288.199,7071114.5
1514120291.550,7071116.0
1514120294.902,7071116.7
1514120298.255,7071115.0
1514120301.607,7071119.8
1514120304.959,7071119.1
1514120308.311,7071117.3
1514120311.663,7071117.1
1514120315.015,7071118.8
1514120318.367,7071118.5
1514120321.719,7071119.3
1514120325.071,7071119.8
1514120328.423,7071120.0
1514120331.776,7071119.8
1514120335.127,7071119.3
1514120338.480,7071120.1
1514120341.832,7071120.4
1514120345.185,7071120.4
1514120348.536,7071121.4
1514120351.889,7071119.1
1514120355.240,7071119.1
1514120358.592,7071119.8
1514120361.945,7071119.1
1514120365.296,7071117.9
1514120368.649,7071118.3
1514120372.000,7071119.6
1514120375.353,7071119.8
1514120378.705,7071120.4
1514120382.058,7071118.3
1514120385.409,7071118.6
1514120388.762,7071117.6
1514120392.114,7071117.3
1514120395.465,7071118.3
1514120398.818,7071117.2
1514120402.169,7071118.1
1514120405.522,7071117.6
1514120408.874,7071119.3
1514120412.226,7071118.1
1514120415.578,7071119.3
1514120418.931,7071118.6
1514120422.282,7071119.1
1514120425.635,7071117.3
1514120428.987,7071118.3
1514120432.338,7071119.3
1514120435.691,7071119.3
1514120439.043,7071113.8
1514120442.395,7071112.4
1514120445.747,7071112.5
1514120449.099,7071113.3
1514120452.452,7071114.0
1514120455.803,7071113.4
1514120459.156,7071113.0
1514120462.508,7071113.8
1514120465.859,7071112.7
1514120469.212,7071112.7
1514120472.564,7071113.5
1514120475.916,7071114.0
1514120479.268,7071112.7
1514120482.621,7071113.5
1514120485.972,7071113.1
1514120489.325,7071111.0
1514120492.676,7071111.5
