si_7021_ambient_c,si7021_internal_c,setpoint,adc,adc_c,error_c,output,io_delta_c
21.994,22.960,228,228.415,22.9706,0.0047,48.22,0.9764
21.962,22.970,228,228.411,22.9706,0.0047,48.23,1.0086
21.973,22.970,228,228.272,22.9690,0.0031,49.60,0.9962
21.951,22.970,228,228.283,22.9691,0.0032,49.47,1.0178
21.930,22.970,228,228.464,22.9712,0.0053,47.62,1.0413
21.919,22.992,228,228.212,22.9683,0.0024,50.13,1.0492
21.898,22.960,228,228.289,22.9692,0.0033,49.33,1.0715
21.908,22.960,228,228.173,22.9679,0.0020,50.48,1.0595
21.855,22.970,228,228.146,22.9676,0.0017,50.74,1.1128
21.865,22.970,228,228.054,22.9665,0.0006,51.66,1.1010
21.844,22.970,228,228.093,22.9670,0.0011,51.26,1.1229
21.855,22.981,228,228.367,22.9701,0.0042,48.49,1.1153
21.823,22.970,228,228.354,22.9699,0.0040,48.60,1.1473
21.790,22.992,228,227.905,22.9648,-0.0011,53.09,1.1744
21.801,22.992,228,228.019,22.9661,0.0002,51.95,1.1650
21.769,22.992,228,228.177,22.9679,0.0020,50.36,1.1989
21.758,22.970,228,227.880,22.9645,-0.0014,53.34,1.2063
21.737,22.938,228,227.799,22.9636,-0.0023,54.16,1.2268
21.715,22.949,228,227.646,22.9619,-0.0040,55.72,1.2465
21.715,22.970,228,227.850,22.9642,-0.0017,53.69,1.2489
21.662,22.970,228,227.986,22.9658,-0.0002,52.33,1.3040
21.651,22.981,228,228.034,22.9663,0.0004,51.85,1.3153
21.662,22.970,228,228.112,22.9672,0.0013,51.07,1.3055
21.608,22.970,228,227.949,22.9653,-0.0006,52.70,1.3572
21.597,22.970,228,227.765,22.9632,-0.0027,54.55,1.3659
21.597,22.970,228,227.906,22.9648,-0.0011,53.15,1.3675
21.597,22.970,228,228.105,22.9671,0.0012,51.16,1.3697
21.565,23.013,228,227.932,22.9651,-0.0008,52.89,1.3999
21.565,22.960,228,227.950,22.9653,-0.0006,52.71,1.4001
21.544,22.970,228,227.897,22.9647,-0.0012,53.25,1.4210
21.522,22.981,228,227.929,22.9651,-0.0008,52.94,1.4428
21.512,22.981,228,227.951,22.9654,-0.0006,52.72,1.4538
21.501,22.981,228,228.085,22.9669,0.0010,51.37,1.4660
21.501,22.981,228,227.895,22.9647,-0.0012,53.28,1.4639
