timestamp,lm399-cotton-rounds
1514606344.464,6885963.0
1514606347.817,6885963.2
1514606351.169,6885964.2
1514606354.521,6885963.7
1514606357.873,6885962.2
1514606361.225,6885963.0
1514606364.578,6885963.7
1514606367.930,6885965.3
1514606371.282,6885963.7
1514606374.634,6885963.5
1514606377.986,6885963.7
1514606381.338,6885962.7
1514606384.690,6885963.2
1514606388.043,6885964.2
1514606391.394,6885962.0
1514606394.747,6885963.5
1514606398.099,6885964.0
1514606401.451,6885964.1
1514606404.803,6885964.7
1514606408.155,6885963.2
1514606411.507,6885964.0
1514606414.859,6885962.7
1514606418.212,6885963.5
1514606421.564,6885963.5
1514606424.916,6885962.5
1514606428.268,6885963.7
1514606431.620,6885961.7
1514606434.973,6885963.0
1514606438.324,6885963.2
1514606441.677,6885964.7
1514606445.029,6885965.0
1514606448.381,6885963.7
1514606451.733,6885964.0
1514606455.085,6885964.0
1514606458.437,6885963.5
1514606461.789,6885964.2
1514606465.141,6885965.3
1514606468.493,6885963.2
1514606471.846,6885964.0
1514606475.197,6885963.7
1514606478.550,6885964.2
1514606481.902,6885963.1
1514606485.254,6885965.3
1514606488.606,6885963.2
1514606491.959,6885963.2
1514606495.310,6885962.5
1514606498.663,6885962.7
1514606502.014,6885964.2
1514606505.367,6885964.2
1514606508.719,6885963.5
1514606512.071,6885965.5
1514606515.423,6885963.5
1514606518.775,6885964.0
1514606522.128,6885963.7
1514606525.479,6885963.5
1514606528.832,6885962.5
1514606532.183,6885965.5
1514606535.536,6885963.2
1514606538.888,6885963.5
1514606542.241,6885964.0
1514606545.592,6885964.7
1514606548.945,6885963.5
1514606552.296,6885964.5
1514606555.648,6885963.5
1514606559.001,6885963.5
1514606562.353,6885964.2
1514606565.705,6885963.0
1514606569.057,6885964.0
1514606572.409,6885963.7
1514606575.762,6885964.5
1514606579.113,6885964.5
1514606582.466,6885964.2
1514606585.817,6885963.2
1514606589.170,6885963.7
1514606592.522,6885962.2
1514606595.874,6885962.7
1514606599.226,6885964.2
1514606602.579,6885962.2
1514606605.930,6885964.0
1514606609.283,6885965.5
1514606612.635,6885963.0
1514606615.987,6885963.0
1514606619.339,6885965.3
1514606622.692,6885964.2
1514606626.043,6885962.7
1514606629.396,6885963.0
1514606632.748,6885963.0
1514606636.099,6885963.5
1514606639.452,6885964.7
1514606642.804,6885963.5
1514606646.156,6885962.5
1514606649.508,6885962.5
1514606652.860,6885963.6
1514606656.212,6885963.2
1514606659.565,6885960.9
1514606662.917,6885963.0
1514606666.268,6885963.2
1514606669.621,6885963.7
1514606672.972,6885962.5
1514606676.325,6885962.2
1514606679.678,6885963.0
1514606683.029,6885962.5
1514606686.381,6885962.7
1514606689.734,6885962.7
1514606693.085,6885962.5
1514606696.438,6885962.5
1514606699.790,6885964.0
1514606703.142,6885962.7
1514606706.494,6885963.2
1514606709.847,6885964.0
1514606713.198,6885962.7
1514606716.551,6885962.7
1514606719.903,6885963.7
1514606723.254,6885962.2
1514606726.607,6885964.2
1514606729.959,6885963.7
1514606733.311,6885963.5
1514606736.664,6885963.5
1514606740.015,6885962.7
1514606743.368,6885963.7
1514606746.720,6885964.7
1514606750.072,6885965.0
1514606753.424,6885964.0
1514606756.776,6885964.7
1514606760.128,6885962.7
1514606763.481,6885963.2
1514606766.832,6885963.0
1514606770.185,6885963.5
1514606773.537,6885963.6
1514606776.889,6885964.7
1514606780.241,6885963.5
1514606783.593,6885964.0
1514606786.945,6885962.5
1514606790.298,6885962.0
1514606793.649,6885963.5
1514606797.002,6885963.7
1514606800.353,6885962.7
1514606803.706,6885962.7
1514606807.058,6885963.7
1514606810.410,6885963.0
1514606813.762,6885962.2
1514606817.115,6885963.2
1514606820.466,6885963.0
1514606823.819,6885963.2
1514606827.171,6885963.5
1514606830.523,6885963.0
1514606833.875,6885963.0
1514606837.227,6885963.2
1514606840.579,6885963.7
1514606843.932,6885961.5
1514606847.283,6885963.5
1514606850.636,6885963.5
1514606853.987,6885962.7
1514606857.340,6885963.2
1514606860.692,6885963.0
1514606864.044,6885962.2
1514606867.397,6885963.7
1514606870.748,6885963.0
1514606874.100,6885963.0
1514606877.453,6885962.2
1514606880.804,6885961.2
1514606884.157,6885961.7
1514606887.508,6885963.0
1514606890.861,6885962.0
1514606894.213,6885962.2
1514606897.565,6885962.5
1514606900.917,6885963.5
1514606904.270,6885961.7
1514606907.621,6885964.0
1514606910.974,6885963.5
1514606914.325,6885963.0
1514606917.678,6885964.0
1514606921.030,6885962.7
1514606924.382,6885962.2
1514606927.734,6885962.7
1514606931.086,6885962.5
1514606934.439,6885962.5
