setpoint,input,ouput
400.00,188.66,0.00
400.00,188.35,0.00
400.00,187.69,0.00
400.00,188.27,0.00
400.00,189.02,0.00
400.00,188.06,0.00
400.00,188.68,0.00
400.00,188.00,0.00
400.00,188.58,0.00
400.00,188.54,0.00
400.00,188.07,0.00
400.00,187.74,0.00
400.00,188.21,0.00
400.00,188.20,0.00
400.00,188.06,0.00
400.00,187.54,0.00
400.00,188.43,0.00
400.00,188.06,0.00
400.00,188.21,0.00
400.00,188.57,0.00
400.00,188.51,0.00
400.00,188.71,0.00
400.00,189.23,0.00
400.00,188.84,0.00
400.00,189.32,0.00
400.00,188.93,0.00
400.00,188.64,0.00
400.00,188.27,0.00
400.00,188.74,0.00
400.00,188.24,0.00
400.00,188.76,0.00
400.00,188.18,0.00
400.00,188.70,0.00
400.00,188.80,0.00
400.00,188.87,0.00
400.00,188.80,0.00
400.00,189.14,0.00
400.00,188.90,0.00
400.00,188.93,0.00
400.00,188.25,0.00
400.00,188.55,0.00
400.00,189.09,0.00
400.00,188.48,0.00
400.00,188.79,0.00
400.00,188.78,0.00
400.00,188.77,0.00
400.00,188.84,0.00
400.00,188.75,0.00
400.00,188.37,0.00
400.00,188.51,0.00
400.00,188.55,0.00
400.00,189.00,0.00
400.00,188.96,0.00
400.00,188.85,0.00
400.00,188.16,0.00
400.00,188.93,0.00
400.00,188.87,0.00
400.00,188.83,0.00
400.00,188.85,0.00
400.00,189.21,0.00
400.00,188.92,0.00
400.00,189.29,0.00
400.00,188.75,0.00
400.00,189.39,0.00
400.00,189.32,0.00
400.00,189.04,0.00
400.00,189.15,0.00
400.00,188.91,0.00
400.00,188.79,0.00
400.00,189.05,0.00
400.00,189.35,0.00
400.00,189.42,0.00
400.00,189.18,0.00
400.00,189.47,0.00
400.00,188.80,0.00
400.00,189.03,0.00
400.00,189.02,0.00
400.00,189.93,0.00
400.00,189.09,0.00
400.00,189.38,0.00
400.00,188.57,0.00
400.00,189.45,0.00
400.00,189.10,0.00
400.00,189.20,0.00
400.00,188.86,0.00
400.00,189.21,0.00
400.00,188.58,0.00
400.00,189.34,0.00
400.00,188.88,0.00
400.00,189.28,0.00
400.00,189.18,0.00
400.00,188.72,0.00
400.00,189.19,0.00
400.00,189.09,0.00
400.00,189.24,0.00
400.00,189.36,0.00
400.00,189.60,0.00
400.00,189.20,0.00
400.00,189.54,0.00
400.00,189.54,0.00
400.00,189.12,0.00
400.00,189.51,0.00
400.00,189.45,0.00
400.00,189.52,0.00
400.00,189.64,0.00
400.00,189.85,0.00
400.00,189.07,0.00
400.00,189.20,0.00
400.00,189.70,0.00
400.00,189.12,0.00
400.00,189.99,0.00
400.00,189.85,0.00
400.00,189.31,0.00
400.00,188.89,0.00
400.00,189.71,0.00
400.00,189.77,0.00
400.00,189.50,0.00
400.00,189.10,0.00
400.00,189.33,0.00
400.00,189.95,0.00
400.00,189.67,0.00
400.00,189.57,0.00
400.00,189.11,0.00
400.00,189.71,0.00
400.00,189.02,0.00
400.00,189.80,0.00
400.00,189.72,0.00
400.00,189.32,0.00
400.00,189.58,0.00
400.00,189.48,0.00
400.00,189.50,0.00
400.00,189.78,0.00
400.00,189.27,0.00
400.00,190.11,0.00
400.00,189.42,0.00
400.00,189.28,0.00
400.00,189.49,0.00
400.00,189.57,0.00
400.00,189.09,0.00
400.00,189.47,0.00
400.00,189.43,0.00
400.00,189.65,0.00
400.00,189.90,0.00
400.00,189.28,0.00
400.00,189.54,0.00
400.00,189.19,0.00
400.00,189.15,0.00
400.00,189.42,0.00
400.00,189.67,0.00
400.00,189.74,0.00
400.00,189.20,0.00
400.00,189.67,0.00
400.00,189.72,0.00
400.00,189.74,0.00
400.00,189.48,0.00
400.00,190.35,0.00
400.00,189.50,0.00
400.00,189.39,0.00
400.00,189.92,0.00
400.00,189.75,0.00
400.00,189.64,0.00
400.00,189.65,0.00
400.00,189.58,0.00
400.00,189.58,0.00
400.00,189.34,0.00
400.00,190.01,0.00
400.00,190.38,0.00
400.00,189.63,0.00
400.00,189.67,0.00
400.00,190.45,0.00
400.00,189.96,0.00
400.00,190.11,0.00
400.00,189.99,0.00
400.00,189.79,0.00
400.00,190.82,0.00
400.00,189.48,0.00
400.00,190.20,0.00
400.00,190.20,0.00
400.00,189.84,0.00
400.00,189.68,0.00
400.00,189.67,0.00
400.00,189.63,0.00
