si7021_c,setpoint,input,output
25.008,407,405.570,136.40
24.997,407,405.775,134.41
24.997,407,405.951,132.70
25.008,407,405.713,135.14
24.997,407,405.876,133.57
24.987,407,405.941,132.97
25.008,407,406.114,131.29
24.987,407,406.021,132.27
25.008,407,406.467,127.83
24.987,407,406.426,128.27
24.987,407,406.522,127.34
24.987,407,406.419,128.39
24.997,407,406.339,129.23
24.997,407,406.333,129.32
24.976,407,406.391,128.77
24.997,407,406.160,131.13
25.008,407,406.171,131.05
25.008,407,406.045,132.36
24.997,407,406.156,131.29
24.987,407,406.178,131.12
25.008,407,406.056,132.38
24.997,407,406.233,130.65
24.987,407,406.412,128.89
25.008,407,406.203,131.02
24.997,407,406.289,130.19
25.008,407,406.548,127.63
25.008,407,406.438,128.76
24.987,407,406.376,129.40
25.008,407,406.247,130.73
24.976,407,406.471,128.52
24.997,407,406.437,128.89
25.008,407,406.312,130.17
24.997,407,406.363,129.70
24.987,407,406.354,129.82
24.997,407,406.300,130.39
24.997,407,406.051,132.93
25.008,407,406.234,131.14
24.987,407,406.164,131.89
24.997,407,406.203,131.53
24.987,407,406.318,130.42
25.008,407,406.171,131.92
24.976,407,406.034,133.34
24.987,407,406.090,132.83
24.997,407,406.005,133.73
24.987,407,406.197,131.85
24.987,407,406.410,129.75
24.997,407,406.632,127.55
25.008,407,406.561,128.28
24.997,407,406.217,131.76
25.008,407,406.430,129.65
24.987,407,406.590,128.08
25.008,407,406.691,127.08
24.997,407,406.703,126.98
24.997,407,406.751,126.51
25.008,407,406.669,127.35
24.997,407,406.821,125.84
25.008,407,406.836,125.70
25.008,407,406.902,125.04
25.008,407,406.915,124.91
24.987,407,406.795,126.13
25.008,407,406.626,127.83
24.997,407,406.554,128.58
25.008,407,406.657,127.57
24.997,407,406.677,127.38
25.008,407,406.725,126.92
24.987,407,406.976,124.40
24.997,407,406.766,126.52
25.019,407,406.662,127.57
24.997,407,406.443,129.79
25.008,407,406.395,130.30
25.008,407,406.580,128.47
24.987,407,406.712,127.17
24.976,407,406.993,124.35
25.008,407,406.753,126.77
24.997,407,406.678,127.53
25.008,407,406.535,128.98
24.997,407,406.597,128.39
25.008,407,406.630,128.08
25.008,407,406.584,128.55
24.997,407,406.462,129.80
24.997,407,406.340,131.05
24.976,407,406.665,127.82
25.008,407,406.599,128.50
24.997,407,406.542,129.09
24.997,407,406.803,126.50
25.008,407,406.732,127.22
24.997,407,406.977,124.77
25.019,407,406.850,126.04
25.008,407,406.810,126.46
25.008,407,406.709,127.48
24.997,407,406.648,128.11
24.976,407,406.845,126.15
25.019,407,406.547,129.15
25.019,407,406.656,128.08
25.008,407,406.694,127.72
25.008,407,406.852,126.14
25.008,407,406.914,125.52
24.997,407,406.660,128.08
25.008,407,406.602,128.68
24.997,407,406.818,126.53
24.987,407,406.765,127.07
25.008,407,406.707,127.67
25.008,407,406.797,126.78
24.987,407,406.841,126.34
24.987,407,406.834,126.42
25.008,407,407.163,123.12
25.008,407,407.280,121.94
25.008,407,407.048,124.26
25.008,407,406.930,125.44
24.997,407,407.026,124.48
25.019,407,407.154,123.19
25.008,407,407.417,120.54
25.008,407,407.531,119.37
