timestamp,34401a_thermistor,si_7021_ambient_c,si7021_internal_c,setpoint,adc,adc_c,error_c,output,io_delta_c,hp_error_c,hp_mcp_delta
1517209789.3,25.0023756853,21.351,-46.582,406,406.134,25.0015,0.0015,159.92,3.6508,0.0023756853,0.000875685299999
1517209792.65,25.0021216252,21.329,-46.582,406,406.223,25.0025,0.0025,158.85,3.6733,0.0021216252,-0.0003783748
1517209796.0,25.0019340138,21.372,-46.582,406,406.463,25.0053,0.0053,156.18,3.6331,0.0019340138,-0.0033659862
1517209799.36,25.002069664,21.351,-46.582,406,406.040,25.0005,0.0005,160.38,3.6498,0.002069664,0.001569664
1517209802.71,25.0021926698,21.394,-46.582,406,406.100,25.0011,0.0011,159.73,3.6075,0.0021926698,0.0010926698
1517209806.06,25.0023878711,21.351,-46.582,406,406.038,25.0004,0.0004,160.31,3.6497,0.0023878711,0.0019878711
1517209809.4,25.0024888064,21.361,-46.582,406,406.040,25.0004,0.0005,160.28,3.6390,0.0024888064,0.0020888064
1517209812.77,25.0018452668,21.351,-46.582,406,406.068,25.0008,0.0008,159.95,3.6501,0.0018452668,0.0010452668
1517209816.12,25.0007003297,21.340,-46.582,406,405.969,24.9997,-0.0003,160.96,3.6597,0.000700329699999,0.0010003297
1517209819.47,24.9994439656,21.361,-46.582,406,406.016,25.0002,0.0002,160.67,3.6388,-0.000556034399999,-0.000756034399998
1517209822.82,24.9980810235,21.319,-46.582,406,405.790,24.9976,-0.0024,163.05,3.6791,-0.0019189765,0.000481023500001
1517209826.18,24.9963738607,21.319,-46.582,406,405.792,24.9976,-0.0024,163.16,3.6791,-0.0036261393,-0.0012261393
1517209829.53,24.9944643705,21.340,-46.582,406,405.706,24.9967,-0.0033,164.19,3.6567,-0.0055356295,-0.0022356295
1517209832.86,24.9925507025,21.340,-46.582,406,405.566,24.9951,-0.0049,165.85,3.6551,-0.0074492975,-0.0025492975
1517209836.23,24.9916694263,21.351,-46.582,406,405.559,24.9950,-0.0050,166.18,3.6443,-0.0083305737,-0.0033305737
1517209839.59,24.9920260683,21.351,-46.582,406,405.746,24.9971,-0.0029,164.47,3.6464,-0.0079739317,-0.0050739317
1517209842.93,24.9928060158,21.340,-46.582,406,405.491,24.9942,-0.0058,167.33,3.6542,-0.0071939842,-0.0013939842
1517209846.29,24.9925718444,21.351,-46.582,406,405.290,24.9919,-0.0081,169.76,3.6412,-0.0074281556,0.000671844399999
1517209849.63,24.9915439597,21.351,-46.582,406,405.230,24.9912,-0.0088,171.15,3.6406,-0.0084560403,0.0003439597
1517209853.0,24.9910090125,21.351,-46.582,406,405.332,24.9924,-0.0076,170.52,3.6417,-0.0089909875,-0.0013909875
1517209856.35,24.9911289607,21.329,-46.582,406,405.375,24.9929,-0.0071,170.48,3.6636,-0.0088710393,-0.0017710393
1517209859.7,24.9916606942,21.329,-46.582,406,405.447,24.9937,-0.0063,170.08,3.6645,-0.0083393058,-0.0020393058
1517209863.04,24.9923544513,21.351,-46.582,406,405.721,24.9968,-0.0032,167.51,3.6461,-0.0076455487,-0.0044455487
1517209866.39,24.9933966275,21.351,-46.582,406,405.797,24.9977,-0.0023,166.87,3.6470,-0.0066033725,-0.0043033725
1517209869.75,24.9949982641,21.372,-46.582,406,406.122,25.0014,0.0014,163.55,3.6292,-0.0050017359,-0.0064017359
