time_s,int_temp_c,int_temp_f,int_humid,ext_temp_c,ext_temp_f,ext_humid,ravg_int_temp_c,amps,pwm,pid_i
190,30.2098,86.37770,42.8434,24.1609,75.48957,55.2411,30.217870,0.1000,9,0.00000
191,30.1884,86.33908,42.8281,24.1823,75.52819,55.2640,30.212507,0.1000,9,0.00000
192,30.2098,86.37770,42.8205,24.1930,75.54749,55.2869,30.209827,0.1000,9,0.00000
193,30.1991,86.35839,42.8129,24.1609,75.48957,55.2488,30.207145,0.1000,9,0.00000
194,30.1991,86.35839,42.8129,24.1930,75.54749,55.2717,30.204467,0.1000,9,0.00000
195,30.2098,86.37770,42.7900,24.1716,75.50888,55.2793,30.203128,0.1000,9,0.00000
196,30.1884,86.33908,42.7671,24.1823,75.52819,55.2793,30.199108,0.1000,9,0.00000
197,30.1991,86.35839,42.7900,24.1716,75.50888,55.2869,30.200447,0.1000,9,0.00000
198,30.1884,86.33908,42.7518,24.1823,75.52819,55.3022,30.197765,0.1000,9,0.00000
199,30.1991,86.35839,42.7671,24.1716,75.50888,55.3022,30.199104,0.1000,9,0.00000
200,30.1884,86.33908,42.7442,24.1609,75.48957,55.3022,30.196422,0.1000,9,0.00000
201,30.1884,86.33908,42.7213,24.1823,75.52819,55.2946,30.195083,0.1000,9,0.00000
202,30.1884,86.33908,42.7366,24.1609,75.48957,55.2869,30.193740,0.1000,9,0.00000
203,30.1669,86.30048,42.7061,24.1609,75.48957,55.2946,30.188377,0.1000,9,0.00000
204,30.1777,86.31977,42.6832,24.1716,75.50888,55.2869,30.187038,0.1000,9,0.00000
205,30.1884,86.33908,42.6984,24.1394,75.45098,55.2946,30.185695,0.1000,9,0.00000
206,30.1777,86.31977,42.6832,24.1609,75.48957,55.3098,30.184356,0.1000,9,0.00000
207,30.1777,86.31977,42.6679,24.1716,75.50888,55.3098,30.181674,0.1000,9,0.00000
208,30.1777,86.31977,42.6679,24.1609,75.48957,55.2946,30.180335,0.1000,9,0.00000
209,30.1777,86.31977,42.6679,24.1501,75.47026,55.3022,30.178993,0.1000,9,0.00000
210,30.1455,86.26186,42.6755,24.1716,75.50888,55.3022,30.173629,0.1000,9,0.00000
211,30.1669,86.30048,42.6450,24.1716,75.50888,55.3174,30.173629,0.1000,9,0.00000
212,30.1669,86.30048,42.6526,24.1609,75.48957,55.3022,30.172290,0.1000,9,0.00000
213,30.1777,86.31977,42.6374,24.1930,75.54749,55.3327,30.170948,0.1000,9,0.00000
214,30.1455,86.26186,42.6145,24.1609,75.48957,55.3098,30.166923,0.1000,9,0.00000
215,30.1562,86.28117,42.6145,24.1716,75.50888,55.3327,30.164245,0.1000,9,0.00000
216,30.1347,86.24256,42.6221,24.1823,75.52819,55.3327,30.158882,0.1000,9,0.00000
217,30.1455,86.26186,42.6145,24.1501,75.47026,55.3632,30.154861,0.1000,9,0.00000
218,30.1240,86.22325,42.6145,24.1716,75.50888,55.3403,30.152179,0.1000,9,0.00000
219,30.1347,86.24256,42.6069,24.1609,75.48957,55.3556,30.148159,0.1000,9,0.00000
