time_s,int_temp_c,int_temp_f,int_humid,ext_temp_c,ext_temp_f,ext_humid,ravg_int_temp_c,amps,pwm,pid_i
226,28.9335,84.08037,43.3774,24.6542,76.37761,54.2112,28.925497,0.1000,9,0.00000
227,28.9335,84.08037,43.3851,24.6328,76.33900,54.2188,28.928176,0.1000,9,0.00000
228,28.9335,84.08037,43.3851,24.6542,76.37761,54.2341,28.929519,0.1000,9,0.00000
229,28.9335,84.08037,43.3774,24.6221,76.31970,54.2417,28.929519,0.1000,9,0.00000
230,28.9443,84.09969,43.3774,24.6221,76.31970,54.2417,28.930860,0.1000,9,0.00000
231,28.9228,84.06107,43.3622,24.5899,76.26177,54.2493,28.932197,0.1000,9,0.00000
232,28.9014,84.02246,43.3774,24.5792,76.24248,54.2570,28.929515,0.1000,9,0.00000
233,28.9121,84.04177,43.3698,24.5792,76.24248,54.2646,28.926834,0.1000,9,0.00000
234,28.9121,84.04177,43.3698,24.5684,76.22317,54.2798,28.924156,0.1000,9,0.00000
235,28.9014,84.02246,43.3698,24.5684,76.22317,54.2798,28.920135,0.1000,9,0.00000
236,28.9121,84.04177,43.3698,24.5684,76.22317,54.2875,28.917453,0.1000,9,0.00000
237,28.9443,84.09969,43.3698,24.5684,76.22317,54.3027,28.918796,0.1000,9,0.00000
238,28.9228,84.06107,43.3698,24.5684,76.22317,54.3180,28.916114,0.1000,9,0.00000
239,28.9443,84.09969,43.3851,24.5792,76.24248,54.3485,28.918796,0.1000,9,0.00000
240,28.9335,84.08037,43.3774,24.5577,76.20387,54.3333,28.922817,0.1000,9,0.00000
241,28.9335,84.08037,43.3851,24.5577,76.20387,54.3714,28.925498,0.1000,9,0.00000
242,28.9335,84.08037,43.3774,24.5470,76.18456,54.3714,28.928178,0.1000,9,0.00000
243,28.9228,84.06107,43.3774,24.5470,76.18456,54.3790,28.930860,0.1000,9,0.00000
244,28.9335,84.08037,43.3774,24.5363,76.16526,54.3867,28.933544,0.1000,9,0.00000
245,28.9335,84.08037,43.3774,24.5148,76.12664,54.3867,28.932201,0.1000,9,0.00000
246,28.9443,84.09969,43.3927,24.5363,76.16526,54.4095,28.934879,0.1000,9,0.00000
247,28.9443,84.09969,43.3698,24.5148,76.12664,54.4172,28.934879,0.1000,9,0.00000
248,28.9443,84.09969,43.3851,24.5255,76.14595,54.4553,28.936222,0.1000,9,0.00000
249,28.9550,84.11899,43.3774,24.5148,76.12664,54.4401,28.938903,0.1000,9,0.00000
250,28.9443,84.09969,43.3698,24.5041,76.10733,54.4553,28.940242,0.1000,9,0.00000
251,28.9443,84.09969,43.3851,24.5041,76.10733,54.4706,28.942924,0.1000,9,0.00000
252,28.9335,84.08037,43.3774,24.5041,76.10733,54.4858,28.942928,0.1000,9,0.00000
253,28.9443,84.09969,43.3851,24.5041,76.10733,54.5011,28.944271,0.1000,9,0.00000
254,28.9443,84.09969,43.3851,24.5041,76.10733,54.5011,28.944267,0.1000,9,0.00000
255,28.9443,84.09969,43.3698,24.5041,76.10733,54.5316,28.944267,0.1000,9,0.00000
256,28.9335,84.08037,43.3546,24.5041,76.10733,54.5545,28.942928,0.1000,9,0.00000
257,28.9550,84.11899,43.3851,24.5041,76.10733,54.5545,28.942928,0.1000,9,0.00000
258,28.9657,84.13830,43.3698,24.5041,76.10733,54.5621,28.945610,0.1000,9,0.00000
259,28.9335,84.08037,43.3851,24.5148,76.12664,54.5698,28.944267,0.1000,9,0.00000
260,28.9443,84.09969,43.3774,24.4934,76.08804,54.5774,28.945610,0.1000,9,0.00000
261,28.9550,84.11899,43.3622,24.4826,76.06874,54.5927,28.946949,0.1000,9,0.00000
262,28.9335,84.08037,43.3698,24.4719,76.04943,54.5927,28.945606,0.1000,9,0.00000
263,28.9443,84.09969,43.3546,24.4934,76.08804,54.6079,28.945606,0.1000,9,0.00000
264,28.9550,84.11899,43.3546,24.4934,76.08804,54.6232,28.948287,0.1000,9,0.00000
265,28.9550,84.11899,43.3546,24.5041,76.10733,54.6308,28.948291,0.1000,9,0.00000
266,28.9550,84.11899,43.3546,24.4826,76.06874,54.6613,28.946949,0.1000,9,0.00000
267,28.9443,84.09969,43.3546,24.4719,76.04943,54.6461,28.948287,0.1000,9,0.00000
268,28.9550,84.11899,43.3469,24.4934,76.08804,54.6613,28.949630,0.1000,9,0.00000
269,28.9443,84.09969,43.3546,24.4826,76.06874,54.6766,28.948287,0.1000,9,0.00000
270,28.9550,84.11899,43.3546,24.4826,76.06874,54.6918,28.950969,0.1000,9,0.00000
271,28.9550,84.11899,43.3469,24.4612,76.03012,54.6995,28.952308,0.1000,9,0.00000
272,28.9657,84.13830,43.3469,24.4934,76.08804,54.6842,28.953651,0.1000,9,0.00000
273,28.9657,84.13830,43.3469,24.4826,76.06874,54.6995,28.954994,0.1000,9,0.00000
274,28.9657,84.13830,43.3469,24.4505,76.01082,54.7147,28.956336,0.1000,9,0.00000
275,28.9657,84.13830,43.3469,24.4826,76.06874,54.7224,28.959014,0.1000,9,0.00000
276,28.9657,84.13830,43.3317,24.4719,76.04943,54.7300,28.960357,0.1000,9,0.00000
277,28.9872,84.17691,43.3393,24.4612,76.03012,54.7529,28.965717,0.1000,9,0.00000
278,28.9657,84.13830,43.3469,24.4505,76.01082,54.7452,28.967060,0.1000,9,0.00000
279,28.9657,84.13830,43.3317,24.4505,76.01082,54.7376,28.968402,0.1000,9,0.00000
280,28.9764,84.15760,43.3393,24.4719,76.04943,54.7681,28.969745,0.1000,9,0.00000
