time_s,int_temp_c,int_temp_f,int_humid,ext_temp_c,ext_temp_f,ext_humid,ravg_int_temp_c,ext_temp_c+4,amps,pwm,pid_i,pid_d,target_c
80,29.3840,84.89119,43.7513,24.7722,76.58997,53.8450,29.355842,28.7722,1.950,196,0.0000,-0.0421,32.0000
81,29.3840,84.89119,43.7437,24.7829,76.60927,53.8450,29.363885,28.7829,1.950,196,0.0000,-0.0415,32.0000
82,29.3947,84.91050,43.7513,24.7829,76.60927,53.8450,29.369249,28.7829,1.950,196,0.0000,-0.0366,32.0000
83,29.4162,84.94911,43.7284,24.7722,76.58997,53.8373,29.378633,28.7722,1.950,196,0.0000,-0.0400,32.0000
84,29.4269,84.96841,43.7437,24.7615,76.57067,53.8221,29.389356,28.7615,1.950,196,0.0000,-0.0446,32.0000
85,29.4269,84.96841,43.7437,24.7829,76.60927,53.8297,29.398742,28.7829,1.950,196,0.0000,-0.0454,32.0000
86,29.4376,84.98772,43.7437,24.7722,76.58997,53.8526,29.406787,28.7722,1.950,196,0.0000,-0.0436,32.0000
87,29.4591,85.02632,43.7665,24.7937,76.62858,53.8373,29.416172,28.7937,1.950,196,0.0000,-0.0447,32.0000
88,29.4376,84.98772,43.7665,24.7722,76.58997,53.8297,29.422874,28.7722,1.950,196,0.0000,-0.0410,32.0000
89,29.4805,85.06494,43.7360,24.7829,76.60927,53.8373,29.434940,28.7829,1.950,196,0.0000,-0.0474,32.0000
90,29.4698,85.04563,43.7513,24.7937,76.62858,53.8297,29.444324,28.7937,1.950,196,0.0000,-0.0473,32.0000
91,29.5020,85.10356,43.7360,24.7829,76.60927,53.8221,29.455049,28.7829,1.950,196,0.0000,-0.0494,32.0000
92,29.4805,85.06494,43.7437,24.7937,76.62858,53.8450,29.461751,28.7937,1.950,196,0.0000,-0.0441,32.0000
93,29.5127,85.12285,43.7513,24.7937,76.62858,53.8450,29.472476,28.7937,1.950,196,0.0000,-0.0473,32.0000
94,29.5341,85.16147,43.7589,24.7937,76.62858,53.8221,29.484546,28.7937,1.950,196,0.0000,-0.0516,32.0000
95,29.5449,85.18077,43.7742,24.7937,76.62858,53.8373,29.495269,28.7937,1.950,196,0.0000,-0.0523,32.0000
96,29.5449,85.18077,43.7589,24.8151,76.66719,53.8450,29.508678,28.8151,1.950,196,0.0000,-0.0572,32.0000
97,29.5449,85.18077,43.7589,24.8151,76.66719,53.8526,29.516719,28.8151,1.950,196,0.0000,-0.0515,32.0000
98,29.5663,85.21938,43.7589,24.8151,76.66719,53.8526,29.528789,28.8151,1.950,196,0.0000,-0.0545,32.0000
99,29.5663,85.21938,43.7437,24.8151,76.66719,53.8373,29.536830,28.8151,1.950,196,0.0000,-0.0497,32.0000
100,29.5878,85.25800,43.7437,24.7937,76.62858,53.8297,29.550237,28.7937,1.950,196,0.0000,-0.0555,32.0000
101,29.5878,85.25800,43.7437,24.8258,76.68650,53.8221,29.559621,28.8258,1.950,196,0.0000,-0.0526,32.0000
102,29.5985,85.27730,43.7284,24.8258,76.68650,53.8297,29.567665,28.8258,1.950,196,0.0000,-0.0485,32.0000
