timestamp,ltz1000-3-to-4
1514701914.641,17521.5
1514701917.992,17521.6
1514701921.345,17521.2
1514701924.697,17521.2
1514701928.049,17520.8
1514701931.401,17522.6
1514701934.753,17521.1
1514701938.105,17521.0
1514701941.458,17521.3
1514701944.809,17521.2
1514701948.162,17521.4
1514701951.514,17521.5
1514701954.866,17521.5
1514701958.218,17521.5
1514701961.570,17521.9
1514701964.923,17521.1
1514701968.275,17521.6
1514701971.627,17522.1
1514701974.979,17522.9
1514701978.331,17523.1
1514701981.683,17522.9
1514701985.035,17522.8
1514701988.388,17522.9
1514701991.739,17522.9
1514701995.092,17522.6
1514701998.444,17522.8
1514702001.796,17522.6
1514702005.148,17522.7
1514702008.500,17522.8
1514702011.853,17522.9
1514702015.205,17522.5
1514702018.557,17522.6
1514702021.909,17523.0
1514702025.261,17522.9
1514702028.614,17522.9
1514702031.965,17523.0
1514702035.317,17522.9
1514702038.670,17522.8
1514702042.021,17522.6
1514702045.374,17522.8
1514702048.727,17522.6
1514702052.078,17523.0
1514702055.431,17522.6
1514702058.782,17522.8
1514702062.135,17523.0
1514702065.487,17523.1
1514702068.839,17523.0
1514702072.191,17522.8
1514702075.543,17522.7
1514702078.895,17522.8
1514702082.247,17522.9
1514702085.600,17522.9
1514702088.952,17522.5
1514702092.304,17522.7
1514702095.656,17523.0
1514702099.008,17522.9
1514702102.361,17523.0
1514702105.712,17522.9
1514702109.065,17522.9
1514702112.416,17522.7
1514702115.769,17523.0
1514702119.121,17522.9
1514702122.473,17522.7
1514702125.825,17522.8
1514702129.177,17522.6
1514702132.529,17522.8
1514702135.882,17522.7
1514702139.233,17522.8
1514702142.586,17523.0
1514702145.938,17522.9
1514702149.290,17522.9
1514702152.643,17522.7
1514702155.994,17522.7
1514702159.347,17522.8
1514702162.698,17522.8
1514702166.051,17523.0
1514702169.403,17522.7
1514702172.755,17523.1
1514702176.108,17523.0
1514702179.459,17522.8
1514702182.812,17523.0
1514702186.164,17523.1
1514702189.516,17523.0
1514702192.868,17522.9
1514702196.220,17522.9
1514702199.573,17523.3
1514702202.924,17523.2
1514702206.277,17523.2
1514702209.628,17523.3
1514702212.981,17522.8
1514702216.333,17522.8
1514702219.685,17522.8
1514702223.037,17523.1
1514702226.389,17523.4
1514702229.742,17523.4
1514702233.094,17523.1
1514702236.446,17523.1
1514702239.798,17523.3
1514702243.150,17523.1
1514702246.502,17523.1
1514702249.855,17522.9
1514702253.206,17523.4
1514702256.559,17523.2
1514702259.911,17523.0
1514702263.263,17523.0
1514702266.616,17523.2
1514702269.967,17523.0
1514702273.320,17523.0
1514702276.671,17523.3
1514702280.024,17522.8
1514702283.376,17522.8
1514702286.728,17522.7
1514702290.080,17522.9
1514702293.432,17522.8
1514702296.785,17522.8
1514702300.136,17523.1
1514702303.489,17523.2
1514702306.841,17523.1
1514702310.193,17522.8
1514702313.545,17523.0
1514702316.898,17522.9
1514702320.249,17523.0
1514702323.602,17523.5
1514702326.954,17523.4
1514702330.306,17523.4
1514702333.658,17523.4
1514702337.010,17523.4
1514702340.363,17523.2
1514702343.715,17523.3
1514702347.067,17523.2
1514702350.419,17523.1
1514702353.771,17523.4
1514702357.124,17523.1
1514702360.475,17523.2
1514702363.828,17523.0
1514702367.179,17523.1
1514702370.532,17523.1
1514702373.884,17523.3
1514702377.236,17523.0
1514702380.588,17523.2
1514702383.940,17523.3
1514702387.293,17523.4
1514702390.645,17523.1
1514702393.997,17523.2
1514702397.349,17523.1
1514702400.701,17523.1
1514702404.053,17523.1
1514702407.405,17523.2
1514702410.758,17523.2
1514702414.110,17523.3
1514702417.462,17523.0
1514702420.815,17523.0
1514702424.166,17523.3
1514702427.519,17523.1
1514702430.870,17523.2
1514702434.223,17523.4
1514702437.575,17523.4
1514702440.927,17523.3
1514702444.279,17523.0
1514702447.632,17522.8
1514702450.983,17522.7
1514702454.336,17522.9
1514702457.688,17522.7
1514702461.040,17522.8
1514702464.392,17522.4
1514702467.744,17522.5
1514702471.096,17522.7
1514702474.449,17522.6
1514702477.800,17522.6
1514702481.153,17523.0
1514702484.505,17522.6
1514702487.857,17522.8
1514702491.209,17522.6
1514702494.561,17522.5
1514702497.913,17522.6
1514702501.266,17522.3
1514702504.618,17522.3
1514702507.970,17522.6
1514702511.322,17522.7
1514702514.674,17522.8
1514702518.026,17522.5
1514702521.379,17522.4
1514702524.731,17522.0
1514702528.083,17522.4
1514702531.435,17522.4
1514702534.788,17522.7
1514702538.139,17523.0
1514702541.492,17523.1
1514702544.843,17522.8
1514702548.196,17523.1
1514702551.548,17522.9
1514702554.900,17522.9
1514702558.252,17522.5
1514702561.604,17522.8
1514702564.957,17522.7
1514702568.308,17522.7
1514702571.661,17522.5
1514702575.013,17522.6
1514702578.365,17522.3
1514702581.718,17522.1
1514702585.069,17522.4
1514702588.421,17522.6
1514702591.774,17522.7
1514702595.125,17522.7
1514702598.478,17522.9
1514702601.830,17522.9
1514702605.182,17522.6
1514702608.534,17522.7
1514702611.887,17522.9
1514702615.239,17522.9
1514702618.591,17522.8
1514702621.943,17522.9
1514702625.295,17522.7
1514702628.647,17523.0
1514702632.000,17522.8
1514702635.351,17522.6
1514702638.704,17522.7
1514702642.056,17522.7
1514702645.408,17522.8
1514702648.760,17522.8
1514702652.112,17522.8
1514702655.464,17523.0
