timestamp,ltz1000-p17-negcase
1514592557.041,7071496.4
1514592560.392,7071497.9
1514592563.745,7071496.6
1514592567.096,7071497.4
1514592570.449,7071495.9
1514592573.801,7071496.4
1514592577.153,7071496.4
1514592580.505,7071496.4
1514592583.857,7071496.6
1514592587.209,7071497.4
1514592590.561,7071497.6
1514592593.960,7071497.4
1514592597.266,7071496.1
1514592600.617,7071497.1
1514592603.970,7071495.9
1514592607.321,7071498.2
1514592610.674,7071496.6
1514592614.026,7071496.6
1514592617.378,7071497.1
1514592620.730,7071497.9
1514592624.082,7071497.6
1514592627.434,7071497.9
1514592630.786,7071498.2
1514592634.139,7071496.9
1514592637.490,7071497.9
1514592640.843,7071497.6
1514592644.195,7071497.9
1514592647.546,7071495.7
1514592650.899,7071496.4
1514592654.251,7071495.1
1514592657.603,7071496.1
1514592660.956,7071496.4
1514592664.307,7071496.4
1514592667.659,7071497.1
1514592671.012,7071496.6
1514592674.363,7071496.6
1514592677.716,7071497.1
1514592681.068,7071495.4
1514592684.420,7071495.9
1514592687.772,7071496.1
1514592691.124,7071496.1
1514592694.476,7071495.6
1514592697.829,7071495.6
1514592701.180,7071496.1
1514592704.533,7071496.9
1514592707.885,7071496.1
1514592711.237,7071496.6
1514592714.589,7071497.4
1514592717.941,7071497.3
1514592721.293,7071497.6
1514592724.645,7071497.4
1514592727.997,7071496.1
1514592731.350,7071495.6
1514592734.701,7071495.9
1514592738.054,7071495.1
1514592741.406,7071494.9
1514592744.758,7071495.4
1514592748.110,7071496.1
1514592751.462,7071495.1
1514592754.814,7071495.4
1514592758.167,7071495.1
1514592761.518,7071496.6
1514592764.871,7071495.9
1514592768.324,7071496.1
1514592771.575,7071495.4
1514592774.926,7071494.9
1514592778.279,7071495.1
1514592781.631,7071496.4
1514592784.983,7071495.6
1514592788.336,7071495.6
1514592791.687,7071495.4
1514592795.040,7071495.9
1514592798.391,7071495.9
1514592801.744,7071495.9
1514592805.096,7071495.6
1514592808.448,7071496.6
1514592811.800,7071494.9
1514592815.152,7071497.4
1514592818.504,7071494.9
1514592821.856,7071495.9
1514592825.208,7071496.4
1514592828.560,7071495.1
1514592831.913,7071497.4
1514592835.264,7071496.6
1514592838.617,7071496.9
1514592841.969,7071498.2
1514592845.321,7071495.4
1514592848.673,7071495.6
1514592852.025,7071497.1
1514592855.378,7071498.7
1514592858.730,7071498.2
1514592862.081,7071496.4
1514592865.434,7071497.9
1514592868.786,7071497.9
1514592872.138,7071497.9
1514592875.490,7071496.9
1514592878.842,7071497.9
1514592882.194,7071496.4
1514592885.547,7071497.1
1514592888.898,7071497.6
1514592892.251,7071496.9
1514592895.602,7071497.4
1514592898.955,7071497.6
1514592902.307,7071498.4
1514592905.659,7071497.1
1514592909.011,7071496.6
1514592912.363,7071497.4
1514592915.715,7071499.2
1514592919.068,7071497.6
1514592922.420,7071497.6
1514592925.772,7071498.2
1514592929.123,7071497.9
1514592932.476,7071496.9
1514592935.828,7071497.9
1514592939.180,7071497.4
1514592942.532,7071497.6
1514592945.884,7071497.4
1514592949.236,7071497.4
1514592952.588,7071497.9
1514592955.941,7071498.4
1514592959.292,7071497.9
1514592962.645,7071497.9
1514592965.997,7071496.4
1514592969.349,7071498.4
1514592972.701,7071497.6
1514592976.053,7071497.1
1514592979.405,7071497.1
1514592982.757,7071497.4
1514592986.109,7071496.6
1514592989.461,7071496.1
1514592992.814,7071497.6
1514592996.166,7071497.1
1514592999.518,7071497.4
1514593002.870,7071498.2
1514593006.223,7071496.9
1514593009.574,7071498.2
1514593012.927,7071497.9
1514593016.278,7071497.1
1514593019.631,7071496.4
1514593022.982,7071496.4
1514593026.335,7071496.4
1514593029.687,7071497.1
1514593033.039,7071497.1
1514593036.391,7071497.6
1514593039.743,7071498.2
1514593043.095,7071497.6
1514593046.448,7071497.1
1514593049.799,7071497.6
1514593053.152,7071497.1
1514593056.504,7071498.7
1514593059.856,7071497.9
1514593063.208,7071498.2
1514593066.560,7071498.7
1514593069.912,7071498.4
1514593073.264,7071498.7
1514593076.617,7071498.9
1514593079.968,7071498.2
1514593083.321,7071498.7
1514593086.672,7071497.9
1514593090.025,7071496.9
1514593093.377,7071498.4
1514593096.729,7071496.4
1514593100.081,7071497.6
1514593103.433,7071496.4
1514593106.785,7071496.6
1514593110.137,7071497.1
1514593113.489,7071497.9
1514593116.842,7071498.2
1514593120.193,7071497.1
1514593123.546,7071497.4
1514593126.897,7071498.7
1514593130.250,7071499.2
1514593133.602,7071500.2
1514593136.954,7071497.9
1514593140.306,7071498.2
1514593143.658,7071498.7
1514593147.010,7071499.4
1514593150.363,7071498.4
1514593153.714,7071498.2
1514593157.067,7071498.2
1514593160.419,7071496.6
1514593163.771,7071496.4
1514593167.123,7071497.4
1514593170.476,7071497.6
1514593173.827,7071497.9
1514593177.180,7071497.9
1514593180.531,7071497.6
1514593183.884,7071497.6
1514593187.236,7071498.9
1514593190.588,7071497.4
1514593193.940,7071498.4
1514593197.292,7071496.6
1514593200.644,7071497.1
1514593203.997,7071496.6
1514593207.348,7071496.9
1514593210.701,7071498.2
1514593214.052,7071497.1
1514593217.405,7071497.9
1514593220.757,7071497.9
1514593224.109,7071497.4
1514593227.461,7071497.6
1514593230.813,7071498.2
1514593234.166,7071497.6
1514593237.517,7071497.9
1514593240.869,7071497.6
1514593244.222,7071497.4
1514593247.574,7071497.9
1514593250.926,7071498.7
1514593254.278,7071497.4
1514593257.630,7071496.4
1514593260.982,7071495.9
1514593264.334,7071495.1
1514593267.687,7071497.4
1514593271.038,7071496.9
1514593274.391,7071496.4
1514593277.742,7071497.9
1514593281.095,7071497.1
1514593284.447,7071497.9
1514593287.799,7071497.1
1514593291.151,7071497.9
1514593294.503,7071497.9
1514593297.855,7071498.4
1514593301.208,7071496.6
1514593304.559,7071498.4
1514593307.912,7071498.7
1514593311.263,7071497.4
1514593314.616,7071499.2
1514593317.968,7071497.6
1514593321.320,7071498.4
1514593324.673,7071497.4
1514593328.024,7071497.6
1514593331.376,7071497.4
1514593334.729,7071498.4
1514593338.080,7071498.2
1514593341.433,7071497.9
1514593344.785,7071497.6
1514593348.137,7071497.6
1514593351.489,7071497.9
1514593354.841,7071497.6
1514593358.193,7071498.4
1514593361.546,7071497.9
1514593364.897,7071498.4
1514593368.250,7071498.9
1514593371.601,7071498.2
1514593374.954,7071497.6
1514593378.306,7071497.4
1514593381.658,7071497.6
1514593385.010,7071497.1
1514593388.363,7071498.2
1514593391.714,7071497.9
1514593395.067,7071497.6
1514593398.419,7071497.1
1514593401.770,7071497.4
1514593405.123,7071497.1
1514593408.475,7071498.4
1514593411.827,7071497.6
1514593415.179,7071497.4
1514593418.531,7071498.2
1514593421.883,7071497.1
1514593425.236,7071498.2
1514593428.588,7071496.9
1514593431.940,7071496.9
1514593435.292,7071497.1
1514593438.644,7071498.2
1514593441.996,7071496.9
1514593445.348,7071498.7
1514593448.700,7071496.4
1514593452.053,7071497.9
1514593455.404,7071498.4
1514593458.757,7071496.6
1514593462.108,7071497.9
1514593465.461,7071496.4
1514593468.813,7071497.1
1514593472.165,7071497.4
1514593475.517,7071499.4
1514593478.870,7071499.4
1514593482.221,7071498.7
1514593485.574,7071497.6
1514593488.925,7071499.4
1514593492.278,7071498.7
1514593495.629,7071498.4
1514593498.982,7071498.9
1514593502.334,7071498.2
1514593505.686,7071498.4
1514593509.038,7071497.4
1514593512.390,7071498.7
1514593515.742,7071498.7
1514593519.094,7071498.4
1514593522.447,7071498.2
1514593525.799,7071499.4
1514593529.151,7071499.7
1514593532.503,7071497.6
1514593536.000,7071499.2
1514593539.207,7071499.2
1514593542.559,7071498.2
1514593545.911,7071500.2
1514593549.263,7071502.5
1514593552.615,7071501.7
