timestamp,ltz1000-p19-soldered-leads
1513980172.238,7189844.6
1513980175.590,7189845.2
1513980178.942,7189845.7
1513980182.294,7189846.3
1513980185.647,7189845.5
1513980188.998,7189846.9
1513980192.351,7189844.6
1513980195.702,7189845.9
1513980199.055,7189843.6
1513980202.408,7189844.4
1513980205.759,7189845.2
1513980209.111,7189848.3
1513980212.463,7189848.4
1513980215.816,7189847.8
1513980219.167,7189850.5
1513980222.520,7189846.2
1513980225.871,7189847.2
1513980229.224,7189846.9
1513980232.576,7189844.5
1513980235.928,7189844.4
1513980239.280,7189843.4
1513980242.632,7189844.1
1513980245.985,7189844.4
1513980249.336,7189842.4
1513980252.689,7189842.1
1513980256.041,7189842.9
1513980259.394,7189844.3
1513980262.745,7189844.1
1513980266.098,7189841.9
1513980269.449,7189841.3
1513980272.801,7189840.1
1513980276.153,7189841.1
1513980279.506,7189844.4
1513980282.857,7189845.2
1513980286.210,7189844.0
1513980289.562,7189843.9
1513980292.914,7189845.7
1513980296.266,7189843.9
1513980299.619,7189844.9
1513980302.970,7189841.1
1513980306.323,7189846.5
1513980309.674,7189845.2
1513980313.027,7189838.4
1513980316.379,7189839.1
1513980319.731,7189840.5
1513980323.083,7189839.7
1513980326.436,7189842.0
1513980329.787,7189838.6
1513980333.140,7189839.1
1513980336.491,7189839.8
1513980339.844,7189837.8
1513980343.196,7189838.8
1513980346.548,7189836.4
1513980349.900,7189837.0
1513980353.508,7189834.0
1513980356.605,7189836.8
1513980359.956,7189837.8
1513980363.309,7189839.1
1513980366.660,7189838.3
1513980370.013,7189839.8
1513980373.365,7189842.9
1513980376.716,7189844.4
1513980380.069,7189848.7
1513980383.421,7189840.8
1513980386.773,7189839.3
1513980390.126,7189840.1
1513980393.477,7189841.3
1513980396.830,7189846.9
1513980400.187,7189844.1
1513980403.534,7189838.1
1513980406.886,7189842.0
1513980410.238,7189840.0
1513980413.590,7189844.1
1513980416.942,7189842.0
1513980420.294,7189843.4
1513980423.646,7189844.8
1513980426.998,7189840.3
1513980430.351,7189843.4
1513980433.702,7189846.5
1513980437.055,7189844.8
1513980440.407,7189845.0
1513980443.759,7189844.6
1513980447.111,7189843.8
1513980450.463,7189845.4
1513980453.815,7189845.3
1513980457.168,7189845.7
1513980460.520,7189846.9
1513980463.871,7189845.3
1513980467.224,7189844.1
1513980470.576,7189844.1
1513980473.928,7189842.1
1513980477.280,7189846.2
1513980480.633,7189844.4
1513980483.984,7189850.1
1513980487.337,7189846.7
1513980490.689,7189845.4
1513980494.041,7189844.9
1513980497.393,7189846.4
1513980500.745,7189847.6
1513980504.097,7189846.9
1513980507.449,7189846.4
1513980510.801,7189846.5
1513980514.154,7189846.3
1513980517.505,7189846.9
1513980520.858,7189844.4
1513980524.210,7189842.1
1513980527.562,7189845.9
1513980530.914,7189846.9
1513980534.266,7189845.3
1513980537.618,7189847.4
1513980540.971,7189847.3
1513980544.322,7189847.2
1513980547.675,7189845.7
1513980551.026,7189845.4
1513980554.379,7189845.9
1513980557.731,7189844.9
1513980561.083,7189843.9
1513980564.435,7189845.9
1513980567.787,7189848.2
1513980571.139,7189849.7
1513980574.492,7189851.0
1513980577.843,7189850.5
1513980581.196,7189849.0
1513980584.548,7189845.7
1513980587.900,7189846.0
1513980591.252,7189847.7
1513980594.605,7189847.7
1513980597.956,7189849.8
1513980601.308,7189846.7
1513980604.660,7189847.1
1513980608.013,7189849.0
1513980611.365,7189849.2
1513980614.717,7189847.7
1513980618.069,7189847.1
1513980621.422,7189848.7
1513980624.773,7189848.7
1513980628.126,7189846.9
1513980631.477,7189847.2
1513980634.830,7189848.1
1513980638.181,7189845.2
1513980641.534,7189843.9
1513980644.886,7189844.6
1513980648.238,7189842.4
1513980651.591,7189843.1
1513980654.942,7189844.1
1513980658.295,7189840.1
1513980661.646,7189844.1
1513980664.999,7189841.1
1513980668.351,7189839.6
1513980671.702,7189840.0
1513980675.055,7189839.6
1513980678.407,7189843.8
1513980681.759,7189840.2
1513980685.111,7189840.8
1513980688.464,7189846.4
1513980691.815,7189844.5
1513980695.168,7189844.4
1513980698.520,7189839.1
1513980701.872,7189844.0
1513980705.224,7189843.4
1513980708.576,7189839.8
1513980711.928,7189835.1
1513980715.280,7189844.4
1513980718.632,7189837.5
1513980721.985,7189839.2
1513980725.337,7189837.4
1513980728.688,7189837.8
1513980732.041,7189840.2
1513980735.393,7189840.6
1513980738.745,7189841.1
1513980742.097,7189843.6
1513980745.449,7189845.7
1513980748.801,7189844.1
1513980752.154,7189840.6
1513980755.505,7189841.3
1513980758.858,7189837.3
1513980762.209,7189843.9
1513980765.562,7189840.3
1513980768.914,7189843.1
1513980772.266,7189841.1
1513980775.618,7189834.5
1513980778.970,7189838.1
1513980782.322,7189842.1
1513980785.675,7189839.2
1513980789.026,7189841.6
1513980792.379,7189837.7
1513980795.731,7189837.8
1513980799.083,7189837.3
1513980802.435,7189840.6
1513980805.787,7189840.6
1513980809.139,7189846.4
1513980812.491,7189845.9
1513980815.844,7189843.4
1513980819.195,7189841.3
1513980822.548,7189841.3
1513980825.899,7189840.6
1513980829.252,7189840.7
1513980832.604,7189839.6
1513980835.956,7189842.9
1513980839.308,7189837.8
1513980842.660,7189841.6
1513980846.013,7189843.1
1513980849.365,7189842.6
1513980852.717,7189842.4
1513980856.068,7189842.0
1513980859.421,7189838.8
1513980862.773,7189838.8
1513980866.125,7189841.2
1513980869.477,7189837.8
1513980872.830,7189837.5
1513980876.181,7189838.7
1513980879.534,7189841.6
1513980882.885,7189839.6
1513980886.238,7189841.1
1513980889.590,7189840.8
1513980892.942,7189841.9
1513980896.294,7189842.4
1513980899.646,7189840.8
1513980902.998,7189841.3
1513980906.351,7189839.4
1513980909.703,7189842.6
1513980913.054,7189841.9
1513980916.407,7189840.3
1513980919.759,7189840.1
1513980923.111,7189839.1
1513980926.463,7189841.1
1513980929.815,7189840.1
1513980933.167,7189841.3
1513980936.520,7189841.0
1513980939.871,7189839.3
1513980943.224,7189839.1
1513980946.576,7189839.6
1513980949.928,7189834.8
1513980953.280,7189833.7
1513980956.632,7189836.3
1513980959.984,7189837.4
1513980963.336,7189834.2
1513980966.688,7189833.7
1513980970.040,7189836.0
1513980973.393,7189838.4
1513980976.744,7189839.2
1513980980.097,7189838.4
1513980983.449,7189837.3
1513980986.800,7189837.8
1513980990.153,7189837.3
1513980993.505,7189839.2
1513980996.857,7189838.1
1513981000.210,7189839.6
1513981003.561,7189841.6
1513981006.914,7189843.4
1513981010.266,7189841.6
1513981013.617,7189840.8
1513981016.970,7189840.6
1513981020.321,7189840.1
1513981023.674,7189838.4
1513981027.026,7189841.9
1513981030.378,7189840.3
1513981033.731,7189842.4
1513981037.083,7189840.8
1513981040.434,7189842.2
1513981043.787,7189842.4
1513981047.139,7189838.8
1513981050.491,7189840.3
1513981053.843,7189835.8
1513981057.195,7189840.1
1513981060.548,7189843.8
1513981063.899,7189842.4
1513981067.251,7189841.7
1513981070.604,7189840.1
1513981073.956,7189840.8
1513981077.308,7189839.6
1513981080.660,7189839.8
1513981084.012,7189842.6
1513981087.364,7189841.9
1513981090.716,7189841.1
1513981094.068,7189841.3
1513981097.420,7189841.1
1513981100.773,7189838.1
1513981104.125,7189840.8
1513981107.476,7189839.8
1513981110.829,7189841.1
1513981114.181,7189842.9
1513981117.534,7189841.3
1513981120.885,7189841.0
1513981124.237,7189842.6
1513981127.590,7189840.1
1513981130.942,7189837.0
1513981134.293,7189840.3
1513981137.646,7189843.9
1513981140.998,7189843.2
1513981144.350,7189843.4
1513981147.702,7189841.0
1513981151.054,7189841.3
1513981154.407,7189841.6
1513981157.759,7189840.6
1513981161.111,7189841.9
1513981164.462,7189842.4
1513981167.815,7189840.1
1513981171.167,7189837.3
1513981174.519,7189836.3
1513981177.871,7189837.3
1513981181.223,7189837.5
1513981184.575,7189837.3
1513981187.928,7189839.3
1513981191.280,7189840.8
1513981194.632,7189841.3
1513981197.984,7189842.6
1513981201.336,7189841.6
1513981204.688,7189840.1
1513981208.041,7189841.7
1513981211.392,7189844.1
1513981214.745,7189845.2
1513981218.097,7189843.0
1513981221.448,7189841.3
1513981224.848,7189841.2
1513981228.153,7189842.1
1513981231.505,7189843.1
1513981234.857,7189841.9
1513981238.209,7189838.1
1513981241.561,7189838.6
1513981244.913,7189841.5
1513981248.265,7189844.5
1513981251.618,7189847.1
1513981254.969,7189851.0
1513981258.322,7189848.2
1513981261.674,7189849.2
1513981265.026,7189847.8
1513981268.378,7189846.2
1513981271.731,7189844.6
1513981275.082,7189845.2
1513981278.434,7189844.6
1513981281.787,7189844.9
1513981285.138,7189846.7
1513981288.491,7189846.2
1513981291.843,7189847.7
1513981295.196,7189846.4
1513981298.547,7189845.7
1513981301.899,7189846.9
1513981305.252,7189847.9
1513981308.603,7189847.6
1513981311.956,7189847.2
1513981315.308,7189845.2
1513981318.660,7189847.7
1513981322.012,7189848.2
1513981325.365,7189846.2
1513981328.716,7189848.4
1513981332.068,7189848.2
1513981335.421,7189847.9
1513981338.773,7189846.4
1513981342.125,7189841.9
1513981345.477,7189844.1
1513981348.829,7189846.4
1513981352.181,7189845.5
1513981355.533,7189846.2
1513981358.886,7189843.6
1513981362.237,7189842.9
1513981365.590,7189840.3
1513981368.942,7189840.2
1513981372.294,7189841.0
1513981375.646,7189842.4
1513981378.998,7189841.6
1513981382.350,7189843.1
1513981385.702,7189842.6
1513981389.055,7189841.1
1513981392.406,7189842.5
1513981395.759,7189844.9
1513981399.111,7189847.4
1513981402.463,7189843.1
1513981405.815,7189843.6
1513981409.168,7189844.6
1513981412.519,7189842.9
1513981415.872,7189843.4
1513981419.224,7189843.6
1513981422.575,7189844.4
1513981425.928,7189842.6
1513981429.280,7189843.9
1513981432.632,7189845.4
1513981435.984,7189844.6
1513981439.336,7189842.4
1513981442.689,7189841.6
1513981446.040,7189842.7
1513981449.393,7189846.7
1513981452.745,7189842.6
1513981456.096,7189846.2
1513981459.449,7189845.9
1513981462.801,7189845.4
1513981466.153,7189846.9
1513981469.505,7189849.2
1513981472.857,7189849.0
1513981476.209,7189848.7
1513981479.561,7189850.3
1513981482.914,7189850.0
1513981486.266,7189848.2
1513981489.618,7189852.5
1513981492.970,7189846.4
1513981496.323,7189837.0
1513981499.674,7189845.7
1513981503.027,7189848.7
1513981506.378,7189844.5
1513981509.731,7189843.0
1513981513.083,7189846.4
1513981516.434,7189848.4
1513981519.787,7189850.0
1513981523.139,7189850.0
1513981526.492,7189848.7
1513981529.843,7189849.3
1513981533.196,7189850.5
1513981536.548,7189848.3
1513981539.900,7189853.9
1513981543.252,7189852.8
1513981546.604,7189853.8
1513981549.956,7189853.8
1513981553.308,7189854.5
1513981556.992,7189853.4
1513981560.012,7189857.1
1513981563.364,7189854.8
1513981566.717,7189853.5
1513981570.068,7189851.1
1513981573.421,7189854.0
1513981576.773,7189855.0
1513981580.124,7189855.0
1513981583.477,7189856.1
1513981586.829,7189855.8
1513981590.181,7189854.0
1513981593.533,7189854.3
1513981596.886,7189855.3
1513981600.237,7189855.3
1513981603.589,7189855.5
1513981606.942,7189855.8
1513981610.294,7189854.3
1513981613.646,7189854.8
1513981616.998,7189853.9
1513981620.350,7189855.0
1513981623.706,7189853.3
1513981627.054,7189855.5
1513981630.407,7189853.5
1513981633.758,7189852.2
1513981637.111,7189852.6
1513981640.463,7189850.2
1513981643.815,7189851.2
1513981647.167,7189852.8
1513981650.519,7189853.3
1513981653.871,7189852.5
1513981657.223,7189852.1
1513981660.576,7189852.5
1513981663.928,7189852.0
1513981667.279,7189856.2
1513981670.632,7189855.8
1513981673.983,7189852.9
1513981677.336,7189856.1
1513981680.688,7189854.0
1513981684.040,7189849.5
1513981687.392,7189851.2
1513981690.744,7189852.0
1513981694.097,7189849.7
1513981697.448,7189849.7
1513981700.800,7189851.2
1513981704.153,7189850.7
1513981707.504,7189847.7
1513981710.857,7189848.4
1513981714.209,7189848.4
1513981717.561,7189849.7
1513981720.913,7189849.8
1513981724.266,7189854.0
1513981727.617,7189853.5
1513981730.969,7189853.8
1513981734.322,7189851.9
1513981737.673,7189851.0
1513981741.026,7189849.7
1513981744.378,7189849.7
1513981747.730,7189849.2
1513981751.082,7189846.9
1513981754.435,7189846.7
1513981757.786,7189846.4
1513981761.139,7189847.4
1513981764.490,7189846.2
1513981767.843,7189845.7
1513981771.195,7189846.7
1513981774.547,7189846.5
1513981777.899,7189848.4
1513981781.251,7189844.9
1513981784.603,7189847.6
1513981787.955,7189847.7
1513981791.307,7189847.7
1513981794.660,7189847.4
1513981798.012,7189848.3
1513981801.364,7189847.7
1513981804.716,7189848.4
1513981808.068,7189847.4
1513981811.420,7189845.9
1513981814.772,7189845.2
1513981818.125,7189848.4
1513981821.476,7189844.0
1513981824.829,7189847.7
1513981828.181,7189846.9
1513981831.533,7189846.2
1513981834.885,7189847.2
1513981838.237,7189847.2
1513981841.590,7189846.9
1513981844.941,7189847.2
1513981848.294,7189846.5
1513981851.646,7189848.7
1513981854.997,7189849.5
1513981858.350,7189848.7
1513981861.702,7189848.2
1513981865.054,7189849.5
1513981868.407,7189848.6
1513981871.758,7189847.9
1513981875.111,7189847.2
1513981878.462,7189847.2
1513981881.815,7189847.4
1513981885.167,7189846.4
1513981888.519,7189848.4
1513981891.871,7189848.2
1513981895.224,7189846.9
1513981898.575,7189847.9
1513981901.927,7189845.9
1513981905.280,7189847.7
1513981908.631,7189846.4
1513981911.984,7189846.2
1513981915.336,7189847.1
1513981918.688,7189846.0
1513981922.040,7189847.7
1513981925.393,7189848.1
1513981928.744,7189848.3
1513981932.096,7189848.4
1513981935.448,7189850.0
1513981938.801,7189848.8
1513981942.152,7189847.4
1513981945.505,7189847.9
1513981948.857,7189845.2
1513981952.209,7189842.6
1513981955.561,7189848.6
1513981958.913,7189848.7
1513981962.266,7189844.4
1513981965.617,7189848.7
1513981968.970,7189850.2
1513981972.322,7189844.9
1513981975.674,7189842.6
1513981979.026,7189842.9
1513981982.379,7189843.1
1513981985.730,7189842.1
1513981989.083,7189843.6
1513981992.435,7189842.6
1513981995.786,7189846.9
1513981999.139,7189846.7
1513982002.491,7189846.2
1513982005.843,7189849.0
1513982009.196,7189846.4
1513982012.547,7189847.9
1513982015.900,7189847.9
1513982019.252,7189846.9
1513982022.603,7189848.8
1513982025.956,7189849.0
1513982029.307,7189850.0
1513982032.660,7189851.0
1513982036.012,7189851.2
1513982039.364,7189847.2
1513982042.716,7189843.4
1513982046.068,7189846.4
1513982049.420,7189849.1
1513982052.773,7189849.2
1513982056.125,7189852.0
1513982059.476,7189853.8
1513982062.829,7189854.9
1513982066.181,7189855.4
1513982069.533,7189854.3
1513982072.885,7189854.3
1513982076.238,7189854.2
1513982079.589,7189855.0
1513982082.941,7189853.5
1513982086.294,7189853.0
1513982089.646,7189852.0
1513982092.998,7189851.9
1513982096.350,7189854.5
1513982099.702,7189854.5
1513982103.053,7189854.5
1513982106.406,7189854.0
1513982109.759,7189854.2
1513982113.110,7189853.8
1513982116.463,7189854.0
1513982119.814,7189854.9
1513982123.167,7189856.1
1513982126.518,7189858.6
1513982129.871,7189856.1
1513982133.223,7189858.2
1513982136.575,7189856.6
1513982139.927,7189857.3
1513982143.280,7189860.1
1513982146.631,7189859.6
1513982149.984,7189854.3
1513982153.336,7189852.2
1513982156.687,7189852.8
1513982160.040,7189852.2
1513982163.391,7189852.2
1513982166.744,7189855.8
1513982170.096,7189859.1
1513982173.448,7189860.1
1513982176.800,7189858.2
1513982180.153,7189856.3
1513982183.504,7189856.3
1513982186.856,7189854.4
1513982190.209,7189855.5
1513982193.560,7189856.1
1513982196.913,7189856.6
1513982200.265,7189856.6
1513982203.617,7189856.3
1513982206.969,7189855.5
1513982210.321,7189856.6
1513982213.674,7189858.6
1513982217.025,7189858.1
1513982220.378,7189855.3
1513982223.730,7189855.2
1513982227.082,7189855.3
1513982230.434,7189857.3
1513982233.786,7189857.8
1513982237.138,7189855.3
1513982240.490,7189852.0
1513982243.842,7189854.0
1513982247.194,7189854.3
1513982250.547,7189854.4
1513982253.899,7189852.0
1513982257.251,7189850.7
1513982260.603,7189851.2
1513982263.955,7189852.0
1513982267.307,7189851.0
1513982270.659,7189852.2
1513982274.011,7189851.6
1513982277.363,7189852.8
1513982280.715,7189852.1
1513982284.068,7189852.2
1513982287.419,7189852.5
1513982290.772,7189849.2
1513982294.124,7189851.6
1513982297.476,7189856.8
1513982300.828,7189853.8
1513982304.180,7189851.0
1513982307.532,7189856.8
1513982310.885,7189854.5
1513982314.236,7189852.5
1513982317.588,7189854.5
1513982320.941,7189853.8
1513982324.292,7189849.8
1513982327.645,7189848.2
1513982330.997,7189848.2
1513982334.349,7189847.9
1513982337.701,7189848.6
1513982341.053,7189850.2
1513982344.405,7189849.0
1513982347.758,7189851.7
1513982351.109,7189853.5
1513982354.462,7189853.0
1513982357.814,7189854.0
1513982361.166,7189853.3
1513982364.518,7189853.1
1513982367.870,7189854.8
1513982371.222,7189856.1
1513982374.574,7189854.5
1513982377.926,7189858.0
1513982381.279,7189857.1
1513982384.630,7189856.3
1513982387.982,7189856.1
1513982391.335,7189856.8
1513982394.687,7189861.6
1513982398.039,7189859.6
1513982401.391,7189855.3
1513982404.743,7189857.8
1513982408.095,7189856.6
1513982411.447,7189857.6
