timestamp,run1-1433x
1516702175.237,99998.602
1516702178.588,99998.584
1516702181.941,99998.595
1516702185.293,99998.582
1516702188.645,99998.600
1516702191.998,99998.584
1516702195.350,99998.615
1516702198.701,99998.597
1516702202.053,99998.597
1516702205.406,99998.595
1516702208.758,99998.615
1516702212.110,99998.610
1516702215.462,99998.628
1516702218.815,99998.584
1516702222.167,99998.605
1516702225.518,99998.582
1516702228.870,99998.607
1516702232.223,99998.605
1516702235.575,99998.605
1516702238.927,99998.617
1516702242.280,99998.628
1516702245.631,99998.607
1516702248.983,99998.617
1516702252.335,99998.605
1516702255.688,99998.605
1516702259.040,99998.610
1516702262.392,99998.605
1516702265.745,99998.595
1516702269.096,99998.597
1516702272.448,99998.615
1516702275.801,99998.620
1516702279.153,99998.620
1516702282.505,99998.638
1516702285.857,99998.625
1516702289.209,99998.620
1516702292.561,99998.610
1516702295.913,99998.628
1516702299.265,99998.635
1516702302.618,99998.623
1516702305.970,99998.635
1516702309.321,99998.635
1516702312.674,99998.643
1516702316.026,99998.625
1516702319.378,99998.642
1516702322.730,99998.650
1516702326.083,99998.640
1516702329.435,99998.607
1516702332.786,99998.607
1516702336.138,99998.633
1516702339.491,99998.620
1516702342.843,99998.640
1516702346.195,99998.638
1516702349.547,99998.633
1516702352.900,99998.607
1516702356.251,99998.607
1516702359.604,99998.633
1516702362.956,99998.625
1516702366.307,99998.628
1516702369.660,99998.635
1516702373.012,99998.628
1516702376.364,99998.633
1516702379.716,99998.610
1516702383.069,99998.612
1516702386.421,99998.625
1516702389.773,99998.620
1516702393.124,99998.638
1516702396.477,99998.640
1516702399.829,99998.625
1516702403.181,99998.640
1516702406.533,99998.635
1516702409.886,99998.625
1516702413.238,99998.630
1516702416.590,99998.643
1516702419.942,99998.612
1516702423.295,99998.623
1516702426.646,99998.600
1516702429.998,99998.630
1516702433.350,99998.643
1516702436.703,99998.638
1516702440.055,99998.635
1516702443.407,99998.607
1516702446.759,99998.607
1516702450.111,99998.610
1516702453.463,99998.612
1516702456.815,99998.628
1516702460.167,99998.648
1516702463.520,99998.628
1516702466.872,99998.615
1516702470.224,99998.610
1516702473.575,99998.610
1516702476.927,99998.633
1516702480.280,99998.630
1516702483.632,99998.620
1516702486.984,99998.648
1516702490.337,99998.635
1516702493.689,99998.610
1516702497.040,99998.633
1516702500.392,99998.638
1516702503.744,99998.615
1516702507.097,99998.615
1516702510.449,99998.621
1516702513.801,99998.630
1516702517.153,99998.628
1516702520.505,99998.630
1516702523.858,99998.653
1516702527.210,99998.620
1516702530.562,99998.623
1516702533.914,99998.623
1516702537.266,99998.643
1516702540.618,99998.625
1516702543.970,99998.640
1516702547.322,99998.635
1516702550.674,99998.630
1516702554.026,99998.643
1516702557.379,99998.635
1516702560.731,99998.620
1516702564.083,99998.640
1516702567.435,99998.625
1516702570.787,99998.610
1516702574.139,99998.630
1516702577.492,99998.628
1516702580.843,99998.610
1516702584.195,99998.638
1516702587.548,99998.635
1516702590.900,99998.628
1516702594.252,99998.602
1516702597.604,99998.595
1516702600.955,99998.610
1516702604.308,99998.630
1516702607.660,99998.625
1516702611.012,99998.635
1516702614.364,99998.630
1516702617.717,99998.623
1516702621.069,99998.612
1516702624.420,99998.592
1516702627.772,99998.612
1516702631.125,99998.625
1516702634.477,99998.617
1516702637.829,99998.625
1516702641.181,99998.623
1516702644.534,99998.628
1516702647.886,99998.612
1516702651.238,99998.620
1516702654.590,99998.623
1516702657.941,99998.633
1516702661.294,99998.625
1516702664.646,99998.633
1516702667.998,99998.620
1516702671.350,99998.623
1516702674.703,99998.612
1516702678.055,99998.617
1516702681.406,99998.645
1516702684.758,99998.645
1516702688.110,99998.650
1516702691.463,99998.633
1516702694.815,99998.625
1516702698.167,99998.638
1516702701.519,99998.640
1516702704.871,99998.640
1516702708.223,99998.630
1516702711.575,99998.623
1516702714.928,99998.623
1516702718.280,99998.630
1516702721.632,99998.628
1516702724.983,99998.633
1516702728.336,99998.623
1516702731.688,99998.643
1516702735.040,99998.648
1516702738.393,99998.635
1516702741.745,99998.638
1516702745.096,99998.633
1516702748.449,99998.625
1516702751.801,99998.612
1516702755.152,99998.628
1516702758.505,99998.653
1516702761.857,99998.656
1516702765.209,99998.643
1516702768.561,99998.653
1516702771.913,99998.617
1516702775.265,99998.643
1516702778.617,99998.656
1516702781.970,99998.635
1516702785.322,99998.620
1516702788.674,99998.653
1516702792.026,99998.623
1516702795.378,99998.638
1516702798.730,99998.648
1516702802.082,99998.633
1516702805.434,99998.648
1516702808.787,99998.643
1516702812.139,99998.648
1516702815.491,99998.625
1516702818.843,99998.633
1516702822.195,99998.628
1516702825.547,99998.640
1516702828.900,99998.661
1516702832.252,99998.640
1516702835.604,99998.656
1516702838.955,99998.650
1516702842.307,99998.640
1516702845.660,99998.643
1516702849.012,99998.638
1516702852.364,99998.645
1516702855.716,99998.633
1516702859.069,99998.658
1516702862.420,99998.666
1516702865.772,99998.638
1516702869.125,99998.638
1516702872.477,99998.653
1516702875.829,99998.635
1516702879.181,99998.638
1516702882.534,99998.643
1516702885.885,99998.643
1516702889.237,99998.640
1516702892.589,99998.638
1516702895.942,99998.645
1516702899.294,99998.650
1516702902.645,99998.643
1516702905.998,99998.645
1516702909.350,99998.638
1516702912.702,99998.630
1516702916.054,99998.648
1516702919.407,99998.656
1516702922.759,99998.650
1516702926.110,99998.658
1516702929.462,99998.661
1516702932.815,99998.673
1516702936.167,99998.656
1516702939.519,99998.658
1516702942.871,99998.638
1516702946.223,99998.650
1516702949.575,99998.661
1516702952.928,99998.656
1516702956.280,99998.638
1516702959.632,99998.640
1516702962.984,99998.635
