timestamp,ltz1000-p17
1513996719.646,7071341.5
1513996722.998,7071339.4
1513996726.350,7071342.0
1513996729.702,7071340.7
1513996733.055,7071340.7
1513996736.406,7071343.0
1513996739.759,7071340.9
1513996743.110,7071341.7
1513996746.462,7071342.2
1513996749.815,7071342.0
1513996753.166,7071342.2
1513996756.519,7071339.7
1513996759.871,7071338.9
1513996763.223,7071343.0
1513996766.575,7071344.5
1513996769.927,7071343.0
1513996773.279,7071341.2
1513996776.632,7071340.9
1513996779.983,7071343.0
1513996783.336,7071343.7
1513996786.687,7071343.5
1513996790.040,7071343.0
1513996793.392,7071343.2
1513996796.743,7071343.7
1513996800.096,7071343.7
1513996803.448,7071343.0
1513996806.800,7071343.5
1513996810.153,7071342.5
1513996813.504,7071342.7
1513996816.856,7071342.7
1513996820.208,7071342.5
1513996823.561,7071342.7
1513996826.912,7071342.5
1513996830.265,7071342.2
1513996833.616,7071340.4
1513996836.969,7071343.2
1513996840.321,7071344.8
1513996843.673,7071344.8
1513996847.025,7071343.2
1513996850.377,7071342.5
1513996853.729,7071340.4
1513996857.082,7071340.7
1513996860.433,7071339.7
1513996863.786,7071337.1
1513996867.138,7071337.1
1513996870.490,7071338.9
1513996873.842,7071336.6
1513996877.194,7071339.7
1513996880.546,7071341.2
1513996883.898,7071338.4
1513996887.268,7071340.4
1513996890.602,7071338.4
1513996893.954,7071339.4
1513996897.307,7071340.4
1513996900.658,7071338.9
1513996904.011,7071338.7
1513996907.363,7071340.4
1513996910.714,7071337.9
1513996914.067,7071335.9
1513996917.419,7071335.1
1513996920.771,7071335.4
1513996924.123,7071334.4
1513996927.476,7071337.4
1513996930.827,7071335.4
1513996934.179,7071336.9
1513996937.532,7071336.6
1513996940.884,7071338.4
1513996944.236,7071338.9
1513996947.587,7071336.6
1513996950.940,7071338.2
1513996954.292,7071337.1
1513996957.644,7071334.9
1513996960.996,7071337.1
1513996964.349,7071338.2
1513996967.700,7071336.4
1513996971.053,7071336.6
1513996974.404,7071337.1
1513996977.757,7071337.4
1513996981.109,7071337.7
1513996984.461,7071338.7
1513996987.813,7071338.2
1513996991.165,7071337.4
1513996994.517,7071338.2
1513996997.870,7071336.6
1513997001.221,7071336.6
1513997004.573,7071336.6
1513997007.926,7071334.9
1513997011.278,7071335.4
1513997014.630,7071335.1
1513997017.982,7071335.9
1513997021.334,7071333.8
1513997024.686,7071334.1
1513997028.038,7071336.4
1513997031.391,7071336.6
1513997034.742,7071337.1
