set_c,oven_c,output,ambient_c
25.000,25.007,3.10,21.694
25.000,24.995,5.85,21.705
25.000,24.996,4.57,21.694
25.000,24.996,4.69,21.683
25.000,24.996,4.69,21.716
25.000,24.997,4.47,21.694
25.000,24.996,4.82,21.694
25.000,24.999,4.25,21.716
25.000,25.007,3.12,21.673
25.000,24.997,5.41,21.716
25.000,25.007,3.00,21.705
25.000,24.995,5.86,21.694
25.000,24.997,4.35,21.662
25.000,24.996,4.82,21.694
25.000,25.003,3.57,21.705
25.000,25.003,4.15,21.683
25.000,25.001,4.38,21.683
25.000,24.997,4.94,21.694
25.000,24.999,4.36,21.694
25.000,24.992,5.62,21.716
25.000,25.003,3.22,21.694
25.000,25.001,4.38,21.683
25.000,24.993,5.63,21.694
25.000,25.011,1.97,21.694
25.000,24.999,5.54,21.694
25.000,25.000,4.25,21.694
25.000,25.003,3.92,21.673
25.000,24.995,5.52,21.694
25.000,25.000,3.91,21.694
25.000,24.996,5.06,21.694
25.000,25.003,3.57,21.705
25.000,24.999,4.84,21.716
25.000,25.003,3.80,21.694
25.000,24.999,4.84,21.716
25.000,25.001,4.03,21.683
25.000,24.993,5.63,21.673
25.000,25.000,3.79,21.694
25.000,24.988,6.43,21.694
25.000,24.992,4.70,21.683
25.000,24.999,3.92,21.694
25.000,24.993,5.42,21.683
25.000,24.997,4.27,21.694
25.000,24.997,4.63,21.694
25.000,24.995,5.09,21.683
25.000,25.001,3.72,21.705
25.000,25.001,4.30,21.683
25.000,25.001,4.30,21.683
25.000,25.010,2.93,21.694
25.000,25.010,3.63,21.705
25.000,24.999,5.44,21.694
25.000,25.004,3.59,21.726
25.000,25.004,4.06,21.705
25.000,25.003,4.28,21.705
25.000,24.997,5.08,21.694
25.000,25.007,3.01,21.683
25.000,24.995,5.88,21.694
25.000,25.003,3.46,21.694
25.000,25.001,4.39,21.694
25.000,25.000,4.50,21.694
25.000,25.000,4.38,21.705
25.000,24.997,4.84,21.683
25.000,24.996,4.83,21.694
25.000,25.003,3.58,21.705
25.000,24.993,5.76,21.705
25.000,25.003,3.35,21.683
25.000,25.003,4.17,21.694
