set_c,c,output
25.000, 24.996, 5.07
25.000, 24.997, 4.50
25.000, 25.004, 3.48
25.000, 25.003, 4.29
25.000, 24.997, 5.08
25.000, 25.011, 2.33
26.000, 24.997, 86.40
26.000, 24.997, 86.09
26.000, 25.005, 85.58
26.000, 25.025, 83.94
26.000, 25.077, 77.76
26.000, 25.138, 72.76
26.000, 25.223, 64.65
26.000, 25.309, 58.23
26.000, 25.409, 49.58
26.000, 25.502, 43.15
26.000, 25.594, 36.29
26.000, 25.698, 27.18
26.000, 25.775, 23.59
26.000, 25.854, 17.36
26.000, 25.920, 13.23
26.000, 25.980, 8.91
26.000, 26.034, 5.20
26.000, 26.082, 1.77
26.000, 26.114, 0.56
26.000, 26.141, 0.00
26.000, 26.143, 0.60
26.000, 26.151, 0.00
26.000, 26.152, 0.00
26.000, 26.150, 0.02
26.000, 26.133, 2.39
26.000, 26.121, 2.92
26.000, 26.106, 4.27
26.000, 26.082, 6.76
26.000, 26.071, 6.52
26.000, 26.050, 8.94
26.000, 26.031, 10.33
26.000, 26.015, 11.39
26.000, 25.997, 12.94
26.000, 25.990, 12.55
26.000, 25.973, 14.71
26.000, 25.966, 14.46
26.000, 25.955, 15.73
26.000, 25.949, 15.97
26.000, 25.950, 15.20
26.000, 25.946, 16.04
26.000, 25.947, 15.51
26.000, 25.947, 15.67
26.000, 25.950, 15.26
26.000, 25.960, 13.94
26.000, 25.969, 13.20
26.000, 25.973, 13.37
26.000, 25.975, 13.51
26.000, 25.980, 12.74
26.000, 25.990, 11.63
26.000, 25.990, 12.46
26.000, 25.998, 11.10
26.000, 26.008, 10.21
26.000, 26.000, 12.39
26.000, 26.009, 10.10
26.000, 26.013, 10.23
26.000, 26.012, 10.79
26.000, 26.011, 10.89
26.000, 26.017, 9.63
26.000, 26.019, 9.97
26.000, 26.016, 10.53
26.000, 26.020, 9.60
26.000, 26.012, 11.30
26.000, 26.016, 9.90
26.000, 26.013, 10.70
26.000, 26.015, 10.22
26.000, 26.015, 10.33
26.000, 26.008, 11.45
26.000, 26.006, 11.09
26.000, 26.006, 10.97
26.000, 26.011, 10.28
26.000, 26.004, 11.76
26.000, 26.012, 9.80
26.000, 26.011, 10.72
26.000, 26.006, 11.28
26.000, 26.009, 10.47
26.000, 26.012, 10.24
26.000, 26.012, 10.46
26.000, 26.013, 10.23
26.000, 26.015, 10.10
26.000, 26.016, 9.98
26.000, 26.024, 8.72
26.000, 26.019, 10.31
26.000, 26.017, 10.05
26.000, 26.024, 8.78
26.000, 26.023, 9.58
26.000, 26.023, 9.44
26.000, 26.017, 10.33
26.000, 26.027, 8.25
26.000, 26.022, 9.96
26.000, 26.020, 9.70
26.000, 26.016, 10.25
26.000, 26.027, 8.06
26.000, 26.023, 9.66
26.000, 26.022, 9.52
26.000, 26.027, 8.47
26.000, 26.019, 10.28
26.000, 26.026, 8.43
26.000, 26.013, 11.04
26.000, 26.013, 9.97
26.000, 26.028, 7.46
26.000, 26.023, 9.63
26.000, 26.022, 9.37
26.000, 26.031, 7.64
26.000, 26.027, 9.12
26.000, 26.022, 9.66
26.000, 26.023, 8.94
26.000, 26.031, 7.67
26.000, 26.022, 9.94
26.000, 26.019, 9.56
26.000, 26.030, 7.49
26.000, 26.023, 9.54
26.000, 26.020, 9.39
26.000, 26.022, 8.91
26.000, 26.031, 7.41
26.000, 26.024, 9.35
26.000, 26.022, 9.20
26.000, 26.023, 8.72
26.000, 26.023, 8.81
26.000, 26.030, 7.66
26.000, 26.024, 9.13
26.000, 26.019, 9.55
26.000, 26.020, 8.84
26.000, 26.023, 8.48
26.000, 26.026, 8.24
26.000, 26.024, 8.68
26.000, 26.026, 8.31
26.000, 26.024, 8.64
26.000, 26.023, 8.73
26.000, 26.027, 7.91
26.000, 26.027, 8.24
26.000, 26.027, 8.21
26.000, 26.033, 7.28
26.000, 26.027, 8.63
26.000, 26.034, 7.00
26.000, 26.028, 8.47
26.000, 26.030, 7.75
26.000, 26.023, 8.98
26.000, 26.037, 6.10
26.000, 26.017, 10.42
26.000, 26.031, 6.49
26.000, 26.023, 9.00
26.000, 26.034, 6.46
26.000, 26.026, 8.73
26.000, 26.022, 8.69
26.000, 26.033, 6.50
26.000, 26.026, 8.55
26.000, 26.023, 8.40
26.000, 26.039, 5.41
26.000, 26.026, 9.06
26.000, 26.028, 7.41
26.000, 26.030, 7.39
26.000, 26.039, 5.89
26.000, 26.033, 7.82
26.000, 26.028, 7.89
26.000, 26.024, 8.19
26.000, 26.033, 6.45
26.000, 26.027, 8.04
26.000, 26.026, 7.78
26.000, 26.023, 8.09
26.000, 26.020, 8.29
26.000, 26.027, 6.90
26.000, 26.026, 7.70
26.000, 26.019, 8.69
26.000, 26.035, 5.36
26.000, 26.022, 9.01
26.000, 26.024, 7.37
26.000, 26.024, 7.58
26.000, 26.034, 5.97
26.000, 26.020, 9.04
26.000, 26.024, 7.16
26.000, 26.028, 6.81
26.000, 26.030, 6.91
26.000, 26.027, 7.46
26.000, 26.030, 6.74
26.000, 26.033, 6.50
26.000, 26.022, 8.53
26.000, 26.024, 7.12
26.000, 26.023, 7.56
26.000, 26.026, 6.96
26.000, 26.026, 7.18
26.000, 26.024, 7.38
26.000, 26.030, 6.33
26.000, 26.023, 7.92
26.000, 26.027, 6.63
26.000, 26.017, 8.55
26.000, 26.023, 6.80
26.000, 26.027, 6.57
26.000, 26.028, 6.67
26.000, 26.024, 7.45
26.000, 26.026, 6.85
26.000, 26.023, 7.40
26.000, 26.017, 8.06
26.000, 26.027, 5.98
26.000, 26.027, 6.78
26.000, 26.028, 6.52
26.000, 26.024, 7.30
26.000, 26.019, 7.84
26.000, 26.024, 6.44
26.000, 26.020, 7.57
26.000, 26.020, 7.21
26.000, 26.027, 6.05
26.000, 26.024, 7.07
26.000, 26.031, 5.67
26.000, 26.020, 8.06
26.000, 26.023, 6.65
26.000, 26.024, 6.63
26.000, 26.020, 7.41
26.000, 26.027, 5.91
26.000, 26.022, 7.38
26.000, 26.030, 5.53
26.000, 26.027, 6.66
26.000, 26.028, 6.17
26.000, 26.016, 8.32
26.000, 26.017, 7.02
26.000, 26.027, 5.53
26.000, 26.022, 7.24
26.000, 26.027, 5.84
26.000, 26.024, 6.74
26.000, 26.027, 6.03
26.000, 26.022, 7.15
26.000, 26.023, 6.44
26.000, 26.023, 6.53
26.000, 26.026, 6.06
26.000, 26.019, 7.41
26.000, 26.020, 6.58
26.000, 26.023, 6.23
26.000, 26.015, 7.81
26.000, 26.017, 6.64
26.000, 26.016, 7.08
26.000, 26.023, 5.81
26.000, 26.020, 6.84
26.000, 26.026, 5.67
26.000, 26.023, 6.58
26.000, 26.023, 6.32
26.000, 26.026, 5.85
26.000, 26.027, 5.83
26.000, 26.019, 7.29
26.000, 26.023, 5.89
26.000, 26.019, 6.90
26.000, 26.024, 5.63
26.000, 26.024, 6.07
26.000, 26.015, 7.65
26.000, 26.022, 5.68
26.000, 26.020, 6.47
26.000, 26.012, 7.70
26.000, 26.020, 5.62
26.000, 26.009, 8.13
26.000, 26.012, 6.73
26.000, 26.013, 6.73
26.000, 26.013, 6.83
26.000, 26.020, 5.68
26.000, 26.011, 7.85
26.000, 26.017, 5.88
26.000, 26.019, 6.22
26.000, 26.019, 6.32
26.000, 26.016, 6.76
26.000, 26.017, 6.29
26.000, 26.024, 5.25
26.000, 26.009, 8.32
26.000, 26.012, 6.57
26.000, 26.013, 6.56
26.000, 26.011, 7.13
26.000, 26.013, 6.43
26.000, 26.024, 4.83
26.000, 26.016, 7.11
26.000, 26.026, 4.80
26.000, 26.015, 7.42
26.000, 26.016, 6.24
26.000, 26.013, 6.80
26.000, 26.019, 5.65
26.000, 26.024, 5.19
26.000, 26.019, 6.55
26.000, 26.017, 6.29
26.000, 26.022, 5.47
26.000, 26.023, 5.58
26.000, 26.023, 5.68
26.000, 26.023, 5.66
