volts,ppm,temp_c
0.99981796,-0.41,25.001
0.99981796,-0.41,24.993
0.99981796,-0.41,25.005
0.99981806,-0.31,25.005
0.99981806,-0.31,25.003
0.99981806,-0.31,25.003
0.99981806,-0.31,25.004
0.99981806,-0.31,24.997
0.99981806,-0.31,25.001
0.99981806,-0.31,25.003
0.99981806,-0.31,25.007
0.99981806,-0.31,24.997
0.99981806,-0.31,25.001
0.99981806,-0.31,24.995
0.99981806,-0.31,24.999
0.99981806,-0.31,24.996
0.99981806,-0.31,24.999
0.99981831,-0.06,24.992
0.99981831,-0.06,25.001
0.99981831,-0.06,24.996
0.99981831,-0.06,25.003
0.99981831,-0.06,24.999
0.99981831,-0.06,25.0
0.99981831,-0.06,24.996
0.99981831,-0.06,24.997
0.99981831,-0.06,25.004
0.99981831,-0.06,25.003
0.99981831,-0.06,24.997
0.99981831,-0.06,25.011
0.99981831,-0.06,24.997
0.99981839,0.02,24.997
0.99981839,0.02,25.005
0.99981839,0.02,25.025
0.99981839,0.02,25.077
0.99981839,0.02,25.138
0.99981839,0.02,25.223
0.99981839,0.02,25.309
0.99981839,0.02,25.409
0.99981839,0.02,25.502
0.99981839,0.02,25.594
0.99981839,0.02,25.698
0.99981839,0.02,25.775
0.99981839,0.02,25.854
0.99981831,-0.06,25.92
0.99981831,-0.06,25.98
0.99981831,-0.06,26.034
0.99981831,-0.06,26.082
0.99981831,-0.06,26.114
0.99981831,-0.06,26.141
0.99981831,-0.06,26.143
0.99981831,-0.06,26.151
0.99981831,-0.06,26.152
0.99981831,-0.06,26.15
0.99981831,-0.06,26.133
0.99981831,-0.06,26.121
0.99981831,-0.06,26.106
0.99981831,-0.06,26.082
0.99981846,0.09,26.071
0.99981846,0.09,26.05
0.99981846,0.09,26.031
0.99981846,0.09,26.015
0.99981846,0.09,25.997
0.99981846,0.09,25.99
0.99981846,0.09,25.973
0.99981846,0.09,25.966
0.99981846,0.09,25.955
0.99981846,0.09,25.949
0.99981846,0.09,25.95
0.99981846,0.09,25.946
0.99981846,0.09,25.947
0.99981839,0.02,25.947
0.99981839,0.02,25.95
0.99981839,0.02,25.96
0.99981839,0.02,25.969
0.99981839,0.02,25.973
0.99981839,0.02,25.975
0.99981839,0.02,25.98
0.99981839,0.02,25.99
0.99981839,0.02,25.99
0.99981839,0.02,25.998
0.99981839,0.02,26.008
0.99981839,0.02,26.0
0.99981839,0.02,26.009
0.99981839,0.02,26.013
0.99981831,-0.06,26.012
0.99981831,-0.06,26.011
