resistance,ppm,temp_c
19970.184,2.84,24.997
19970.184,2.84,24.99
19970.184,2.84,24.993
19970.184,2.84,24.99
19970.184,2.84,24.996
19970.184,2.84,24.999
19970.184,2.84,25.022
19970.179,2.59,25.008
19970.179,2.59,25.025
19970.179,2.59,25.003
19970.179,2.59,24.985
19970.179,2.59,25.008
19970.179,2.59,25.001
19970.179,2.59,24.966
19970.179,2.59,25.005
19970.179,2.59,24.999
19970.179,2.59,24.982
19970.179,2.59,24.981
19970.179,2.59,25.015
19970.179,2.59,24.992
19970.179,2.59,24.996
19970.165,1.89,25.004
19970.165,1.89,24.997
19970.165,1.89,25.003
19970.165,1.89,24.995
19970.165,1.89,25.007
19970.165,1.89,25.01
19970.165,1.89,25.001
19970.165,1.89,24.993
19970.165,1.89,24.997
19970.165,1.89,25.038
19970.165,1.89,25.003
19970.165,1.89,25.008
19970.165,1.89,24.996
19970.149,1.09,24.999
19970.149,1.09,25.038
19970.149,1.09,25.003
19970.149,1.09,24.988
19970.149,1.09,24.999
19970.149,1.09,25.005
19970.149,1.09,24.99
19970.149,1.09,25.034
19970.149,1.09,24.988
19970.149,1.09,24.985
19970.149,1.09,24.997
19970.149,1.09,24.99
19970.149,1.09,24.995
19970.15,1.14,25.01
19970.15,1.14,25.011
19970.15,1.14,24.997
19970.15,1.14,24.992
19970.15,1.14,24.986
19970.15,1.14,24.99
19970.15,1.14,24.995
19970.15,1.14,25.018
19970.15,1.14,25.01
19970.15,1.14,24.967
19970.15,1.14,25.01
19970.15,1.14,24.996
19970.15,1.14,24.99
19970.15,1.14,25.0
19970.138,0.54,24.995
19970.138,0.54,25.004
19970.138,0.54,24.982
19970.138,0.54,25.0
19970.138,0.54,25.01
19970.138,0.54,25.003
19970.138,0.54,24.977
19970.138,0.54,25.005
19970.138,0.54,24.997
19970.138,0.54,24.997
19970.138,0.54,25.012
19970.138,0.54,25.003
19970.138,0.54,25.005
19970.143,0.79,24.993
19970.143,0.79,25.03
19970.143,0.79,25.003
19970.143,0.79,25.019
19970.143,0.79,24.997
19970.143,0.79,24.982
19970.143,0.79,25.011
19970.143,0.79,24.995
19970.143,0.79,25.041
19970.143,0.79,25.003
19970.143,0.79,24.981
19970.143,0.79,24.993
19970.143,0.79,24.996
19970.143,0.79,24.981
19970.138,0.54,25.001
19970.138,0.54,25.005
19970.138,0.54,25.001
19970.138,0.54,24.974
19970.138,0.54,25.019
19970.138,0.54,24.99
19970.138,0.54,24.988
19970.138,0.54,24.997
19970.138,0.54,24.981
19970.138,0.54,24.997
19970.138,0.54,25.007
19970.138,0.54,24.997
19970.138,0.54,24.995
19970.132,0.24,25.005
19970.132,0.24,24.999
19970.132,0.24,25.007
19970.132,0.24,25.0
19970.132,0.24,25.0
19970.132,0.24,24.996
19970.132,0.24,25.005
19970.132,0.24,25.003
19970.132,0.24,24.999
19970.132,0.24,25.031
19970.132,0.24,25.025
19970.132,0.24,24.995
19970.132,0.24,25.001
19970.138,0.54,25.0
19970.138,0.54,25.034
19970.138,0.54,25.005
19970.138,0.54,25.011
19970.138,0.54,25.004
19970.138,0.54,24.989
19970.138,0.54,25.019
19970.138,0.54,24.984
19970.138,0.54,24.989
19970.138,0.54,24.975
19970.138,0.54,24.989
19970.138,0.54,24.977
19970.138,0.54,24.993
19970.138,0.54,24.992
19970.154,1.34,24.985
19970.154,1.34,25.027
19970.154,1.34,24.997
19970.154,1.34,25.005
19970.154,1.34,24.993
19970.154,1.34,24.971
19970.154,1.34,25.007
19970.154,1.34,25.001
19970.154,1.34,25.021
19970.154,1.34,25.004
19970.154,1.34,24.982
19970.154,1.34,25.001
19970.154,1.34,25.01
19970.114,-0.66,25.001
19970.114,-0.66,25.0
19970.114,-0.66,25.005
19970.114,-0.66,24.984
19970.114,-0.66,25.005
19970.114,-0.66,24.992
19970.114,-0.66,25.03
19970.114,-0.66,25.003
19970.114,-0.66,24.982
19970.114,-0.66,24.996
19970.114,-0.66,25.004
19970.114,-0.66,24.997
