si7021_c,setpoint,adc,pwm
28.526,900,720.169,255.00
28.537,900,720.361,255.00
28.547,900,720.661,255.00
28.558,900,720.914,255.00
28.558,900,721.187,255.00
28.569,900,721.628,255.00
28.558,900,721.984,255.00
28.547,900,722.267,255.00
28.569,900,722.307,255.00
28.580,900,722.465,255.00
28.580,900,723.298,255.00
28.569,900,723.562,255.00
28.569,900,723.891,255.00
28.580,900,724.515,255.00
28.590,900,724.641,255.00
28.590,900,725.072,255.00
28.590,900,725.296,255.00
28.601,900,725.528,255.00
28.612,900,726.002,255.00
28.612,900,726.519,255.00
28.601,900,726.762,255.00
28.601,900,727.037,255.00
28.623,900,727.342,255.00
28.623,900,727.861,255.00
28.633,900,728.047,255.00
28.644,900,728.425,255.00
28.633,900,728.686,255.00
28.623,900,728.837,255.00
28.665,900,729.338,255.00
28.665,900,729.489,255.00
28.644,900,729.849,255.00
28.633,900,730.161,255.00
28.655,900,730.125,255.00
28.665,900,730.482,255.00
28.665,900,730.842,255.00
28.644,900,731.282,255.00
28.665,900,731.571,255.00
28.676,900,731.702,255.00
28.687,900,732.108,255.00
28.698,900,732.469,255.00
28.676,900,732.644,255.00
28.687,900,732.906,255.00
28.698,900,733.302,255.00
28.687,900,733.403,255.00
28.665,900,734.098,255.00
28.698,900,734.201,255.00
28.687,900,734.701,255.00
28.708,900,734.516,255.00
28.708,900,734.835,255.00
28.708,900,735.296,255.00
28.730,900,735.302,255.00
28.719,900,735.668,255.00
28.719,900,735.967,255.00
28.740,900,736.582,255.00
28.719,900,736.642,255.00
28.730,900,736.819,255.00
28.719,900,737.157,255.00
28.719,900,737.447,255.00
28.730,900,737.428,255.00
28.740,900,737.481,255.00
28.740,900,737.798,255.00
28.751,900,737.818,255.00
28.751,900,738.337,255.00
28.773,900,738.385,255.00
28.730,900,738.611,255.00
28.762,900,738.876,255.00
28.773,900,739.291,255.00
28.762,900,739.654,255.00
28.762,900,739.858,255.00
28.751,900,739.990,255.00
28.783,900,740.387,255.00
28.762,900,740.502,255.00
28.773,900,740.586,255.00
28.762,900,740.869,255.00
28.773,900,741.216,255.00
28.783,900,741.277,255.00
28.794,900,741.496,255.00
28.794,900,741.682,255.00
28.794,900,741.800,255.00
28.794,900,742.052,255.00
28.794,900,742.346,255.00
28.805,900,742.615,255.00
28.794,900,742.928,255.00
28.805,900,743.036,255.00
28.805,900,743.173,255.00
28.816,900,743.415,255.00
28.816,900,743.646,255.00
28.816,900,743.658,255.00
28.826,900,743.796,255.00
28.816,900,744.215,255.00
28.816,900,744.386,255.00
28.816,900,744.568,255.00
28.805,900,744.755,255.00
28.805,900,744.945,255.00
28.826,900,745.070,255.00
28.837,900,745.069,255.00
28.837,900,745.319,255.00
28.837,900,745.482,255.00
28.837,900,745.906,255.00
28.848,900,746.053,255.00
28.826,900,746.506,255.00
28.858,900,746.672,255.00
28.848,900,746.765,255.00
28.848,900,747.234,255.00
28.837,900,747.175,255.00
28.858,900,747.170,255.00
28.848,900,747.676,255.00
28.858,900,747.637,255.00
28.858,900,748.123,255.00
28.858,900,748.206,255.00
28.848,900,748.423,255.00
28.858,900,748.559,255.00
28.869,900,748.851,255.00
28.869,900,748.818,255.00
28.858,900,749.328,255.00
28.869,900,749.311,255.00
28.869,900,749.733,255.00
28.869,900,749.706,255.00
28.891,900,749.912,255.00
28.880,900,749.987,255.00
28.891,900,750.128,255.00
28.869,900,750.188,255.00
28.891,900,750.499,255.00
28.891,900,750.714,255.00
28.880,900,750.990,255.00
28.891,900,750.700,255.00
28.901,900,751.398,255.00
28.901,900,751.492,255.00
28.891,900,751.325,255.00
28.901,900,751.544,255.00
28.912,900,751.615,255.00
28.891,900,751.845,255.00
28.901,900,751.845,255.00
28.901,900,751.961,255.00
28.901,900,752.495,255.00
28.923,900,752.483,255.00
28.901,900,752.757,255.00
28.912,900,752.844,255.00
28.912,900,753.055,255.00
28.934,900,753.185,255.00
28.912,900,753.100,255.00
28.923,900,753.403,255.00
28.912,900,753.389,255.00
28.912,900,753.951,255.00
28.912,900,753.882,255.00
28.934,900,753.791,255.00
28.944,900,753.889,255.00
28.912,900,754.088,255.00
28.955,900,754.322,255.00
28.923,900,754.532,255.00
28.944,900,754.494,255.00
28.944,900,754.837,255.00
28.944,900,755.027,255.00
28.966,900,755.222,255.00
28.955,900,755.102,255.00
28.944,900,755.309,255.00
28.955,900,755.547,255.00
28.944,900,755.833,255.00
28.976,900,755.954,255.00
28.966,900,756.095,255.00
28.955,900,756.203,255.00
28.976,900,756.522,255.00
28.934,900,756.553,255.00
28.966,900,756.686,255.00
28.955,900,757.059,255.00
28.955,900,757.140,255.00
28.966,900,757.006,255.00
28.955,900,757.393,255.00
28.966,900,757.365,255.00
28.987,900,757.556,255.00
28.966,900,757.405,255.00
28.966,900,758.050,255.00
28.976,900,758.206,255.00
28.987,900,758.119,255.00
28.966,900,758.358,255.00
28.987,900,758.446,255.00
28.987,900,758.423,255.00
28.987,900,758.617,255.00
28.987,900,758.809,255.00
28.987,900,758.989,255.00
28.987,900,759.122,255.00
28.987,900,758.948,255.00
28.987,900,759.213,255.00
28.987,900,759.085,255.00
28.998,900,759.551,255.00
28.998,900,759.573,255.00
28.987,900,759.869,255.00
28.987,900,759.905,255.00
29.009,900,760.002,255.00
28.998,900,760.289,255.00
28.987,900,760.276,255.00
28.987,900,760.335,255.00
29.019,900,760.789,255.00
29.009,900,760.648,255.00
