timestamp,LM399-P15-fast6-no-R7
1500849256.642,6890026.3
1500849256.980,6890023.7
1500849257.317,6890026.3
1500849257.655,6890023.7
1500849257.992,6890026.3
1500849258.330,6890021.2
1500849258.668,6890021.2
1500849259.006,6890023.7
1500849259.343,6890023.7
1500849259.681,6890023.7
1500849260.019,6890026.3
1500849260.356,6890026.3
1500849260.694,6890026.3
1500849261.032,6890021.2
1500849261.369,6890023.7
1500849261.707,6890023.7
1500849262.045,6890026.3
1500849262.382,6890023.7
1500849262.720,6890028.8
1500849263.057,6890026.3
1500849263.395,6890026.3
1500849263.733,6890028.8
1500849264.071,6890028.8
1500849264.408,6890023.7
1500849264.746,6890026.3
1500849265.084,6890026.3
1500849265.421,6890026.3
1500849265.759,6890028.8
1500849266.097,6890023.7
1500849266.434,6890028.8
1500849266.772,6890028.8
1500849267.109,6890023.7
1500849267.447,6890026.3
1500849267.785,6890026.3
1500849268.122,6890023.7
1500849268.460,6890028.8
1500849268.798,6890021.2
1500849269.136,6890026.3
1500849269.473,6890031.3
1500849269.811,6890028.8
1500849270.148,6890028.8
1500849270.486,6890026.3
1500849270.824,6890023.7
1500849271.162,6890021.2
1500849271.499,6890028.8
1500849271.837,6890023.7
1500849272.174,6890026.3
1500849272.512,6890026.3
1500849272.850,6890028.8
1500849273.188,6890031.3
1500849273.525,6890026.3
1500849273.863,6890028.8
1500849274.200,6890028.8
1500849274.538,6890028.8
1500849274.876,6890026.3
1500849275.213,6890026.3
1500849275.551,6890026.3
1500849275.889,6890023.7
1500849276.226,6890026.3
1500849276.564,6890028.8
1500849276.902,6890026.3
1500849277.239,6890023.7
1500849277.577,6890026.3
1500849277.915,6890026.3
1500849278.252,6890028.8
1500849278.590,6890023.7
1500849278.928,6890021.2
1500849279.265,6890021.2
1500849279.603,6890023.7
1500849279.941,6890023.7
1500849280.279,6890026.3
1500849280.616,6890023.7
1500849280.953,6890023.7
1500849281.291,6890021.2
1500849281.629,6890023.7
1500849281.966,6890018.7
1500849282.304,6890018.7
1500849282.642,6890021.2
1500849282.980,6890018.7
1500849283.317,6890023.7
1500849283.655,6890021.2
1500849283.993,6890023.7
1500849284.330,6890023.7
1500849284.668,6890018.7
1500849285.006,6890023.7
1500849285.343,6890026.3
1500849285.681,6890023.7
1500849286.018,6890023.7
1500849286.356,6890021.2
