timestamp,svrt-no-tape
1512956405.300,10000169.0
1512956408.652,10000159.0
1512956412.004,10000139.0
1512956415.357,10000119.0
1512956418.709,10000200.0
1512956422.061,10000182.0
1512956425.412,10000149.0
1512956428.765,10000192.0
1512956432.117,10000137.0
1512956435.469,10000176.0
1512956438.821,10000190.0
1512956442.173,10000155.0
1512956445.525,10000140.0
1512956448.877,10000174.0
1512956452.229,10000158.0
1512956455.582,10000194.0
1512956458.934,10000175.0
1512956462.285,10000215.0
1512956465.637,10000206.0
1512956468.990,10000230.0
1512956472.342,10000173.0
1512956475.712,10000167.0
1512956479.046,10000210.0
1512956482.398,10000219.0
1512956485.751,10000216.0
1512956489.102,10000201.0
1512956492.454,10000204.0
1512956495.806,10000199.0
1512956499.159,10000198.0
1512956502.511,10000192.0
1512956505.862,10000196.0
1512956509.214,10000197.0
1512956512.567,10000198.0
1512956515.919,10000194.0
1512956519.271,10000195.0
1512956522.623,10000184.0
1512956525.975,10000169.0
1512956529.327,10000163.0
1512956532.679,10000190.0
1512956536.032,10000156.0
1512956539.384,10000176.0
1512956542.736,10000197.0
1512956546.087,10000196.0
1512956549.440,10000204.0
1512956552.792,10000202.0
1512956556.144,10000202.0
1512956559.496,10000198.0
1512956562.848,10000198.0
1512956566.200,10000204.0
1512956569.552,10000203.0
1512956572.904,10000152.0
1512956576.257,10000204.0
1512956579.609,10000199.0
1512956582.960,10000130.0
1512956586.312,10000179.0
1512956589.665,10000176.0
1512956593.017,10000133.0
1512956596.370,10000134.0
1512956599.721,10000167.0
1512956603.073,10000081.0
1512956606.425,10000117.0
1512956609.777,10000110.0
1512956613.129,10000051.0
1512956616.481,10000101.0
1512956619.833,10000153.0
1512956623.186,10000141.0
1512956626.538,10000121.0
1512956629.889,10000121.0
1512956633.241,10000118.0
1512956636.594,10000145.0
1512956639.946,10000137.0
1512956643.298,10000136.0
1512956646.650,10000200.0
1512956650.002,10000194.0
1512956653.354,10000191.0
1512956656.706,10000192.0
1512956660.059,10000195.0
1512956663.410,10000204.0
1512956666.762,10000206.0
1512956670.115,10000210.0
1512956673.467,10000204.0
1512956676.819,10000200.0
1512956680.170,10000188.0
1512956683.523,10000144.0
1512956686.875,10000138.0
1512956690.227,10000133.0
1512956693.579,10000135.0
1512956696.931,10000209.0
1512956700.283,10000208.0
1512956703.635,10000214.0
1512956706.987,10000215.0
1512956710.340,10000190.0
1512956713.692,10000149.0
1512956717.043,10000149.0
1512956720.396,10000146.0
1512956723.747,10000174.0
1512956727.100,10000164.0
1512956730.452,10000158.0
1512956733.804,10000191.0
1512956737.156,10000160.0
1512956740.509,10000126.0
1512956743.860,10000107.0
1512956747.212,10000137.0
1512956750.564,10000129.0
1512956753.917,10000139.0
1512956757.269,10000129.0
1512956760.620,10000152.0
1512956763.972,10000106.0
1512956767.325,10000106.0
1512956770.677,10000148.0
1512956774.029,10000163.0
1512956777.381,10000112.0
1512956780.734,10000091.0
1512956784.085,10000121.0
1512956787.437,10000162.0
1512956790.789,10000106.0
1512956794.142,10000137.0
1512956797.494,10000151.0
1512956800.845,10000204.0
1512956804.197,10000224.0
1512956807.550,10000220.0
1512956810.902,10000206.0
1512956814.254,10000210.0
1512956817.606,10000193.0
1512956820.958,10000161.0
1512956824.310,10000206.0
1512956827.662,10000129.0
1512956831.014,10000132.0
1512956834.367,10000107.0
1512956837.718,10000068.0
1512956841.071,10000094.0
1512956844.423,10000153.0
1512956847.774,10000115.0
1512956851.126,10000088.0
1512956854.479,10000186.0
1512956857.831,10000163.0
1512956861.183,10000124.0
1512956864.535,10000150.0
1512956867.887,10000142.0
1512956871.239,10000160.0
1512956874.591,10000170.0
1512956877.944,10000207.0
1512956881.296,10000185.0
1512956884.648,10000146.0
1512956887.999,10000113.0
1512956891.351,10000114.0
1512956894.704,10000176.0
1512956898.056,10000189.0
1512956901.408,10000195.0
1512956904.760,10000151.0
1512956908.112,10000103.0
1512956911.464,10000158.0
1512956914.816,10000080.0
1512956918.168,10000106.0
1512956921.521,10000122.0
1512956924.873,10000146.0
1512956928.224,10000135.0
1512956931.577,10000122.0
1512956934.929,10000147.0
1512956938.281,10000135.0
1512956941.633,10000125.0
1512956944.985,10000119.0
1512956948.337,10000139.0
1512956951.689,10000178.0
1512956955.041,10000169.0
1512956958.394,10000166.0
1512956961.745,10000161.0
1512956965.098,10000173.0
1512956968.450,10000184.0
1512956971.802,10000181.0
1512956975.153,10000158.0
1512956978.506,10000167.0
1512956981.858,10000189.0
1512956985.210,10000201.0
1512956988.563,10000192.0
1512956991.914,10000155.0
1512956995.266,10000188.0
1512956998.618,10000182.0
1512957001.971,10000203.0
1512957005.323,10000157.0
1512957008.675,10000153.0
1512957012.026,10000147.0
1512957015.379,10000148.0
1512957018.731,10000171.0
1512957022.083,10000186.0
1512957025.436,10000174.0
1512957028.787,10000217.0
1512957032.139,10000184.0
1512957035.491,10000167.0
1512957038.843,10000169.0
1512957042.196,10000180.0
1512957045.548,10000156.0
1512957048.899,10000163.0
1512957052.251,10000182.0
1512957055.604,10000151.0
1512957058.956,10000147.0
1512957062.308,10000150.0
1512957065.660,10000209.0
1512957069.012,10000215.0
1512957072.364,10000223.0
1512957075.716,10000220.0
1512957079.069,10000214.0
1512957082.420,10000214.0
1512957085.772,10000215.0
1512957089.125,10000213.0
1512957092.477,10000192.0
1512957095.829,10000193.0
1512957099.180,10000196.0
1512957102.533,10000200.0
1512957105.885,10000191.0
1512957109.237,10000185.0
1512957112.589,10000176.0
1512957115.941,10000162.0
1512957119.293,10000178.0
1512957122.645,10000170.0
1512957125.998,10000168.0
1512957129.350,10000194.0
1512957132.702,10000194.0
1512957136.053,10000200.0
1512957139.406,10000192.0
1512957142.758,10000181.0
1512957146.110,10000137.0
1512957149.462,10000150.0
1512957152.814,10000144.0
1512957156.166,10000144.0
1512957159.518,10000141.0
1512957162.870,10000160.0
1512957166.222,10000201.0
1512957169.575,10000184.0
1512957172.927,10000191.0
1512957176.278,10000215.0
1512957179.630,10000194.0
1512957182.983,10000193.0
1512957186.335,10000209.0
1512957189.687,10000213.0
1512957193.039,10000205.0
1512957196.400,10000211.0
1512957199.744,10000192.0
1512957203.095,10000180.0
1512957206.447,10000198.0
1512957209.799,10000191.0
1512957213.152,10000173.0
1512957216.504,10000164.0
1512957219.855,10000188.0
1512957223.208,10000157.0
1512957226.560,10000187.0
1512957229.912,10000177.0
1512957233.264,10000168.0
1512957236.617,10000172.0
1512957239.968,10000159.0
1512957243.320,10000161.0
1512957246.672,10000186.0
1512957250.025,10000173.0
1512957253.377,10000159.0
1512957256.729,10000194.0
1512957260.080,10000173.0
1512957263.433,10000177.0
1512957266.785,10000213.0
1512957270.137,10000209.0
1512957273.489,10000210.0
1512957276.841,10000206.0
1512957280.193,10000204.0
1512957283.545,10000209.0
1512957286.898,10000205.0
1512957290.250,10000207.0
1512957293.601,10000213.0
1512957296.953,10000224.0
1512957300.306,10000206.0
1512957303.658,10000203.0
1512957307.010,10000206.0
1512957310.361,10000210.0
1512957313.714,10000206.0
1512957317.092,10000206.0
1512957320.418,10000211.0
1512957323.770,10000218.0
1512957327.122,10000215.0
1512957330.475,10000215.0
1512957333.827,10000204.0
1512957337.179,10000201.0
1512957340.531,10000209.0
1512957343.882,10000206.0
1512957347.235,10000211.0
1512957350.587,10000209.0
1512957353.939,10000195.0
1512957357.292,10000207.0
1512957360.643,10000215.0
1512957363.995,10000212.0
1512957367.347,10000208.0
1512957370.700,10000208.0
1512957374.052,10000212.0
1512957377.404,10000209.0
1512957380.755,10000208.0
1512957384.108,10000199.0
1512957387.460,10000206.0
1512957390.812,10000212.0
