temp_c,ppm,resistance
27.005,1.600,10000.418
27.015,1.900,10000.421
27.016,1.900,10000.421
27.005,1.900,10000.421
27.007,1.900,10000.421
27.013,1.900,10000.421
27.012,1.900,10000.421
27.008,1.900,10000.421
27.012,1.900,10000.421
27.009,1.900,10000.421
27.02,1.900,10000.421
27.022,1.900,10000.421
27.025,1.900,10000.421
27.026,1.900,10000.421
27.025,1.900,10000.421
27.025,1.900,10000.421
27.034,1.900,10000.421
27.018,1.900,10000.421
27.018,1.900,10000.421
27.025,1.900,10000.421
27.008,1.900,10000.421
27.025,1.900,10000.421
27.009,1.900,10000.421
27.018,1.900,10000.421
27.012,1.900,10000.421
27.023,1.900,10000.421
27.004,1.900,10000.421
27.018,1.900,10000.421
27.005,1.700,10000.419
27.007,1.700,10000.419
27.018,1.700,10000.419
27.015,1.700,10000.419
27.02,1.700,10000.419
27.027,1.700,10000.419
27.012,1.700,10000.419
27.025,1.700,10000.419
27.038,1.700,10000.419
27.022,1.700,10000.419
27.022,1.700,10000.419
27.036,1.700,10000.419
27.023,1.700,10000.419
27.009,1.700,10000.419
27.018,2.000,10000.422
27.009,2.000,10000.422
27.016,2.000,10000.422
27.025,2.000,10000.422
27.016,2.000,10000.422
27.004,2.000,10000.422
27.011,2.000,10000.422
27.011,2.000,10000.422
27.015,2.000,10000.422
27.022,2.000,10000.422
27.02,2.000,10000.422
27.016,2.000,10000.422
27.015,2.000,10000.422
27.036,2.100,10000.423
27.016,2.100,10000.423
27.012,2.100,10000.423
27.016,2.100,10000.423
27.011,2.100,10000.423
27.018,2.100,10000.423
27.018,2.100,10000.423
27.034,2.100,10000.423
27.026,2.100,10000.423
27.012,2.100,10000.423
27.008,2.100,10000.423
27.008,2.100,10000.423
27.03,2.100,10000.423
27.009,2.000,10000.422
27.02,2.000,10000.422
27.002,2.000,10000.422
27.016,2.000,10000.422
27.029,2.000,10000.422
27.034,2.000,10000.422
27.037,2.000,10000.422
27.019,2.000,10000.422
27.016,2.000,10000.422
27.025,2.000,10000.422
27.022,2.000,10000.422
27.012,2.000,10000.422
26.997,2.000,10000.422
27.012,2.000,10000.422
27.026,1.800,10000.42
27.025,1.800,10000.42
27.009,1.800,10000.42
27.013,1.800,10000.42
27.02,1.800,10000.42
27.019,1.800,10000.42
27.016,1.800,10000.42
27.019,1.800,10000.42
27.015,1.800,10000.42
27.023,1.800,10000.42
27.019,1.800,10000.42
27.019,1.800,10000.42
27.022,1.800,10000.42
27.016,1.900,10000.421
27.023,1.900,10000.421
27.011,1.900,10000.421
27.025,1.900,10000.421
27.022,1.900,10000.421
27.012,1.900,10000.421
27.032,1.900,10000.421
27.001,1.900,10000.421
27.019,1.900,10000.421
27.025,1.900,10000.421
27.023,1.900,10000.421
27.025,1.900,10000.421
27.016,1.900,10000.421
27.019,1.900,10000.421
27.019,2.000,10000.422
27.03,2.000,10000.422
27.015,2.000,10000.422
27.034,2.000,10000.422
27.019,2.000,10000.422
27.015,2.000,10000.422
27.011,2.000,10000.422
27.02,2.000,10000.422
27.03,2.000,10000.422
27.015,2.000,10000.422
27.02,2.000,10000.422
27.019,2.000,10000.422
27.011,2.000,10000.422
27.011,2.000,10000.422
27.001,2.000,10000.422
27.001,2.000,10000.422
27.007,2.000,10000.422
27.023,2.000,10000.422
27.015,2.000,10000.422
27.019,2.000,10000.422
27.009,2.000,10000.422
27.022,2.000,10000.422
27.011,2.000,10000.422
27.023,2.000,10000.422
27.015,2.000,10000.422
27.022,2.000,10000.422
27.02,2.000,10000.422
27.025,1.800,10000.42
27.026,1.800,10000.42
27.026,1.800,10000.42
27.027,1.800,10000.42
27.019,1.800,10000.42
27.019,1.800,10000.42
27.013,1.800,10000.42
27.013,1.800,10000.42
27.025,1.800,10000.42
27.013,1.800,10000.42
27.011,1.800,10000.42
27.012,1.800,10000.42
27.0,1.800,10000.42
27.019,1.700,10000.419
27.019,1.700,10000.419
27.001,1.700,10000.419
27.03,1.700,10000.419
27.018,1.700,10000.419
27.02,1.700,10000.419
27.009,1.700,10000.419
27.011,1.700,10000.419
27.002,1.700,10000.419
27.005,1.700,10000.419
27.001,1.700,10000.419
27.012,1.700,10000.419
27.03,1.700,10000.419
27.004,1.900,10000.421
27.007,1.900,10000.421
27.013,1.900,10000.421
27.012,1.900,10000.421
27.018,1.900,10000.421
27.029,1.900,10000.421
27.013,1.900,10000.421
27.018,1.900,10000.421
27.016,1.900,10000.421
27.019,1.900,10000.421
27.008,1.900,10000.421
27.007,1.900,10000.421
27.016,1.900,10000.421
27.008,1.900,10000.421
27.016,1.900,10000.421
27.011,1.900,10000.421
27.015,1.900,10000.421
27.012,1.900,10000.421
27.008,1.900,10000.421
27.019,1.900,10000.421
27.002,1.900,10000.421
27.02,1.900,10000.421
27.005,1.900,10000.421
27.019,1.900,10000.421
27.007,1.900,10000.421
27.008,1.900,10000.421
27.012,1.900,10000.421
27.03,1.700,10000.419
27.001,1.700,10000.419
27.022,1.700,10000.419
27.019,1.700,10000.419
27.012,1.700,10000.419
27.005,1.700,10000.419
27.007,1.700,10000.419
27.002,1.700,10000.419
27.019,1.700,10000.419
27.016,1.700,10000.419
27.005,1.700,10000.419
27.009,1.700,10000.419
27.022,1.700,10000.419
27.009,1.700,10000.419
27.012,2.100,10000.423
27.023,2.100,10000.423
27.02,2.100,10000.423
27.032,2.100,10000.423
27.036,2.100,10000.423
27.032,2.100,10000.423
27.009,2.100,10000.423
27.019,2.100,10000.423
27.013,2.100,10000.423
27.016,2.100,10000.423
27.004,2.100,10000.423
27.016,2.100,10000.423
27.012,2.100,10000.423
27.002,1.900,10000.421
27.022,1.900,10000.421
26.987,1.900,10000.421
27.001,1.900,10000.421
27.008,1.900,10000.421
27.001,1.900,10000.421
27.011,1.900,10000.421
27.004,1.900,10000.421
27.0,1.900,10000.421
27.012,1.900,10000.421
27.026,1.900,10000.421
27.0,1.900,10000.421
27.001,1.900,10000.421
27.015,2.100,10000.423
27.012,2.100,10000.423
27.018,2.100,10000.423
27.009,2.100,10000.423
27.007,2.100,10000.423
27.015,2.100,10000.423
27.011,2.100,10000.423
27.025,2.100,10000.423
27.012,2.100,10000.423
27.033,2.100,10000.423
27.043,2.100,10000.423
27.109,2.100,10000.423
27.163,2.100,10000.423
27.252,2.100,10000.423
27.35,1.700,10000.419
27.453,1.700,10000.419
27.558,1.700,10000.419
27.671,1.700,10000.419
27.773,1.700,10000.419
27.856,1.700,10000.419
27.94,1.700,10000.419
28.011,1.700,10000.419
28.077,1.700,10000.419
28.131,1.700,10000.419
28.165,1.700,10000.419
28.203,1.700,10000.419
28.213,1.700,10000.419
28.22,1.500,10000.417
28.21,1.500,10000.417
28.197,1.500,10000.417
28.18,1.500,10000.417
28.169,1.500,10000.417
28.151,1.500,10000.417
28.141,1.500,10000.417
28.101,1.500,10000.417
28.084,1.500,10000.417
28.043,1.500,10000.417
28.011,1.500,10000.417
27.998,1.500,10000.417
27.979,1.500,10000.417
27.951,1.500,10000.417
27.954,2.000,10000.422
27.928,2.000,10000.422
27.917,2.000,10000.422
27.93,2.000,10000.422
27.919,2.000,10000.422
27.914,2.000,10000.422
27.924,2.000,10000.422
27.931,2.000,10000.422
27.933,2.000,10000.422
27.948,2.000,10000.422
27.97,2.000,10000.422
27.982,2.000,10000.422
27.973,2.000,10000.422
27.97,2.200,10000.424
27.989,2.200,10000.424
28.003,2.200,10000.424
28.001,2.200,10000.424
28.004,2.200,10000.424
27.989,2.200,10000.424
28.014,2.200,10000.424
28.031,2.200,10000.424
28.015,2.200,10000.424
27.998,2.200,10000.424
28.003,2.200,10000.424
28.001,2.200,10000.424
27.991,2.200,10000.424
28.019,2.200,10000.424
28.012,2.500,10000.427
28.019,2.500,10000.427
28.018,2.500,10000.427
28.019,2.500,10000.427
28.025,2.500,10000.427
28.004,2.500,10000.427
28.014,2.500,10000.427
28.026,2.500,10000.427
28.017,2.500,10000.427
28.022,2.500,10000.427
28.001,2.500,10000.427
28.017,2.500,10000.427
28.026,2.500,10000.427
28.003,2.700,10000.429
28.011,2.700,10000.429
27.998,2.700,10000.429
28.018,2.700,10000.429
27.998,2.700,10000.429
27.997,2.700,10000.429
27.991,2.700,10000.429
28.008,2.700,10000.429
28.0,2.700,10000.429
28.007,2.700,10000.429
28.022,2.700,10000.429
28.007,2.700,10000.429
28.017,2.700,10000.429
28.015,2.800,10000.43
28.017,2.800,10000.43
28.012,2.800,10000.43
28.033,2.800,10000.43
28.008,2.800,10000.43
28.028,2.800,10000.43
28.018,2.800,10000.43
28.0,2.800,10000.43
28.018,2.800,10000.43
28.008,2.800,10000.43
28.007,2.800,10000.43
28.035,2.800,10000.43
28.008,2.800,10000.43
28.014,2.800,10000.43
28.032,2.900,10000.431
28.017,2.900,10000.431
28.012,2.900,10000.431
28.018,2.900,10000.431
28.018,2.900,10000.431
28.025,2.900,10000.431
28.019,2.900,10000.431
28.032,2.900,10000.431
28.026,2.900,10000.431
28.039,2.900,10000.431
28.028,2.900,10000.431
28.024,2.900,10000.431
28.028,2.900,10000.431
28.017,3.100,10000.433
28.022,3.100,10000.433
28.015,3.100,10000.433
28.007,3.100,10000.433
28.007,3.100,10000.433
28.035,3.100,10000.433
28.018,3.100,10000.433
28.039,3.100,10000.433
28.021,3.100,10000.433
28.032,3.100,10000.433
28.035,3.100,10000.433
28.018,3.100,10000.433
28.039,3.100,10000.433
28.022,3.100,10000.433
27.996,3.100,10000.433
28.022,3.100,10000.433
28.021,3.100,10000.433
28.018,3.100,10000.433
28.017,3.100,10000.433
28.021,3.100,10000.433
28.019,3.100,10000.433
28.033,3.100,10000.433
28.028,3.100,10000.433
28.021,3.100,10000.433
28.019,3.100,10000.433
28.019,3.100,10000.433
28.026,3.100,10000.433
28.032,3.300,10000.435
28.019,3.300,10000.435
28.028,3.300,10000.435
28.028,3.300,10000.435
28.003,3.300,10000.435
28.029,3.300,10000.435
28.025,3.300,10000.435
28.008,3.300,10000.435
28.026,3.300,10000.435
28.026,3.300,10000.435
28.029,3.300,10000.435
28.015,3.300,10000.435
28.007,3.300,10000.435
28.042,3.200,10000.434
28.021,3.200,10000.434
28.042,3.200,10000.434
28.04,3.200,10000.434
28.017,3.200,10000.434
28.011,3.200,10000.434
28.028,3.200,10000.434
28.039,3.200,10000.434
28.017,3.200,10000.434
28.015,3.200,10000.434
28.018,3.200,10000.434
28.026,3.200,10000.434
28.021,3.200,10000.434
28.028,3.200,10000.434
28.026,3.200,10000.434
28.025,3.200,10000.434
28.018,3.200,10000.434
28.022,3.200,10000.434
28.021,3.200,10000.434
28.04,3.200,10000.434
28.032,3.200,10000.434
28.025,3.200,10000.434
28.022,3.200,10000.434
28.036,3.200,10000.434
28.022,3.200,10000.434
28.014,3.200,10000.434
28.032,3.200,10000.434
28.017,3.200,10000.434
28.025,3.200,10000.434
28.017,3.200,10000.434
28.012,3.200,10000.434
28.018,3.200,10000.434
28.033,3.200,10000.434
28.021,3.200,10000.434
28.008,3.200,10000.434
28.024,3.200,10000.434
28.043,3.200,10000.434
28.031,3.200,10000.434
28.029,3.200,10000.434
28.029,3.200,10000.434
28.024,3.200,10000.434
28.032,3.200,10000.434
28.015,3.200,10000.434
28.017,3.200,10000.434
28.024,3.200,10000.434
28.019,3.200,10000.434
28.033,3.200,10000.434
28.021,3.200,10000.434
28.043,3.200,10000.434
28.017,3.200,10000.434
28.021,3.200,10000.434
28.024,3.200,10000.434
28.029,3.200,10000.434
28.026,3.200,10000.434
28.019,3.200,10000.434
28.018,3.200,10000.434
28.019,3.200,10000.434
28.029,3.200,10000.434
28.032,3.200,10000.434
28.018,3.200,10000.434
28.005,3.200,10000.434
28.019,3.200,10000.434
28.008,3.200,10000.434
28.004,3.200,10000.434
28.017,3.200,10000.434
28.007,3.200,10000.434
28.038,3.200,10000.434
28.014,3.200,10000.434
28.018,3.200,10000.434
28.033,3.200,10000.434
28.024,3.200,10000.434
28.025,3.200,10000.434
28.017,3.200,10000.434
28.015,3.200,10000.434
28.032,3.200,10000.434
28.026,3.200,10000.434
28.026,3.200,10000.434
28.022,3.200,10000.434
28.035,3.200,10000.434
28.025,3.200,10000.434
28.031,3.200,10000.434
28.019,3.200,10000.434
28.015,3.200,10000.434
28.026,3.200,10000.434
28.025,3.200,10000.434
28.018,3.200,10000.434
28.031,3.200,10000.434
28.018,3.200,10000.434
28.024,3.200,10000.434
28.025,3.200,10000.434
28.014,3.200,10000.434
28.011,3.200,10000.434
28.021,3.200,10000.434
28.024,3.200,10000.434
28.022,3.200,10000.434
28.029,3.200,10000.434
28.033,3.200,10000.434
28.021,3.200,10000.434
28.019,3.200,10000.434
28.008,3.200,10000.434
28.011,3.200,10000.434
28.007,3.200,10000.434
28.008,3.200,10000.434
28.019,3.200,10000.434
28.024,3.200,10000.434
28.019,3.200,10000.434
28.015,3.200,10000.434
28.017,3.200,10000.434
28.01,3.100,10000.433
28.021,3.100,10000.433
28.031,3.100,10000.433
28.017,3.100,10000.433
28.011,3.100,10000.433
28.031,3.100,10000.433
28.019,3.100,10000.433
28.022,3.100,10000.433
28.012,3.100,10000.433
28.012,3.100,10000.433
28.021,3.100,10000.433
28.014,3.100,10000.433
28.025,3.100,10000.433
28.015,3.200,10000.434
28.014,3.200,10000.434
