timestamp,ambient_c,ambient_rh
1521232117.98,21.410,64.800
1521232119.59,21.402,64.811
1521232121.20,21.399,64.812
1521232122.81,21.402,64.827
1521232124.42,21.406,64.839
1521232126.03,21.406,64.844
1521232127.64,21.401,64.851
1521232129.25,21.399,64.864
1521232130.86,21.395,64.871
1521232132.47,21.392,64.885
1521232134.08,21.399,64.890
1521232135.70,21.399,64.905
1521232137.31,21.398,64.905
1521232138.92,21.390,64.908
1521232140.53,21.392,64.908
1521232142.14,21.392,64.917
1521232143.75,21.398,64.923
1521232145.36,21.398,64.928
1521232146.97,21.388,64.924
1521232148.58,21.396,64.930
1521232150.19,21.394,64.925
1521232151.80,21.387,64.927
1521232153.41,21.392,64.932
1521232155.02,21.391,64.922
1521232156.63,21.388,64.928
1521232158.24,21.390,64.933
1521232159.85,21.382,64.922
1521232161.47,21.387,64.928
1521232163.08,21.387,64.918
1521232164.69,21.380,64.918
1521232166.30,21.388,64.920
1521232167.91,21.382,64.913
1521232169.52,21.382,64.909
1521232171.13,21.386,64.908
1521232172.74,21.379,64.900
1521232174.35,21.387,64.901
1521232175.96,21.379,64.897
1521232177.57,21.387,64.894
1521232179.19,21.384,64.887
1521232180.79,21.374,64.882
1521232182.40,21.375,64.874
1521232184.01,21.372,64.873
1521232185.62,21.384,64.871
1521232187.23,21.383,64.868
1521232188.85,21.384,64.861
1521232190.46,21.383,64.853
1521232192.07,21.375,64.848
1521232193.68,21.378,64.845
1521232195.29,21.378,64.848
1521232196.90,21.378,64.832
1521232198.51,21.379,64.827
1521232200.12,21.379,64.824
1521232201.73,21.390,64.824
1521232203.34,21.382,64.826
1521232204.95,21.380,64.825
1521232206.56,21.390,64.818
1521232208.17,21.384,64.818
1521232209.78,21.374,64.803
1521232211.39,21.378,64.800
1521232213.00,21.378,64.808
1521232214.62,21.383,64.803
1521232216.23,21.378,64.807
1521232217.84,21.378,64.798
1521232219.45,21.382,64.800
1521232221.06,21.390,64.807
1521232222.67,21.378,64.804
1521232224.28,21.384,64.801
1521232225.89,21.386,64.806
1521232227.50,21.391,64.816
1521232229.11,21.383,64.816
1521232230.72,21.386,64.828
1521232232.33,21.387,64.835
1521232233.94,21.386,64.848
1521232235.55,21.391,64.855
1521232237.16,21.380,64.861
1521232238.77,21.391,64.878
1521232240.39,21.386,64.886
1521232242.00,21.392,64.905
1521232243.61,21.390,64.917
1521232245.22,21.390,64.927
1521232246.83,21.392,64.951
1521232248.44,21.391,64.958
1521232250.05,21.390,64.978
