ambient_c,ambient_rh,crc16
1520225741.29,20.951,78.038,7901
1520225742.90,20.950,78.031,affb
1520225744.51,20.958,78.028,1339
1520225746.13,20.957,78.025,1b56
1520225747.74,20.959,78.036,8615
1520225749.35,20.961,78.050,7feb
1520225750.96,20.955,78.041,7ed2
1520225752.56,20.955,78.065,5834
1520225754.18,20.955,78.074,7b24
1520225755.79,20.969,78.083,270e
1520225757.40,20.957,78.095,c7ac
1520225759.01,20.967,78.117,7433
1520225760.62,20.963,78.125,0e4f
1520225762.23,20.974,78.136,2126
1520225763.84,20.967,78.142,db63
1520225765.45,20.965,78.146,1441
1520225767.06,20.962,78.152,a0ec
1520225768.67,20.967,78.153,f873
1520225770.29,20.963,78.154,87f9
1520225771.90,20.974,78.160,be15
1520225773.51,20.973,78.163,496e
1520225775.12,20.969,78.159,c728
1520225776.73,20.969,78.162,2310
1520225778.34,20.969,78.155,06a4
1520225779.95,20.966,78.164,9a14
1520225781.56,20.969,78.164,43d6
1520225783.17,20.978,78.180,8cad
1520225784.78,20.971,78.180,d5a4
1520225786.39,20.976,78.193,11ee
1520225788.00,20.978,78.214,2fe1
1520225789.61,20.977,78.213,86c4
1520225791.22,20.980,78.228,3db0
1520225792.83,20.978,78.236,69c1
1520225794.45,20.976,78.249,9fa8
1520225796.06,20.976,78.256,5d76
1520225797.67,20.985,78.266,5804
1520225799.28,20.976,78.275,0b77
1520225800.89,20.970,78.287,bbc0
1520225802.50,20.967,78.302,79c7
1520225804.11,20.974,78.313,7981
1520225805.72,20.971,78.336,07f8
1520225807.33,20.976,78.346,5977
1520225808.94,20.971,78.363,a8a8
1520225810.55,20.978,78.367,b125
1520225812.16,20.965,78.376,2f72
1520225813.77,20.974,78.373,d327
1520225815.38,20.970,78.380,fc17
1520225816.99,20.967,78.394,a399
1520225818.61,20.976,78.397,3f0a
1520225820.22,20.973,78.410,0b6a
1520225821.83,20.974,78.416,acb4
1520225823.44,20.986,78.417,ab67
1520225825.05,20.974,78.420,9921
1520225826.66,20.976,78.425,4622
1520225828.27,20.976,78.429,87ae
1520225829.88,20.970,78.439,3454
1520225831.49,20.978,78.442,0272
1520225833.10,20.978,78.447,52d7
1520225834.71,20.981,78.447,938a
1520225836.32,20.986,78.444,64f1
1520225837.93,20.989,78.442,ddf5
1520225839.54,20.981,78.448,6265
1520225841.15,20.989,78.436,04e6
1520225842.77,20.993,78.437,6e98
1520225844.38,20.993,78.419,e934
1520225845.99,20.994,78.409,1d1d
1520225847.60,20.997,78.408,c549
1520225849.21,21.002,78.408,6950
1520225850.82,21.005,78.394,50cc
1520225852.43,21.005,78.389,b250
1520225854.04,21.010,78.374,d05e
1520225855.65,21.012,78.365,7ce8
1520225857.26,21.017,78.354,7124
1520225858.87,21.005,78.348,e71c
1520225860.48,21.020,78.336,119c
1520225862.09,21.021,78.333,06ea
1520225863.70,21.017,78.330,9b06
1520225865.31,21.025,78.329,9bfc
1520225866.93,21.024,78.328,cc0e
1520225868.54,21.026,78.333,c1f2
1520225870.15,21.029,78.333,1830
1520225871.76,21.033,78.325,3198
1520225873.37,21.024,78.332,5e75
1520225874.98,21.039,78.352,4994
1520225876.59,21.040,78.346,d283
1520225878.20,21.040,78.349,236c
1520225879.81,21.037,78.363,92f7
1520225881.42,21.039,78.369,adac
1520225883.03,21.045,78.384,ff12
1520225884.64,21.037,78.387,f17c
1520225886.25,21.035,78.396,5dca
1520225887.86,21.036,78.397,859e
1520225889.47,21.040,78.403,cb72
1520225891.09,21.049,78.410,9129
1520225892.70,21.043,78.404,73e0
1520225894.31,21.043,78.412,2017
1520225895.92,21.037,78.422,cb82
1520225897.53,21.044,78.428,1316
1520225899.14,21.037,78.434,9875
1520225900.75,21.039,78.438,c7e8
1520225902.36,21.036,78.442,26f7
1520225903.97,21.047,78.441,e0ec
1520225905.58,21.047,78.455,9359
1520225907.19,21.047,78.456,a33a
1520225908.80,21.033,78.455,2d9f
1520225910.41,21.041,78.463,2607
1520225912.02,21.040,78.468,d0bf
1520225913.63,21.041,78.472,0517
1520225915.24,21.041,78.464,56e0
1520225916.86,21.037,78.480,040b
1520225918.47,21.048,78.484,2ce6
1520225920.08,21.044,78.487,0d32
1520225921.69,21.044,78.488,fcdd
1520225923.30,21.047,78.498,0799
1520225924.91,21.048,78.496,3f95
1520225926.52,21.043,78.504,44d0
1520225928.13,21.047,78.510,3808
1520225929.74,21.043,78.511,2744
1520225931.35,21.049,78.515,f6bc
1520225932.96,21.051,78.518,d2e8
1520225934.57,21.053,78.519,4d6f
1520225936.18,21.053,78.521,9934
1520225937.79,21.055,78.518,dd85
1520225939.40,21.053,78.522,a957
1520225941.02,21.049,78.521,e36b
1520225942.63,21.048,78.517,912d
1520225944.24,21.063,78.529,3578
1520225945.85,21.057,78.531,a568
1520225947.46,21.059,78.526,78af
1520225949.07,21.056,78.529,5082
1520225950.68,21.057,78.534,f5cd
1520225952.29,21.057,78.538,3441
1520225953.90,21.056,78.532,d2d8
1520225955.51,21.063,78.535,c7c5
1520225957.12,21.064,78.540,c9ef
1520225958.73,21.059,78.527,688e
1520225960.34,21.065,78.532,37e9
1520225961.95,21.069,78.531,163d
1520225963.56,21.061,78.526,4b31
1520225965.18,21.063,78.526,c497
1520225966.79,21.071,78.536,9323
1520225968.40,21.069,78.527,45ca
1520225970.01,21.075,78.524,8f3d
1520225971.62,21.073,78.516,7ae7
1520225973.23,21.076,78.517,2278
1520225974.84,21.068,78.513,17ce
1520225976.45,21.064,78.511,263b
1520225978.06,21.075,78.511,8acb
1520225979.67,21.073,78.523,7f11
1520225981.28,21.065,78.527,547d
1520225982.89,21.072,78.525,5804
1520225984.50,21.080,78.530,2c62
1520225986.11,21.073,78.535,2ce6
1520225987.72,21.083,78.541,6da1
1520225989.34,21.079,78.541,6489
1520225990.95,21.079,78.528,5f06
1520225992.56,21.079,78.533,dd5c
1520225994.17,21.077,78.530,732e
1520225995.78,21.077,78.526,20d9
1520225997.39,21.085,78.521,47cc
1520225999.00,21.085,78.529,c6c4
1520226000.61,21.081,78.529,c9a9
1520226002.22,21.088,78.526,614f
1520226003.83,21.087,78.532,cb38
1520226005.44,21.083,78.535,b4b2
1520226007.06,21.093,78.529,ad2c
1520226008.66,21.092,78.535,1842
1520226010.27,21.100,78.539,fbf1
1520226011.88,21.095,78.532,afbd
1520226013.50,21.091,78.535,d037
1520226015.11,21.098,78.538,5893
1520226016.72,21.098,78.537,a97c
1520226018.33,21.100,78.528,d8e1
1520226019.94,21.096,78.526,147d
1520226021.55,21.100,78.518,8db2
1520226023.16,21.100,78.517,7c5d
1520226024.77,21.095,78.506,ba6a
1520226026.38,21.104,78.509,a1cf
1520226027.99,21.103,78.497,0ab1
1520226029.61,21.104,78.506,5020
1520226031.22,21.111,78.499,8ffa
1520226032.83,21.112,78.493,e6c5
1520226034.44,21.112,78.488,649f
1520226036.04,21.110,78.484,2ab5
1520226037.66,21.106,78.483,31ba
1520226039.27,21.108,78.483,afab
1520226040.88,21.114,78.478,f46a
1520226042.49,21.112,78.476,956f
1520226044.10,21.115,78.479,a398
1520226045.71,21.108,78.479,1edf
1520226047.32,21.114,78.475,25c7
1520226048.93,21.118,78.474,2451
1520226050.54,21.115,78.466,6146
1520226052.15,21.114,78.471,6543
1520226053.77,21.115,78.473,02d2
1520226055.38,21.115,78.466,6146
1520226056.99,21.122,78.471,c8cc
1520226058.60,21.118,78.468,d6ec
1520226060.21,21.120,78.468,e572
1520226061.82,21.122,78.456,de49
1520226063.43,21.124,78.460,6b17
1520226065.04,21.122,78.459,2fa6
1520226066.65,21.130,78.459,4b23
1520226068.26,21.123,78.455,a9f9
1520226069.87,21.126,78.448,03db
1520226071.48,21.128,78.454,6f77
1520226073.09,21.120,78.437,eb68
1520226074.70,21.127,78.431,4cb6
1520226076.31,21.136,78.418,170d
1520226077.93,21.139,78.414,0f43
1520226079.54,21.132,78.409,3b70
