isothermal_c,isothermal_rh,crc16
1520225142.78,27.561,69.175,7ed8
1520225143.38,27.575,69.162,d940
1520225143.99,27.593,69.144,2c58
1520225144.59,27.618,69.134,fb50
1520225145.19,27.618,69.137,cb33
1520225145.80,27.636,69.124,9017
1520225146.40,27.650,69.122,2a92
1520225147.01,27.664,69.109,dfb2
1520225147.61,27.675,69.114,91de
1520225148.22,27.693,69.099,0d56
1520225148.82,27.693,69.096,fcb9
1520225149.43,27.711,69.091,4542
1520225150.03,27.729,69.086,350a
1520225150.63,27.739,69.068,1ce8
1520225151.24,27.761,69.068,75fe
1520225151.84,27.768,69.066,cd39
1520225152.44,27.772,69.058,03fb
1520225153.05,27.804,69.038,ce8c
1520225153.65,27.807,69.038,06f9
1520225154.25,27.807,69.027,c427
1520225154.86,27.829,69.020,ecb6
1520225155.46,27.832,69.015,d4cc
1520225156.07,27.865,69.010,34bd
1520225156.67,27.854,68.999,726a
1520225157.28,27.886,69.005,ec2b
1520225157.88,27.893,68.997,e1ac
1520225158.49,27.908,68.989,4865
1520225159.09,27.922,68.987,feb0
1520225159.69,27.933,68.979,a3b0
1520225160.30,27.943,68.964,f087
1520225160.90,27.947,68.966,dfa8
1520225161.50,27.965,68.961,e68e
1520225162.11,27.986,68.944,6b4b
1520225162.71,27.986,68.936,d29e
1520225163.32,28.011,68.928,3348
1520225163.92,28.029,68.936,d229
1520225164.52,28.033,68.908,1ceb
1520225165.13,28.054,68.908,817b
1520225165.73,28.072,68.905,167a
1520225166.34,28.083,68.900,9958
1520225166.94,28.090,68.898,b6ae
1520225167.55,28.093,68.890,ffd3
1520225168.15,28.111,68.877,6527
1520225168.76,28.129,68.883,0603
1520225169.36,28.147,68.867,a111
1520225169.96,28.151,68.877,f9c8
1520225170.57,28.172,68.857,91b8
1520225171.17,28.179,68.855,6755
1520225171.77,28.194,68.847,5135
1520225172.38,28.204,68.847,2226
1520225172.98,28.222,68.834,cd7e
1520225173.58,28.226,68.824,f122
1520225174.19,28.247,68.819,6887
1520225174.79,28.261,68.824,aad5
1520225175.40,28.261,68.811,af23
1520225176.00,28.297,68.811,b7bc
1520225176.61,28.308,68.804,a073
1520225177.21,28.308,68.799,e777
1520225177.82,28.322,68.796,4183
1520225178.42,28.329,68.781,d4fa
1520225179.02,28.337,68.771,b1f6
1520225179.63,28.358,68.783,02c0
1520225180.23,28.379,68.766,f0de
1520225180.84,28.383,68.766,f9f6
1520225181.44,28.394,68.748,5261
1520225182.04,28.408,68.748,9df0
1520225182.65,28.426,68.743,74ed
1520225183.25,28.437,68.745,b8db
1520225183.85,28.454,68.740,7a83
1520225184.46,28.469,68.740,01a3
1520225185.06,28.480,68.725,d1de
1520225185.67,28.490,68.715,6fae
1520225186.27,28.505,68.722,af3d
1520225186.88,28.519,68.712,00fa
1520225187.48,28.526,68.710,d43e
1520225188.09,28.530,68.697,71a8
1520225188.69,28.558,68.689,e705
1520225189.29,28.558,68.677,16f5
1520225189.90,28.576,68.677,4e83
1520225190.50,28.587,68.684,b159
1520225191.10,28.590,68.671,ddf9
1520225191.71,28.619,68.661,2ff1
1520225192.31,28.623,68.666,e32e
1520225192.92,28.644,68.649,e933
1520225193.52,28.648,68.646,096b
1520225194.12,28.662,68.638,2629
1520225194.73,28.673,68.646,f280
1520225195.33,28.694,68.636,df78
1520225195.94,28.701,68.623,59cb
1520225196.54,28.708,68.638,8298
1520225197.15,28.723,68.605,16ae
1520225197.75,28.740,68.610,e7c7
1520225198.35,28.755,68.605,27ce
1520225198.96,28.769,68.618,f9a1
1520225199.56,28.783,68.593,7a38
1520225200.17,28.798,68.595,2772
1520225200.77,28.805,68.582,a6ad
1520225201.38,28.819,68.577,1ca2
1520225201.98,28.826,68.580,88fd
1520225202.58,28.841,68.580,156d
1520225203.19,28.851,68.565,8de4
1520225203.79,28.858,68.570,b779
1520225204.39,28.876,68.565,8c9b
1520225205.00,28.887,68.560,03b9
1520225205.60,28.901,68.552,b0d9
1520225206.21,28.919,68.544,16d7
1520225206.81,28.923,68.534,3378
1520225207.42,28.937,68.539,069b
1520225208.02,28.944,68.529,4c74
1520225208.62,28.962,68.524,db75
1520225209.23,28.973,68.521,2720
1520225209.83,28.987,68.511,e54a
1520225210.43,28.987,68.501,d67b
1520225211.04,29.019,68.504,fc68
1520225211.64,29.023,68.501,10f5
1520225212.25,29.034,68.493,9124
1520225212.85,29.048,68.491,117a
1520225213.46,29.044,68.493,208f
1520225214.06,29.080,68.488,18a8
1520225214.66,29.091,68.483,0533
1520225215.27,29.091,68.471,354f
1520225215.87,29.109,68.476,f6eb
1520225216.48,29.134,68.478,6c05
1520225217.08,29.134,68.468,5f34
1520225217.69,29.144,68.460,6f97
1520225218.29,29.155,68.448,240d
1520225218.89,29.169,68.437,7086
1520225219.50,29.162,68.445,1ffc
1520225220.10,29.195,68.432,a9c0
1520225220.70,29.205,68.432,dad3
1520225221.31,29.227,68.432,9312
1520225221.91,29.227,68.427,f086
1520225222.52,29.234,68.425,f392
1520225223.12,29.255,68.422,9e2e
1520225223.73,29.270,68.417,1501
1520225224.33,29.291,68.412,7100
1520225224.93,29.273,68.399,3083
1520225225.54,29.302,68.399,a9be
1520225226.14,29.323,68.399,280a
1520225226.75,29.323,68.382,aa50
1520225227.35,29.341,68.374,0f86
1520225227.95,29.355,68.382,9b30
1520225228.56,29.359,68.374,fa7f
1520225229.16,29.373,68.366,be17
1520225229.76,29.373,68.364,9e55
1520225230.37,29.413,68.356,ad36
1520225230.97,29.416,68.361,c03c
1520225231.58,29.416,68.354,c5ca
1520225232.18,29.434,68.356,ac49
1520225232.79,29.441,68.341,168a
1520225233.39,29.459,68.346,9394
1520225234.00,29.466,68.343,37b7
1520225234.60,29.481,68.346,d37d
1520225235.20,29.498,68.333,a865
1520225235.81,29.513,68.333,3870
1520225236.41,29.516,68.313,16ac
1520225237.02,29.527,68.323,2968
1520225237.62,29.541,68.310,961b
1520225238.22,29.556,68.313,8a43
1520225238.83,29.573,68.298,0b68
1520225239.43,29.577,68.305,5800
1520225240.03,29.577,68.293,b56e
1520225240.64,29.609,68.298,9a70
1520225241.24,29.620,68.298,051e
1520225241.85,29.631,68.300,a54e
1520225242.45,29.638,68.287,3239
1520225243.06,29.649,68.293,b7f4
1520225243.66,29.659,68.285,0f20
1520225244.27,29.674,68.275,8f1d
1520225244.87,29.688,68.270,565b
1520225245.47,29.695,68.270,eb1c
1520225246.08,29.713,68.265,4ef9
1520225246.68,29.731,68.257,7229
1520225247.28,29.738,68.247,1811
1520225247.89,29.745,68.247,ffde
1520225248.49,29.756,68.234,757c
1520225249.10,29.774,68.257,a678
1520225249.70,29.781,68.244,75c0
1520225250.30,29.792,68.242,3650
1520225250.91,29.795,68.231,58bc
1520225251.51,29.809,68.226,9eb0
1520225252.12,29.820,68.234,12ad
1520225252.72,29.831,68.224,8d6c
1520225253.33,29.856,68.226,30be
