si7021_c,setpoint,adc,pwm
24.343,231,355.635,0.00
24.332,231,355.266,0.00
24.332,231,354.977,0.00
24.332,231,354.788,0.00
24.343,231,354.558,0.00
24.322,231,354.556,0.00
24.322,231,354.321,0.00
24.332,231,354.317,0.00
24.332,231,353.988,0.00
24.322,231,353.575,0.00
24.332,231,353.713,0.00
24.332,231,353.791,0.00
24.322,231,353.304,0.00
24.322,231,353.252,0.00
24.311,231,353.247,0.00
24.300,231,353.162,0.00
24.343,231,352.820,0.00
24.322,231,352.377,0.00
24.311,231,352.121,0.00
24.311,231,352.014,0.00
24.322,231,352.132,0.00
24.322,231,351.726,0.00
24.322,231,351.425,0.00
24.332,231,351.270,0.00
24.322,231,351.058,0.00
24.332,231,350.840,0.00
24.343,231,350.598,0.00
24.322,231,350.245,0.00
24.322,231,350.242,0.00
24.322,231,350.063,0.00
24.322,231,350.008,0.00
24.343,231,349.894,0.00
24.332,231,349.938,0.00
24.322,231,349.680,0.00
24.332,231,349.239,0.00
24.322,231,348.917,0.00
24.322,231,349.104,0.00
24.311,231,349.199,0.00
24.322,231,348.996,0.00
24.343,231,348.859,0.00
24.332,231,348.622,0.00
24.300,231,348.331,0.00
24.279,231,348.149,0.00
24.300,231,348.183,0.00
24.290,231,347.792,0.00
24.290,231,347.353,0.00
24.279,231,347.450,0.00
24.279,231,347.022,0.00
24.279,231,346.862,0.00
24.279,231,346.670,0.00
24.279,231,346.464,0.00
24.290,231,346.154,0.00
24.268,231,345.733,0.00
24.257,231,345.695,0.00
24.290,231,345.890,0.00
24.279,231,345.386,0.00
24.268,231,345.449,0.00
24.257,231,345.330,0.00
24.247,231,345.013,0.00
24.257,231,344.856,0.00
24.257,231,344.648,0.00
24.257,231,344.535,0.00
24.247,231,344.252,0.00
24.247,231,344.020,0.00
24.257,231,343.946,0.00
24.257,231,343.616,0.00
24.268,231,343.627,0.00
24.257,231,343.552,0.00
24.257,231,343.240,0.00
24.257,231,343.307,0.00
24.268,231,342.964,0.00
24.257,231,342.769,0.00
24.247,231,342.893,0.00
24.268,231,342.467,0.00
24.236,231,342.262,0.00
24.279,231,342.412,0.00
24.257,231,342.215,0.00
24.257,231,342.057,0.00
24.247,231,341.748,0.00
24.236,231,341.739,0.00
24.257,231,341.576,0.00
24.247,231,341.266,0.00
24.247,231,341.282,0.00
24.247,231,341.108,0.00
24.236,231,340.800,0.00
24.236,231,340.836,0.00
24.236,231,340.521,0.00
24.247,231,340.123,0.00
24.236,231,340.113,0.00
24.257,231,339.937,0.00
24.215,231,339.654,0.00
24.225,231,339.645,0.00
24.225,231,339.416,0.00
24.236,231,339.342,0.00
24.225,231,338.949,0.00
24.225,231,339.016,0.00
24.215,231,339.061,0.00
24.236,231,338.741,0.00
24.215,231,338.682,0.00
24.204,231,338.610,0.00
24.236,231,338.567,0.00
24.225,231,338.216,0.00
24.215,231,338.163,0.00
24.225,231,338.075,0.00
24.204,231,338.013,0.00
24.236,231,337.875,0.00
24.225,231,338.076,0.00
24.193,231,337.601,0.00
24.193,231,337.741,0.00
