volts,ppm,temp_c,ambient_c
1.0003468,-1.68,24.997,21.576
1.0003468,-1.68,25.003,21.576
1.0003468,-1.68,24.99,21.565
1.0003468,-1.68,24.999,21.555
1.0003468,-1.68,25.0,21.598
1.0003468,-1.68,25.005,21.576
1.0003468,-1.68,25.001,21.576
1.0003468,-1.68,25.0,21.576
1.0003468,-1.68,25.001,21.587
1.0003468,-1.68,25.007,21.576
1.0003468,-1.68,25.0,21.587
1.0003468,-1.68,25.005,21.576
1.0003468,-1.68,25.004,21.576
1.0003459,-2.58,25.001,21.576
1.0003459,-2.58,25.0,21.587
1.0003459,-2.58,25.0,21.576
1.0003459,-2.58,25.003,21.565
1.0003459,-2.58,25.005,21.565
1.0003459,-2.58,25.005,21.587
1.0003459,-2.58,25.0,21.576
1.0003459,-2.58,25.005,21.565
1.0003459,-2.58,25.005,21.587
1.0003459,-2.58,25.007,21.576
1.0003459,-2.58,25.001,21.608
1.0003459,-2.58,25.007,21.576
1.0003459,-2.58,24.995,21.598
1.000345,-3.48,25.001,21.576
1.000345,-3.48,25.001,21.576
1.000345,-3.48,25.001,21.576
1.000345,-3.48,24.997,21.576
1.000345,-3.48,25.003,21.576
1.000345,-3.48,25.0,21.587
1.000345,-3.48,25.0,21.565
1.000345,-3.48,25.0,21.598
1.000345,-3.48,24.996,21.587
1.000345,-3.48,24.988,21.576
1.000345,-3.48,25.003,21.576
1.000345,-3.48,24.993,21.587
1.000345,-3.48,24.997,21.587
1.000345,-3.48,24.993,21.587
1.0003444,-4.08,24.999,21.576
1.0003444,-4.08,24.996,21.598
1.0003444,-4.08,24.997,21.608
1.0003444,-4.08,25.001,21.576
1.0003444,-4.08,24.995,21.576
1.0003444,-4.08,25.001,21.576
1.0003444,-4.08,24.995,21.587
1.0003444,-4.08,25.008,21.608
1.0003444,-4.08,24.995,21.576
1.0003444,-4.08,25.0,21.608
1.0003444,-4.08,25.004,21.576
1.0003444,-4.08,24.995,21.598
1.0003444,-4.08,24.993,21.598
1.0003435,-4.98,25.004,21.576
1.0003435,-4.98,24.997,21.565
1.0003435,-4.98,25.003,21.598
1.0003435,-4.98,25.003,21.587
1.0003435,-4.98,25.004,21.598
1.0003435,-4.98,25.003,21.598
