si7021_c,si7021_h,set,input,output
27.636,48.543,400,638.574,0.00
27.625,48.543,400,638.738,0.00
27.625,48.543,400,638.516,0.00
27.625,48.543,400,638.334,0.00
27.636,48.543,400,638.561,0.00
27.625,48.543,400,638.314,0.00
27.647,48.565,400,638.244,0.00
27.625,48.565,400,638.184,0.00
27.636,48.558,400,638.187,0.00
27.647,48.558,400,638.045,0.00
27.625,48.565,400,637.680,0.00
27.625,48.565,400,637.051,0.00
27.614,48.558,400,637.559,0.00
27.625,48.558,400,637.707,0.00
27.614,48.558,400,637.477,0.00
27.625,48.581,400,636.934,0.00
27.593,48.581,400,636.836,0.00
27.625,48.573,400,636.539,0.00
27.636,48.573,400,636.859,0.00
27.614,48.573,400,636.561,0.00
27.604,48.588,400,636.482,0.00
27.625,48.573,400,636.484,0.00
27.614,48.596,400,636.535,0.00
27.625,48.581,400,636.795,0.00
27.614,48.588,400,636.160,0.00
27.614,48.596,400,636.404,0.00
27.571,48.596,400,636.338,0.00
27.614,48.604,400,635.908,0.00
27.582,48.611,400,635.701,0.00
27.604,48.611,400,635.672,0.00
27.593,48.588,400,635.588,0.00
27.604,48.611,400,635.705,0.00
27.604,48.611,400,635.971,0.00
27.604,48.619,400,635.750,0.00
27.614,48.604,400,635.381,0.00
27.582,48.619,400,635.109,0.00
27.582,48.619,400,635.172,0.00
27.571,48.611,400,634.984,0.00
27.593,48.619,400,635.207,0.00
27.571,48.604,400,634.602,0.00
27.614,48.619,400,634.746,0.00
27.582,48.626,400,634.441,0.00
27.604,48.642,400,634.213,0.00
27.593,48.626,400,634.551,0.00
27.582,48.634,400,634.350,0.00
27.593,48.626,400,634.186,0.00
27.582,48.626,400,633.635,0.00
27.571,48.634,400,633.682,0.00
27.571,48.642,400,633.758,0.00
27.561,48.634,400,633.713,0.00
27.582,48.649,400,633.299,0.00
27.593,48.642,400,633.246,0.00
27.561,48.665,400,633.461,0.00
27.571,48.657,400,632.990,0.00
27.582,48.642,400,633.092,0.00
27.571,48.649,400,632.721,0.00
27.571,48.657,400,633.125,0.00
27.561,48.642,400,632.918,0.00
27.571,48.649,400,632.445,0.00
27.550,48.665,400,632.195,0.00
27.550,48.665,400,632.338,0.00
27.571,48.649,400,632.189,0.00
27.550,48.657,400,632.453,0.00
27.561,48.672,400,631.588,0.00
27.571,48.665,400,631.863,0.00
27.550,48.680,400,631.764,0.00
27.550,48.680,400,631.467,0.00
27.539,48.680,400,631.379,0.00
27.550,48.680,400,631.416,0.00
27.550,48.672,400,631.818,0.00
27.550,48.680,400,631.068,0.00
27.529,48.672,400,631.086,0.00
27.561,48.680,400,630.699,0.00
27.571,48.695,400,630.709,0.00
27.550,48.680,400,630.355,0.00
27.550,48.695,400,630.678,0.00
27.529,48.687,400,630.650,0.00
27.550,48.680,400,630.158,0.00
27.529,48.680,400,630.240,0.00
27.550,48.695,400,630.518,0.00
27.529,48.687,400,630.432,0.00
27.539,48.695,400,630.324,0.00
27.550,48.695,400,630.379,0.00
27.529,48.703,400,630.057,0.00
27.539,48.710,400,629.582,0.00
27.518,48.710,400,629.652,0.00
27.539,48.710,400,629.430,0.00
27.539,48.703,400,629.020,0.00
27.529,48.710,400,629.359,0.00
27.529,48.710,400,629.348,0.00
27.529,48.726,400,629.455,0.00
27.539,48.710,400,628.920,0.00
27.529,48.710,400,628.658,0.00
27.529,48.718,400,628.820,0.00
27.539,48.726,400,628.750,0.00
27.529,48.718,400,628.437,0.00
27.518,48.726,400,628.525,0.00
27.496,48.741,400,628.318,0.00
27.529,48.718,400,628.361,0.00
27.507,48.733,400,627.951,0.00
27.507,48.749,400,628.365,0.00
27.529,48.733,400,628.291,0.00
27.507,48.741,400,627.451,0.00
27.518,48.741,400,627.637,0.00
27.496,48.749,400,627.437,0.00
27.507,48.741,400,627.682,0.00
27.496,48.741,400,627.725,0.00
27.529,48.749,400,626.939,0.00
27.486,48.756,400,626.955,0.00
27.496,48.749,400,627.104,0.00
27.486,48.749,400,626.812,0.00
27.496,48.764,400,626.668,0.00
27.496,48.749,400,626.646,0.00
27.496,48.787,400,626.172,0.00
27.496,48.756,400,626.053,0.00
27.486,48.764,400,626.389,0.00
27.486,48.771,400,626.676,0.00
27.496,48.779,400,626.166,0.00
27.518,48.771,400,626.098,0.00
27.496,48.764,400,625.793,0.00
27.496,48.787,400,625.898,0.00
27.496,48.794,400,625.676,0.00
27.486,48.771,400,625.215,0.00
27.486,48.787,400,625.383,0.00
27.496,48.779,400,624.725,0.00
27.507,48.771,400,625.078,0.00
27.475,48.779,400,624.902,0.00
27.486,48.810,400,624.863,0.00
27.486,48.779,400,624.803,0.00
27.475,48.794,400,624.744,0.00
27.464,48.779,400,624.857,0.00
27.464,48.794,400,624.148,0.00
27.486,48.794,400,624.275,0.00
27.475,48.771,400,624.055,0.00
27.464,48.817,400,624.285,0.00
27.464,48.802,400,623.896,0.00
27.496,48.802,400,624.158,0.00
27.475,48.810,400,623.816,0.00
27.453,48.802,400,623.809,0.00
27.475,48.794,400,623.594,0.00
27.486,48.794,400,623.699,0.00
27.475,48.794,400,623.748,0.00
27.475,48.825,400,623.459,0.00
27.443,48.825,400,623.252,0.00
27.453,48.817,400,622.834,0.00
27.475,48.810,400,623.258,0.00
27.453,48.810,400,623.225,0.00
27.453,48.810,400,623.176,0.00
27.464,48.825,400,622.676,0.00
27.453,48.817,400,622.229,0.00
27.453,48.840,400,622.369,0.00
27.443,48.825,400,622.600,0.00
27.443,48.832,400,621.801,0.00
27.464,48.832,400,621.488,0.00
27.453,48.840,400,621.625,0.00
27.443,48.840,400,621.822,0.00
27.443,48.840,400,621.682,0.00
27.443,48.855,400,621.299,0.00
27.453,48.832,400,621.422,0.00
27.443,48.848,400,620.779,0.00
27.432,48.848,400,621.734,0.00
27.443,48.848,400,621.215,0.00
27.432,48.848,400,620.770,0.00
27.432,48.855,400,620.779,0.00
27.443,48.855,400,621.082,0.00
27.443,48.855,400,620.740,0.00
27.443,48.848,400,620.941,0.00
27.443,48.863,400,620.729,0.00
27.443,48.871,400,620.578,0.00
27.421,48.871,400,620.328,0.00
27.421,48.863,400,619.949,0.00
27.411,48.855,400,619.730,0.00
27.421,48.886,400,620.115,0.00
