Date,Volts,Farenheit
2017-04-29 10:37:56.975304,1.098,96.43
2017-04-29 10:37:57.325104,1.098,96.43
2017-04-29 10:37:57.675716,1.098,96.43
2017-04-29 10:37:58.025492,1.097,96.34
2017-04-29 10:37:58.375199,1.097,96.34
2017-04-29 10:37:58.725521,1.097,96.34
2017-04-29 10:37:59.075303,1.096,96.25
2017-04-29 10:37:59.425178,1.096,96.25
2017-04-29 10:37:59.775352,1.096,96.25
2017-04-29 10:38:00.125274,1.095,96.15
2017-04-29 10:38:00.475344,1.095,96.15
2017-04-29 10:38:00.825189,1.095,96.15
2017-04-29 10:38:01.175416,1.094,96.06
2017-04-29 10:38:01.525142,1.094,96.06
2017-04-29 10:38:01.875078,1.094,96.06
2017-04-29 10:38:02.225228,1.094,96.06
2017-04-29 10:38:02.575745,1.093,95.97
2017-04-29 10:38:02.925651,1.093,95.97
2017-04-29 10:38:03.275786,1.092,95.88
2017-04-29 10:38:03.625677,1.092,95.88
2017-04-29 10:38:03.975815,1.092,95.88
2017-04-29 10:38:04.325723,1.092,95.88
2017-04-29 10:38:04.675451,1.092,95.88
2017-04-29 10:38:05.025598,1.093,95.97
2017-04-29 10:38:05.375062,1.094,96.06
2017-04-29 10:38:05.725299,1.095,96.15
2017-04-29 10:38:06.075194,1.096,96.25
2017-04-29 10:38:06.425351,1.097,96.34
2017-04-29 10:38:06.775256,1.098,96.43
2017-04-29 10:38:07.125305,1.099,96.52
2017-04-29 10:38:07.475914,1.101,96.71
2017-04-29 10:38:07.825411,1.102,96.80
2017-04-29 10:38:08.175300,1.103,96.89
2017-04-29 10:38:08.525401,1.104,96.98
2017-04-29 10:38:08.875359,1.105,97.08
2017-04-29 10:38:09.225492,1.106,97.17
2017-04-29 10:38:09.575605,1.107,97.26
2017-04-29 10:38:09.925518,1.108,97.35
2017-04-29 10:38:10.275366,1.108,97.35
2017-04-29 10:38:10.625562,1.108,97.35
2017-04-29 10:38:10.975480,1.108,97.35
2017-04-29 10:38:11.325491,1.108,97.35
2017-04-29 10:38:11.675376,1.108,97.35
2017-04-29 10:38:12.025494,1.108,97.35
2017-04-29 10:38:12.375292,1.108,97.35
2017-04-29 10:38:12.725527,1.108,97.35
2017-04-29 10:38:13.075445,1.108,97.35
