volts,ppm,temp_c,ambient_c
1517900122.47,69997.066,0.19,25.002,21.297
1517900123.47,69997.076,0.33,24.999,21.319
1517900124.47,69997.076,0.33,25.001,21.297
1517900125.47,69997.076,0.33,24.996,21.265
1517900126.47,69997.043,-0.14,24.999,21.287
1517900127.47,69997.043,-0.14,24.996,21.287
1517900128.47,69997.043,-0.14,24.997,21.297
1517900129.47,69997.043,-0.14,24.996,21.265
1517900130.47,69997.053,0.01,25.0,21.287
1517900131.47,69997.053,0.01,24.999,21.297
1517900132.47,69997.053,0.01,25.003,21.265
1517900133.47,69997.03,-0.32,24.999,21.254
1517900134.47,69997.03,-0.32,24.999,21.254
1517900135.47,69997.03,-0.32,24.993,21.265
1517900136.47,69997.02,-0.47,24.993,21.265
1517900137.47,69997.02,-0.47,24.992,21.276
1517900138.47,69997.02,-0.47,24.996,21.276
1517900139.47,69997.02,-0.47,24.996,21.265
1517900140.47,69997.058,0.08,24.999,21.265
1517900141.47,69997.058,0.08,24.999,21.276
1517900142.47,69997.058,0.08,25.003,21.265
1517900143.47,69997.076,0.33,25.0,21.276
1517900144.47,69997.076,0.33,24.999,21.276
1517900145.47,69997.076,0.33,24.994,21.287
1517900146.47,69997.076,0.33,24.996,21.276
1517900147.47,69997.076,0.33,24.993,21.276
1517900148.47,69997.076,0.33,24.999,21.265
1517900149.48,69997.076,0.33,24.997,21.265
1517900150.47,69997.079,0.38,25.0,21.265
1517900151.47,69997.079,0.38,24.999,21.276
1517900152.47,69997.079,0.38,25.002,21.265
1517900153.47,69997.015,-0.54,24.998,21.254
1517900154.47,69997.015,-0.54,25.0,21.265
1517900155.47,69997.015,-0.54,24.996,21.287
1517900156.48,69997.015,-0.54,24.997,21.254
1517900157.48,69997.038,-0.21,24.994,21.265
1517900158.48,69997.038,-0.21,24.998,21.265
1517900159.47,69997.038,-0.21,24.998,21.265
1517900160.47,69997.084,0.45,25.0,21.265
1517900161.48,69997.084,0.45,24.997,21.233
1517900162.48,69997.084,0.45,24.997,21.265
1517900163.48,69997.018,-0.49,24.995,21.254
1517900164.48,69997.018,-0.49,24.999,21.265
1517900165.48,69997.018,-0.49,24.997,21.254
1517900166.48,69997.018,-0.49,25.0,21.233
1517900167.48,69997.046,-0.09,24.999,21.265
1517900168.48,69997.046,-0.09,25.0,21.244
1517900169.48,69997.046,-0.09,24.997,21.254
1517900170.48,69997.084,0.45,24.997,21.265
1517900171.48,69997.084,0.45,24.995,21.276
1517900172.48,69997.084,0.45,24.998,21.244
1517900173.48,69997.056,0.05,24.999,21.254
1517900174.48,69997.056,0.05,25.0,21.254
1517900175.48,69997.056,0.05,24.999,21.265
1517900176.48,69997.056,0.05,24.999,21.265
1517900177.48,69997.033,-0.28,24.995,21.244
1517900178.48,69997.033,-0.28,24.996,21.265
1517900179.48,69997.033,-0.28,24.994,21.265
1517900180.48,69997.03,-0.32,24.998,21.254
1517900181.48,69997.03,-0.32,24.997,21.233
1517900182.48,69997.03,-0.32,25.002,21.244
1517900183.48,69997.01,-0.61,25.002,21.254
1517900184.48,69997.01,-0.61,25.005,21.265
1517900185.48,69997.01,-0.61,25.001,21.244
1517900186.48,69997.01,-0.61,25.001,21.244
1517900187.48,69997.081,0.41,24.995,21.254
1517900188.48,69997.081,0.41,24.996,21.254
1517900189.48,69997.081,0.41,24.994,21.254
1517900190.48,69997.091,0.55,24.997,21.244
1517900191.48,69997.091,0.55,24.997,21.233
1517900192.48,69997.091,0.55,25.002,21.244
1517900193.48,69997.053,0.01,25.001,21.254
1517900194.48,69997.053,0.01,25.003,21.244
1517900195.48,69997.053,0.01,25.0,21.254
